START TIME:2024-11-09 17:46:04
TIME(sec),GATE-VOLTAGE(V),GATE-CURRENT(A),DRAIN-VOLTAGE(V),DRAIN-CURRENT(A)
0.000000e+00, -3.00000e-01, -1.54680e-06, 1.00000e-01, 3.03511e-04
2.005200e-02, -3.00000e-01, -1.06424e-06, 8.00000e-02, 3.25844e-04
6.560300e-02, -3.00000e-01, -5.20525e-07, 6.00000e-02, 2.66353e-04
8.565400e-02, -3.00000e-01, -3.19489e-07, 4.00000e-02, 1.89759e-04
1.107040e-01, -3.00000e-01, -1.55373e-07, 2.00000e-02, 9.71181e-05
2.263570e-01, -3.00000e-01, -2.12818e-08, 0.00000e+00, -2.71861e-07
2.465180e-01, -3.00000e-01, 4.33523e-08, -2.00000e-02, -9.65152e-05
3.225760e-01, -3.00000e-01, 8.32092e-08, -4.00000e-02, -1.90111e-04
3.935330e-01, -3.00000e-01, 9.14753e-08, -6.00000e-02, -2.82230e-04
4.136880e-01, -3.00000e-01, 1.55976e-07, -8.00000e-02, -3.68665e-04
4.387370e-01, -3.00000e-01, 1.91776e-07, -1.00000e-01, -4.52335e-04
4.637860e-01, -3.00000e-01, 2.15652e-07, -1.20000e-01, -5.30584e-04
4.888350e-01, -3.00000e-01, 2.31198e-07, -1.40000e-01, -6.02983e-04
5.138840e-01, -3.00000e-01, 2.40586e-07, -1.60000e-01, -6.69193e-04
5.389360e-01, -3.00000e-01, 2.45337e-07, -1.80000e-01, -7.28962e-04
5.639850e-01, -3.00000e-01, 2.46673e-07, -2.00000e-01, -7.82328e-04
5.895440e-01, -3.00000e-01, 2.44016e-07, -2.20000e-01, -8.28917e-04
6.145930e-01, -3.00000e-01, 2.41259e-07, -2.40000e-01, -8.69854e-04
6.396430e-01, -3.00000e-01, 2.36788e-07, -2.60000e-01, -9.04914e-04
6.646920e-01, -3.00000e-01, 2.31031e-07, -2.80000e-01, -9.34427e-04
6.897400e-01, -3.00000e-01, 2.24673e-07, -3.00000e-01, -9.59170e-04
7.147900e-01, -3.00000e-01, 2.17658e-07, -3.20000e-01, -9.79415e-04
7.398380e-01, -3.00000e-01, 2.10278e-07, -3.40000e-01, -9.95763e-04
7.648870e-01, -3.00000e-01, 2.02444e-07, -3.60000e-01, -9.79838e-04
8.154530e-01, -3.00000e-01, 1.50594e-07, -3.80000e-01, -9.79540e-04
8.658640e-01, -3.00000e-01, 1.26592e-07, -4.00000e-01, -9.81764e-04
1.501860e+00, -3.00000e-01, -6.95588e-10, -3.80000e-01, -9.41215e-04
1.652410e+00, -3.00000e-01, -7.80408e-09, -3.60000e-01, -9.03238e-04
1.672590e+00, -3.00000e-01, -6.00555e-08, -3.40000e-01, -8.86267e-04
1.718170e+00, -3.00000e-01, -7.08560e-08, -3.20000e-01, -8.56194e-04
1.738300e+00, -3.00000e-01, -1.23153e-07, -3.00000e-01, -8.33120e-04
1.763350e+00, -3.00000e-01, -1.48558e-07, -2.80000e-01, -8.02543e-04
1.788400e+00, -3.00000e-01, -1.66788e-07, -2.60000e-01, -7.71214e-04
1.813440e+00, -3.00000e-01, -1.81221e-07, -2.40000e-01, -7.37740e-04
1.838490e+00, -3.00000e-01, -1.93182e-07, -2.20000e-01, -7.01291e-04
1.864050e+00, -3.00000e-01, -2.01909e-07, -2.00000e-01, -6.61667e-04
1.889100e+00, -3.00000e-01, -2.11802e-07, -1.80000e-01, -6.17356e-04
1.914150e+00, -3.00000e-01, -2.20811e-07, -1.60000e-01, -5.68655e-04
1.939200e+00, -3.00000e-01, -2.29080e-07, -1.40000e-01, -5.15285e-04
1.964250e+00, -3.00000e-01, -2.36996e-07, -1.20000e-01, -4.56950e-04
1.989300e+00, -3.00000e-01, -2.44546e-07, -1.00000e-01, -3.93542e-04
2.014350e+00, -3.00000e-01, -2.51809e-07, -8.00000e-02, -3.24993e-04
2.039400e+00, -3.00000e-01, -2.58814e-07, -6.00000e-02, -2.51276e-04
2.064450e+00, -3.00000e-01, -2.65586e-07, -4.00000e-02, -1.72442e-04
2.089490e+00, -3.00000e-01, -2.72116e-07, -2.00000e-02, -9.06168e-05
2.140040e+00, -3.00000e-01, -2.24863e-07, 0.00000e+00, -2.13947e-07
2.260930e+00, -3.00000e-01, -1.38700e-07, 2.00000e-02, 9.79743e-05
2.336960e+00, -3.00000e-01, -1.42317e-07, 4.00000e-02, 1.99362e-04
2.387440e+00, -3.00000e-01, -1.62724e-07, 6.00000e-02, 3.01898e-04
2.412490e+00, -3.00000e-01, -2.04347e-07, 8.00000e-02, 4.07334e-04
2.437540e+00, -3.00000e-01, -2.34550e-07, 1.00000e-01, 5.13974e-04
2.559098e+00, -2.00000e-01, -1.50336e-06, 1.00000e-01, 1.64347e-04
2.599663e+00, -2.00000e-01, -7.16617e-07, 8.00000e-02, 2.22674e-04
2.619714e+00, -2.00000e-01, -4.40257e-07, 6.00000e-02, 2.01090e-04
2.644763e+00, -2.00000e-01, -2.19483e-07, 4.00000e-02, 1.40296e-04
2.735045e+00, -2.00000e-01, -3.87761e-08, 2.00000e-02, 7.19111e-05
2.755097e+00, -2.00000e-01, 3.29084e-08, 0.00000e+00, -2.14125e-07
2.805908e+00, -2.00000e-01, 9.25240e-08, -2.00000e-02, -6.96723e-05
2.902467e+00, -2.00000e-01, 8.26737e-08, -4.00000e-02, -1.35270e-04
2.932294e+00, -2.00000e-01, 1.39334e-07, -6.00000e-02, -1.99054e-04
2.957343e+00, -2.00000e-01, 1.77840e-07, -8.00000e-02, -2.58063e-04
2.982392e+00, -2.00000e-01, 2.02252e-07, -1.00000e-01, -3.11606e-04
3.007440e+00, -2.00000e-01, 2.17161e-07, -1.20000e-01, -3.59382e-04
3.032488e+00, -2.00000e-01, 2.25545e-07, -1.40000e-01, -4.01393e-04
3.057538e+00, -2.00000e-01, 2.29261e-07, -1.60000e-01, -4.37781e-04
3.082591e+00, -2.00000e-01, 2.29733e-07, -1.80000e-01, -4.68855e-04
3.107640e+00, -2.00000e-01, 2.27912e-07, -2.00000e-01, -4.95036e-04
3.133197e+00, -2.00000e-01, 2.23104e-07, -2.20000e-01, -5.16388e-04
3.158247e+00, -2.00000e-01, 2.18961e-07, -2.40000e-01, -5.34202e-04
3.183295e+00, -2.00000e-01, 2.13776e-07, -2.60000e-01, -5.48446e-04
3.208345e+00, -2.00000e-01, 2.07745e-07, -2.80000e-01, -5.59535e-04
3.233393e+00, -2.00000e-01, 2.01186e-07, -3.00000e-01, -5.67937e-04
3.258443e+00, -2.00000e-01, 1.94101e-07, -3.20000e-01, -5.73999e-04
3.283492e+00, -2.00000e-01, 1.86240e-07, -3.40000e-01, -5.77965e-04
3.308541e+00, -2.00000e-01, 1.77091e-07, -3.60000e-01, -5.79981e-04
3.333590e+00, -2.00000e-01, 1.66239e-07, -3.80000e-01, -5.80218e-04
3.358638e+00, -2.00000e-01, 1.52760e-07, -4.00000e-01, -5.78575e-04
3.448917e+00, -2.00000e-01, 1.89466e-08, -3.80000e-01, -5.45872e-04
3.468969e+00, -2.00000e-01, -2.59172e-08, -3.60000e-01, -5.17815e-04
3.494017e+00, -2.00000e-01, -6.75724e-08, -3.40000e-01, -5.03212e-04
3.519066e+00, -2.00000e-01, -9.44981e-08, -3.20000e-01, -4.90168e-04
3.564648e+00, -2.00000e-01, -7.64656e-08, -3.00000e-01, -4.77604e-04
3.584768e+00, -2.00000e-01, -1.21132e-07, -2.80000e-01, -4.68967e-04
3.609818e+00, -2.00000e-01, -1.41655e-07, -2.60000e-01, -4.53456e-04
3.634868e+00, -2.00000e-01, -1.57353e-07, -2.40000e-01, -4.37131e-04
3.659918e+00, -2.00000e-01, -1.70092e-07, -2.20000e-01, -4.19372e-04
3.685468e+00, -2.00000e-01, -1.79381e-07, -2.00000e-01, -3.99917e-04
3.710518e+00, -2.00000e-01, -1.89534e-07, -1.80000e-01, -3.77491e-04
3.735568e+00, -2.00000e-01, -1.98644e-07, -1.60000e-01, -3.52110e-04
3.760618e+00, -2.00000e-01, -2.06990e-07, -1.40000e-01, -3.23361e-04
3.785668e+00, -2.00000e-01, -2.14845e-07, -1.20000e-01, -2.90879e-04
3.810718e+00, -2.00000e-01, -2.22371e-07, -1.00000e-01, -2.54312e-04
