START TIME:2024-11-09 17:28:26
TIME(sec),GATE-VOLTAGE(V),GATE-CURRENT(A),DRAIN-VOLTAGE(V),DRAIN-CURRENT(A)
0.000000e+00, -3.00000e-01, 2.38314e-12, 1.00000e-01, 1.47617e-10
2.005100e-02, -3.00000e-01, 2.39412e-12, 8.00000e-02, -1.04427e-11
4.510000e-02, -3.00000e-01, 2.36340e-12, 6.00000e-02, -1.27077e-11
7.015000e-02, -3.00000e-01, 2.50202e-12, 4.00000e-02, -1.48058e-11
9.519900e-02, -3.00000e-01, 2.57684e-12, 2.00000e-02, -1.71423e-11
1.202480e-01, -3.00000e-01, 2.45467e-12, 0.00000e+00, -1.90020e-11
1.454030e-01, -3.00000e-01, 2.39458e-12, -2.00000e-02, -1.66297e-11
1.704510e-01, -3.00000e-01, 2.53305e-12, -4.00000e-02, -1.78337e-11
1.955000e-01, -3.00000e-01, 2.63728e-12, -6.00000e-02, -1.88112e-11
2.205500e-01, -3.00000e-01, 2.48934e-12, -8.00000e-02, -2.00272e-11
2.455980e-01, -3.00000e-01, 2.45427e-12, -1.00000e-01, -1.82748e-11
2.706480e-01, -3.00000e-01, 2.58851e-12, -1.20000e-01, -1.81437e-11
2.956970e-01, -3.00000e-01, 2.58163e-12, -1.40000e-01, -1.94669e-11
3.207450e-01, -3.00000e-01, 2.48523e-12, -1.60000e-01, -1.99437e-11
3.457980e-01, -3.00000e-01, 2.44972e-12, -1.80000e-01, -1.77145e-11
3.708470e-01, -3.00000e-01, 2.56647e-12, -2.00000e-01, -1.82986e-11
3.964060e-01, -3.00000e-01, 2.59553e-12, -2.20000e-01, -1.97768e-11
4.214540e-01, -3.00000e-01, 2.47386e-12, -2.40000e-01, -1.98364e-11
4.465020e-01, -3.00000e-01, 2.48593e-12, -2.60000e-01, -1.85728e-11
4.715500e-01, -3.00000e-01, 2.59299e-12, -2.80000e-01, -1.82629e-11
4.966000e-01, -3.00000e-01, 2.59702e-12, -3.00000e-01, -1.98603e-11
5.216480e-01, -3.00000e-01, 2.48636e-12, -3.20000e-01, -1.94788e-11
5.466980e-01, -3.00000e-01, 2.46823e-12, -3.40000e-01, -1.80960e-11
5.717470e-01, -3.00000e-01, 2.60737e-12, -3.60000e-01, -1.86443e-11
5.967960e-01, -3.00000e-01, 2.58724e-12, -3.80000e-01, -2.00987e-11
6.218450e-01, -3.00000e-01, 2.47883e-12, -4.00000e-01, -1.96338e-11
6.468930e-01, -3.00000e-01, 2.41319e-12, -3.80000e-01, 2.13385e-12
6.719420e-01, -3.00000e-01, 2.43608e-12, -3.60000e-01, 9.20296e-12
6.969920e-01, -3.00000e-01, 2.37756e-12, -3.40000e-01, 1.26243e-11
7.220410e-01, -3.00000e-01, 2.21274e-12, -3.20000e-01, 1.76191e-11
7.470900e-01, -3.00000e-01, 2.12764e-12, -3.00000e-01, 2.18272e-11
7.721380e-01, -3.00000e-01, 2.19960e-12, -2.80000e-01, 1.87993e-11
7.971880e-01, -3.00000e-01, 2.18493e-12, -2.60000e-01, 1.80483e-11
8.222370e-01, -3.00000e-01, 2.03843e-12, -2.40000e-01, 2.09808e-11
8.472870e-01, -3.00000e-01, 2.06982e-12, -2.20000e-01, 2.25782e-11
8.728450e-01, -3.00000e-01, 2.15091e-12, -2.00000e-01, 1.88231e-11
8.978940e-01, -3.00000e-01, 2.06312e-12, -1.80000e-01, 1.90258e-11
9.229430e-01, -3.00000e-01, 1.94089e-12, -1.60000e-01, 2.19107e-11
9.479910e-01, -3.00000e-01, 1.96604e-12, -1.40000e-01, 2.32458e-11
9.730410e-01, -3.00000e-01, 2.01508e-12, -1.20000e-01, 1.96457e-11
9.980900e-01, -3.00000e-01, 1.97071e-12, -1.00000e-01, 1.96934e-11
1.023140e+00, -3.00000e-01, 1.89313e-12, -8.00000e-02, 2.21133e-11
1.048190e+00, -3.00000e-01, 1.94969e-12, -6.00000e-02, 2.35438e-11
1.073240e+00, -3.00000e-01, 1.99865e-12, -4.00000e-02, 1.93477e-11
1.098290e+00, -3.00000e-01, 1.95673e-12, -2.00000e-02, 1.96099e-11
1.123450e+00, -3.00000e-01, 1.85419e-12, 0.00000e+00, 2.24113e-11
1.148500e+00, -3.00000e-01, 1.87935e-12, 2.00000e-02, 2.35915e-11
1.173540e+00, -3.00000e-01, 1.93657e-12, 4.00000e-02, 1.94907e-11
1.198590e+00, -3.00000e-01, 1.89139e-12, 6.00000e-02, 2.02894e-11
1.223640e+00, -3.00000e-01, 1.80408e-12, 8.00000e-02, 2.25306e-11
1.248690e+00, -3.00000e-01, 1.90793e-12, 1.00000e-01, 2.15292e-11
2.029948e+00, -2.00000e-01, -2.84984e-11, 1.00000e-01, 5.36323e-11
2.055001e+00, -2.00000e-01, -2.28345e-11, 8.00000e-02, 9.13143e-12
2.080050e+00, -2.00000e-01, -1.89894e-11, 6.00000e-02, -3.62396e-12
2.105099e+00, -2.00000e-01, -1.56505e-11, 4.00000e-02, -9.23872e-12
2.130147e+00, -2.00000e-01, -1.27414e-11, 2.00000e-02, -1.24812e-11
2.155197e+00, -2.00000e-01, -1.03853e-11, 0.00000e+00, -1.56641e-11
2.180352e+00, -2.00000e-01, -8.41768e-12, -2.00000e-02, -1.68800e-11
2.205401e+00, -2.00000e-01, -6.69007e-12, -4.00000e-02, -1.68204e-11
2.230450e+00, -2.00000e-01, -5.19578e-12, -6.00000e-02, -1.67847e-11
