START TIME:2024-11-09 17:49:30
TIME(sec),GATE-VOLTAGE(V),GATE-CURRENT(A),DRAIN-VOLTAGE(V),DRAIN-CURRENT(A)
0.000000e+00, -3.00000e-01, -1.84074e-06, 1.00000e-01, 4.54412e-06
2.005200e-02, -3.00000e-01, -1.40867e-06, 8.00000e-02, 7.55276e-06
4.510000e-02, -3.00000e-01, -1.00930e-06, 6.00000e-02, 8.17657e-06
9.070700e-02, -3.00000e-01, -5.90366e-07, 4.00000e-02, 7.01694e-06
1.107590e-01, -3.00000e-01, -4.06271e-07, 2.00000e-02, 4.49942e-06
1.358080e-01, -3.00000e-01, -2.41186e-07, 0.00000e+00, 6.61850e-08
2.964450e-01, -3.00000e-01, -3.23410e-08, -2.00000e-02, -5.65486e-06
3.164970e-01, -3.00000e-01, 3.01606e-08, -4.00000e-02, -1.12887e-05
3.669260e-01, -3.00000e-01, 9.36725e-08, -6.00000e-02, -1.67581e-05
4.125180e-01, -3.00000e-01, 1.32213e-07, -8.00000e-02, -2.17030e-05
4.325700e-01, -3.00000e-01, 1.85135e-07, -1.00000e-01, -2.55018e-05
4.576190e-01, -3.00000e-01, 2.15391e-07, -1.20000e-01, -2.91095e-05
4.826670e-01, -3.00000e-01, 2.39494e-07, -1.40000e-01, -3.19947e-05
5.077170e-01, -3.00000e-01, 2.53096e-07, -1.60000e-01, -3.41733e-05
5.327700e-01, -3.00000e-01, 2.58648e-07, -1.80000e-01, -3.57073e-05
5.578190e-01, -3.00000e-01, 2.57995e-07, -2.00000e-01, -3.66748e-05
5.833760e-01, -3.00000e-01, 2.51131e-07, -2.20000e-01, -3.71195e-05
6.084250e-01, -3.00000e-01, 2.41160e-07, -2.40000e-01, -3.72251e-05
6.334740e-01, -3.00000e-01, 2.27404e-07, -2.60000e-01, -3.70155e-05
6.585220e-01, -3.00000e-01, 2.10546e-07, -2.80000e-01, -3.65723e-05
6.835720e-01, -3.00000e-01, 1.92138e-07, -3.00000e-01, -3.59556e-05
7.086210e-01, -3.00000e-01, 1.70370e-07, -3.20000e-01, -3.52362e-05
7.336700e-01, -3.00000e-01, 1.48975e-07, -3.40000e-01, -3.44674e-05
7.587180e-01, -3.00000e-01, 1.27655e-07, -3.60000e-01, -3.36853e-05
7.837680e-01, -3.00000e-01, 1.07380e-07, -3.80000e-01, -3.29360e-05
8.740550e-01, -3.00000e-01, 4.23723e-08, -4.00000e-01, -3.22142e-05
8.941070e-01, -3.00000e-01, 2.59704e-08, -3.80000e-01, -2.97677e-05
9.844280e-01, -3.00000e-01, 4.89637e-09, -3.60000e-01, -2.91160e-05
