START TIME:2024-04-01 19:12:42
Vd=-0000.500000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,0.000000e+00, -2.00000e+00, -1.51324e-03, -1.71089e-03
1,5.004800e-02, -1.95000e+00, 1.21474e-04, -6.44922e-04
1,1.001010e-01, -1.90000e+00, 1.39713e-04, -1.89781e-04
1,1.501540e-01, -1.85000e+00, 1.61171e-04, -8.27312e-05
1,2.002060e-01, -1.80000e+00, 1.56879e-04, -7.12872e-05
1,2.502580e-01, -1.75000e+00, 1.55210e-04, -6.22272e-05
1,3.003110e-01, -1.70000e+00, 1.68681e-04, -7.18832e-05
1,3.503620e-01, -1.65000e+00, 1.76787e-04, -4.31538e-05
1,4.004150e-01, -1.60000e+00, 1.62721e-04, -5.91278e-05
1,4.504680e-01, -1.55000e+00, 1.86443e-04, -4.75645e-05
1,5.005200e-01, -1.50000e+00, 1.64032e-04, -6.60419e-05
1,5.505710e-01, -1.45000e+00, 1.57475e-04, -5.66244e-05
1,6.006240e-01, -1.40000e+00, 1.43051e-04, -4.75645e-05
1,6.506770e-01, -1.35000e+00, 1.49488e-04, -5.93662e-05
1,7.007330e-01, -1.30000e+00, 1.46270e-04, -6.81877e-05
1,7.507800e-01, -1.25000e+00, 1.19805e-04, -5.63860e-05
1,8.008330e-01, -1.20000e+00, 1.15275e-04, -5.18560e-05
1,8.508850e-01, -1.15000e+00, 9.53674e-05, -6.36578e-05
1,9.009380e-01, -1.10000e+00, 9.75132e-05, -7.22408e-05
1,9.509910e-01, -1.05000e+00, 8.02279e-05, -8.38041e-05
1,1.001040e+00, -1.00000e+00, 7.54595e-05, -6.42538e-05
1,1.051090e+00, -9.50000e-01, 6.67572e-05, -6.33001e-05
1,1.101150e+00, -9.00000e-01, 5.50747e-05, -5.61476e-05
1,1.151200e+00, -8.50000e-01, 2.70605e-05, -6.18696e-05
1,1.201250e+00, -8.00000e-01, 3.93391e-05, -5.17368e-05
1,1.251300e+00, -7.50000e-01, 3.26633e-05, -6.27041e-05
1,1.301360e+00, -7.00000e-01, 5.28097e-05, -5.41210e-05
1,1.351410e+00, -6.50000e-01, 6.19888e-05, -8.15392e-05
1,1.401460e+00, -6.00000e-01, 7.34329e-05, -7.45058e-05
1,1.451510e+00, -5.50000e-01, 7.49826e-05, -6.43730e-05
1,1.501570e+00, -5.00000e-01, 9.97782e-05, -7.25985e-05
1,1.551620e+00, -4.50000e-01, 1.32322e-04, -5.67436e-05
1,1.601670e+00, -4.00000e-01, 1.31369e-04, -6.54459e-05
1,1.651720e+00, -3.50000e-01, 1.32680e-04, -6.05583e-05
1,1.701770e+00, -3.00000e-01, 1.43647e-04, -7.52211e-05
1,1.751830e+00, -2.50000e-01, 1.55807e-04, -6.78301e-05
1,1.802390e+00, -2.00000e-01, 1.73926e-04, -7.37906e-05
1,1.852440e+00, -1.50000e-01, 1.75953e-04, -7.45058e-05
1,1.902490e+00, -1.00000e-01, 1.88351e-04, -7.02143e-05
1,1.952550e+00, -5.00000e-02, 1.99318e-04, -7.59363e-05
1,2.002710e+00, 0.00000e+00, 1.91212e-04, -6.97374e-05
1,2.052760e+00, 5.00000e-02, 1.81794e-04, -5.50747e-05
1,2.102810e+00, 1.00000e-01, 1.74403e-04, -4.87566e-05
1,2.152860e+00, 1.50000e-01, 1.62005e-04, -4.51803e-05
1,2.202920e+00, 2.00000e-01, 1.65105e-04, -6.30617e-05
1,2.253480e+00, 2.50000e-01, 1.73807e-04, -5.00679e-05
1,2.303530e+00, 3.00000e-01, 1.68681e-04, -3.69549e-05
1,2.353580e+00, 3.50000e-01, 1.75118e-04, -5.29289e-05
1,2.403640e+00, 4.00000e-01, 1.86801e-04, -3.74317e-05
1,2.453690e+00, 4.50000e-01, 1.91689e-04, -4.16040e-05
1,2.503740e+00, 5.00000e-01, 1.64866e-04, -3.93391e-05
1,2.553790e+00, 5.50000e-01, 1.78576e-04, -2.53916e-05
1,2.603840e+00, 6.00000e-01, 1.69396e-04, -2.96831e-05
1,2.653900e+00, 6.50000e-01, 1.76549e-04, -2.00272e-05
1,2.703950e+00, 7.00000e-01, 1.78099e-04, -3.50475e-05
1,2.754000e+00, 7.50000e-01, 1.72973e-04, -4.94719e-05
1,2.804060e+00, 8.00000e-01, 1.80244e-04, -3.34978e-05
1,2.854110e+00, 8.50000e-01, 1.87755e-04, -4.33922e-05
1,2.904160e+00, 9.00000e-01, 1.80006e-04, -2.51532e-05
1,2.954210e+00, 9.50000e-01, 1.76907e-04, -3.51667e-05
1,3.004270e+00, 1.00000e+00, 1.77622e-04, -4.52995e-05
1,3.054320e+00, 1.05000e+00, 1.91212e-04, -5.00679e-05
1,3.104370e+00, 1.10000e+00, 1.88470e-04, -4.92334e-05
1,3.154420e+00, 1.15000e+00, 1.70946e-04, -4.43459e-05
1,3.204480e+00, 1.20000e+00, 1.69992e-04, -5.29289e-05
1,3.254530e+00, 1.25000e+00, 1.85132e-04, -4.82798e-05
1,3.304580e+00, 1.30000e+00, 1.74880e-04, -5.36442e-05
1,3.354630e+00, 1.35000e+00, 1.64270e-04, -4.08888e-05
1,3.404680e+00, 1.40000e+00, 1.68800e-04, -4.48227e-05
1,3.454740e+00, 1.45000e+00, 1.89543e-04, -4.64916e-05
1,3.504790e+00, 1.50000e+00, 1.83821e-04, -5.43594e-05
1,3.554840e+00, 1.55000e+00, 1.96934e-04, -5.01871e-05
1,3.604890e+00, 1.60000e+00, 1.86324e-04, -4.42266e-05
1,3.654950e+00, 1.65000e+00, 1.62840e-04, -3.82662e-05
1,3.705000e+00, 1.70000e+00, 1.84059e-04, -3.82662e-05
1,3.755050e+00, 1.75000e+00, 1.92761e-04, -5.04255e-05
