START TIME:2024-04-01 20:29:18
TIME(sec),GATE-VOLTAGE(V),GATE-CURRENT(A),DRAIN-VOLTAGE(V),DRAIN-CURRENT(A)
0.000000e+00, 5.00000e-01, 1.86920e-04, 0.00000e+00, 1.67847e-04
2.016100e-02, 5.00000e-01, 7.45058e-05, -5.00000e-02, 1.60217e-04
4.021300e-02, 5.00000e-01, 2.02656e-06, -1.00000e-01, 1.72138e-04
6.026500e-02, 5.00000e-01, -1.15633e-05, -1.50000e-01, 1.67489e-04
8.031700e-02, 5.00000e-01, -1.81198e-05, -2.00000e-01, 1.69873e-04
1.003690e-01, 5.00000e-01, -2.36034e-05, -2.50000e-01, 1.71065e-04
1.204200e-01, 5.00000e-01, -1.28746e-05, -3.00000e-01, 1.71542e-04
1.404720e-01, 5.00000e-01, -1.62125e-05, -3.50000e-01, 1.81437e-04
1.605240e-01, 5.00000e-01, -7.86781e-06, -4.00000e-01, 1.77622e-04
1.805750e-01, 5.00000e-01, -1.97887e-05, -4.50000e-01, 1.80483e-04
2.006270e-01, 5.00000e-01, -1.96695e-05, -5.00000e-01, 1.70827e-04
2.864407e-01, 4.00000e-01, -2.38419e-07, 0.00000e+00, 1.71542e-04
3.066007e-01, 4.00000e-01, -3.36170e-05, -5.00000e-02, 1.41025e-04
3.266527e-01, 4.00000e-01, -1.77622e-05, -1.00000e-01, 1.47104e-04
3.467047e-01, 4.00000e-01, -1.57356e-05, -1.50000e-01, 1.65224e-04
3.667567e-01, 4.00000e-01, -2.90871e-05, -2.00000e-01, 1.64270e-04
3.868077e-01, 4.00000e-01, -2.65837e-05, -2.50000e-01, 1.55568e-04
4.068607e-01, 4.00000e-01, -3.54052e-05, -3.00000e-01, 1.71542e-04
4.269127e-01, 4.00000e-01, -4.50611e-05, -3.50000e-01, 1.73569e-04
4.469637e-01, 4.00000e-01, -3.79086e-05, -4.00000e-01, 1.75238e-04
4.670157e-01, 4.00000e-01, -5.18560e-05, -4.50000e-01, 1.69873e-04
4.870677e-01, 4.00000e-01, -3.94583e-05, -5.00000e-01, 1.59740e-04
4.365211e-01, 3.00000e-01, -2.83718e-05, 0.00000e+00, 1.99199e-04
4.566821e-01, 3.00000e-01, -3.82662e-05, -5.00000e-02, 1.10149e-04
4.767331e-01, 3.00000e-01, -3.20673e-05, -1.00000e-01, 8.10623e-05
4.967851e-01, 3.00000e-01, -4.88758e-05, -1.50000e-01, 7.52211e-05
5.168371e-01, 3.00000e-01, -6.46114e-05, -2.00000e-01, 5.05447e-05
5.368891e-01, 3.00000e-01, -4.99487e-05, -2.50000e-01, 5.36442e-05
5.569411e-01, 3.00000e-01, -3.96967e-05, -3.00000e-01, 4.31538e-05
5.769931e-01, 3.00000e-01, -2.78950e-05, -3.50000e-01, 5.35250e-05
5.970441e-01, 3.00000e-01, -2.81334e-05, -4.00000e-01, 4.04119e-05
6.170961e-01, 3.00000e-01, -4.07696e-05, -4.50000e-01, 3.73125e-05
6.371481e-01, 3.00000e-01, -4.13656e-05, -5.00000e-01, 3.37362e-05
5.867059e-01, 2.00000e-01, -9.29832e-06, 0.00000e+00, 1.85966e-04
6.068659e-01, 2.00000e-01, -2.90871e-05, -5.00000e-02, -7.78437e-05
6.269179e-01, 2.00000e-01, -1.18017e-05, -1.00000e-01, -2.30074e-04
6.469699e-01, 2.00000e-01, -3.20673e-05, -1.50000e-01, -3.14951e-04
6.670219e-01, 2.00000e-01, -2.00272e-05, -2.00000e-01, -3.37362e-04
6.870729e-01, 2.00000e-01, -3.49283e-05, -2.50000e-01, -3.86953e-04
7.071249e-01, 2.00000e-01, -1.74046e-05, -3.00000e-01, -4.12822e-04
7.271769e-01, 2.00000e-01, -2.51532e-05, -3.50000e-01, -4.37379e-04
7.472279e-01, 2.00000e-01, -2.11000e-05, -4.00000e-01, -4.66585e-04
7.672799e-01, 2.00000e-01, -2.62260e-05, -4.50000e-01, -4.90308e-04
7.873319e-01, 2.00000e-01, -3.01600e-05, -5.00000e-01, -5.15819e-04
7.370621e-01, 1.00000e-01, -1.59740e-05, 0.00000e+00, 1.94788e-04
7.572221e-01, 1.00000e-01, -1.34706e-05, -5.00000e-02, -2.35200e-04
7.772741e-01, 1.00000e-01, -2.27690e-05, -1.00000e-01, -5.84245e-04
7.973251e-01, 1.00000e-01, -2.21729e-05, -1.50000e-01, -8.42810e-04
8.173771e-01, 1.00000e-01, -2.07424e-05, -2.00000e-01, -1.03068e-03
8.374291e-01, 1.00000e-01, -1.72853e-05, -2.50000e-01, -1.14632e-03
8.574811e-01, 1.00000e-01, 4.17233e-06, -3.00000e-01, -1.21772e-03
8.775331e-01, 1.00000e-01, 1.31130e-06, -3.50000e-01, -1.25921e-03
8.975851e-01, 1.00000e-01, -3.57628e-06, -4.00000e-01, -1.31357e-03
9.176371e-01, 1.00000e-01, -9.65595e-06, -4.50000e-01, -1.33383e-03
9.376891e-01, 1.00000e-01, -2.14577e-05, -5.00000e-01, -1.38009e-03
8.871040e-01, 0.00000e+00, -2.49147e-05, 0.00000e+00, 1.93119e-04
9.072650e-01, 0.00000e+00, -2.80142e-05, -5.00000e-02, -3.56436e-04
9.273170e-01, 0.00000e+00, -3.68357e-05, -1.00000e-01, -8.34465e-04
9.473690e-01, 0.00000e+00, -4.18425e-05, -1.50000e-01, -1.25515e-03
9.674200e-01, 0.00000e+00, -3.62396e-05, -2.00000e-01, -1.62268e-03
9.874720e-01, 0.00000e+00, -4.11272e-05, -2.50000e-01, -1.92189e-03
1.007524e+00, 0.00000e+00, -2.72989e-05, -3.00000e-01, -2.13838e-03
1.027576e+00, 0.00000e+00, -3.31402e-05, -3.50000e-01, -2.28107e-03
1.047628e+00, 0.00000e+00, -2.59876e-05, -4.00000e-01, -2.38883e-03
1.067679e+00, 0.00000e+00, -2.61068e-05, -4.50000e-01, -2.45190e-03
1.087731e+00, 0.00000e+00, -2.20537e-05, -5.00000e-01, -2.49851e-03
1.037129e+00, -1.00000e-01, -3.64780e-05, 0.00000e+00, 1.84178e-04
1.057290e+00, -1.00000e-01, -4.72069e-05, -5.00000e-02, -4.20928e-04
1.077342e+00, -1.00000e-01, -5.66244e-05, -1.00000e-01, -9.88841e-04
1.097394e+00, -1.00000e-01, -3.98159e-05, -1.50000e-01, -1.51014e-03
1.117445e+00, -1.00000e-01, -4.52995e-05, -2.00000e-01, -1.98925e-03
1.137497e+00, -1.00000e-01, -3.51667e-05, -2.50000e-01, -2.40207e-03
1.157549e+00, -1.00000e-01, -4.06504e-05, -3.00000e-01, -2.78091e-03
1.177601e+00, -1.00000e-01, -2.45571e-05, -3.50000e-01, -3.09432e-03
1.197654e+00, -1.00000e-01, -4.07696e-05, -4.00000e-01, -3.32654e-03
1.217705e+00, -1.00000e-01, -4.72069e-05, -4.50000e-01, -3.48282e-03
1.237758e+00, -1.00000e-01, -4.45843e-05, -5.00000e-01, -3.58474e-03
1.187417e+00, -2.00000e-01, -6.92606e-05, 0.00000e+00, 2.12669e-04
1.207577e+00, -2.00000e-01, -4.89950e-05, -5.00000e-02, -4.48823e-04
1.227629e+00, -2.00000e-01, -5.72205e-05, -1.00000e-01, -1.06633e-03
1.247681e+00, -2.00000e-01, -4.63724e-05, -1.50000e-01, -1.66416e-03
1.267733e+00, -2.00000e-01, -3.85046e-05, -2.00000e-01, -2.21670e-03
1.287785e+00, -2.00000e-01, -5.41210e-05, -2.50000e-01, -2.71773e-03
1.307837e+00, -2.00000e-01, -4.27961e-05, -3.00000e-01, -3.19421e-03
1.327888e+00, -2.00000e-01, -5.54323e-05, -3.50000e-01, -3.60227e-03
1.347940e+00, -2.00000e-01, -4.41074e-05, -4.00000e-01, -3.96514e-03
1.367992e+00, -2.00000e-01, -4.87566e-05, -4.50000e-01, -4.26066e-03
1.388044e+00, -2.00000e-01, -3.99351e-05, -5.00000e-01, -4.47178e-03
1.337422e+00, -3.00000e-01, -7.98702e-05, 0.00000e+00, 2.12193e-04
1.357583e+00, -3.00000e-01, -6.03199e-05, -5.00000e-02, -4.65989e-04
1.377635e+00, -3.00000e-01, -6.02007e-05, -1.00000e-01, -1.09172e-03
1.397686e+00, -3.00000e-01, -3.93391e-05, -1.50000e-01, -1.69861e-03
1.417738e+00, -3.00000e-01, -3.60012e-05, -2.00000e-01, -2.30169e-03
1.437790e+00, -3.00000e-01, -4.39882e-05, -2.50000e-01, -2.86758e-03
1.457842e+00, -3.00000e-01, -4.70877e-05, -3.00000e-01, -3.41356e-03
1.477894e+00, -3.00000e-01, -4.13656e-05, -3.50000e-01, -3.89290e-03
1.497946e+00, -3.00000e-01, -4.67300e-05, -4.00000e-01, -4.33683e-03
1.517998e+00, -3.00000e-01, -3.77893e-05, -4.50000e-01, -4.71997e-03
1.538049e+00, -3.00000e-01, -4.67300e-05, -5.00000e-01, -5.05090e-03
1.487494e+00, -4.00000e-01, -7.74860e-05, 0.00000e+00, 2.13861e-04
1.507654e+00, -4.00000e-01, -5.97239e-05, -5.00000e-02, -4.72307e-04
1.527706e+00, -4.00000e-01, -4.19617e-05, -1.00000e-01, -1.13523e-03
1.547758e+00, -4.00000e-01, -3.61204e-05, -1.50000e-01, -1.78504e-03
1.567809e+00, -4.00000e-01, -4.36306e-05, -2.00000e-01, -2.41148e-03
1.587861e+00, -4.00000e-01, -4.19617e-05, -2.50000e-01, -3.00825e-03
1.607913e+00, -4.00000e-01, -6.13928e-05, -3.00000e-01, -3.58009e-03
1.627965e+00, -4.00000e-01, -6.98566e-05, -3.50000e-01, -4.10163e-03
1.648016e+00, -4.00000e-01, -7.73668e-05, -4.00000e-01, -4.59909e-03
1.668068e+00, -4.00000e-01, -6.40154e-05, -4.50000e-01, -5.06878e-03
1.688120e+00, -4.00000e-01, -6.96182e-05, -5.00000e-01, -5.46205e-03
1.637570e+00, -5.00000e-01, -1.22070e-04, 0.00000e+00, 1.96099e-04
1.657730e+00, -5.00000e-01, -5.92470e-05, -5.00000e-02, -5.09024e-04
1.677782e+00, -5.00000e-01, -6.24657e-05, -1.00000e-01, -1.15061e-03
1.697834e+00, -5.00000e-01, -5.93662e-05, -1.50000e-01, -1.81544e-03
1.717885e+00, -5.00000e-01, -5.48363e-05, -2.00000e-01, -2.45059e-03
1.737937e+00, -5.00000e-01, -5.29289e-05, -2.50000e-01, -3.06416e-03
1.757989e+00, -5.00000e-01, -4.45843e-05, -3.00000e-01, -3.65806e-03
1.778041e+00, -5.00000e-01, -5.22137e-05, -3.50000e-01, -4.23491e-03
1.798092e+00, -5.00000e-01, -4.85182e-05, -4.00000e-01, -4.77719e-03
1.818145e+00, -5.00000e-01, -5.71012e-05, -4.50000e-01, -5.27692e-03
1.838197e+00, -5.00000e-01, -5.20945e-05, -5.00000e-01, -5.72264e-03
