START TIME:2024-04-01 20:44:44
TIME(sec),GATE-VOLTAGE(V),GATE-CURRENT(A),DRAIN-VOLTAGE(V),DRAIN-CURRENT(A)
0.000000e+00, 0.00000e+00, -4.18425e-05, 0.00000e+00, 1.95742e-04
2.016100e-02, 0.00000e+00, -4.88758e-05, -5.00000e-02, -2.92659e-04
4.021300e-02, 0.00000e+00, -4.81606e-05, -1.00000e-01, -7.00951e-04
6.026400e-02, 0.00000e+00, -4.75645e-05, -1.50000e-01, -1.03009e-03
8.031600e-02, 0.00000e+00, -4.17233e-05, -2.00000e-01, -1.27995e-03
1.003680e-01, 0.00000e+00, -4.99487e-05, -2.50000e-01, -1.42872e-03
1.204200e-01, 0.00000e+00, -7.02143e-05, -3.00000e-01, -1.50669e-03
1.404720e-01, 0.00000e+00, -6.89030e-05, -3.50000e-01, -1.53577e-03
1.605230e-01, 0.00000e+00, -4.91142e-05, -4.00000e-01, -1.56152e-03
1.805750e-01, 0.00000e+00, -5.22137e-05, -4.50000e-01, -1.56081e-03
2.006270e-01, 0.00000e+00, -5.71012e-05, -5.00000e-01, -1.57666e-03
2.717043e-01, -1.00000e-01, -8.01086e-05, 0.00000e+00, 1.77860e-04
2.918643e-01, -1.00000e-01, -6.74725e-05, -5.00000e-02, -4.14968e-04
3.119163e-01, -1.00000e-01, -6.65188e-05, -1.00000e-01, -9.38535e-04
3.319683e-01, -1.00000e-01, -6.50883e-05, -1.50000e-01, -1.43218e-03
3.520203e-01, -1.00000e-01, -8.27312e-05, -2.00000e-01, -1.86813e-03
3.720723e-01, -1.00000e-01, -6.74725e-05, -2.50000e-01, -2.23887e-03
3.921233e-01, -1.00000e-01, -5.14984e-05, -3.00000e-01, -2.53451e-03
4.121753e-01, -1.00000e-01, -4.74453e-05, -3.50000e-01, -2.73204e-03
4.322273e-01, -1.00000e-01, -7.30753e-05, -4.00000e-01, -2.84433e-03
4.522793e-01, -1.00000e-01, -6.75917e-05, -4.50000e-01, -2.89309e-03
4.723313e-01, -1.00000e-01, -6.07967e-05, -5.00000e-01, -2.90811e-03
5.426618e-01, -2.00000e-01, -7.30753e-05, 0.00000e+00, 2.12550e-04
5.628228e-01, -2.00000e-01, -6.59227e-05, -5.00000e-02, -4.40001e-04
5.828748e-01, -2.00000e-01, -6.13928e-05, -1.00000e-01, -1.04797e-03
6.029268e-01, -2.00000e-01, -6.68764e-05, -1.50000e-01, -1.61910e-03
6.229778e-01, -2.00000e-01, -6.66380e-05, -2.00000e-01, -2.15530e-03
6.430298e-01, -2.00000e-01, -7.28369e-05, -2.50000e-01, -2.64454e-03
6.630818e-01, -2.00000e-01, -6.78301e-05, -3.00000e-01, -3.07417e-03
6.831328e-01, -2.00000e-01, -7.66516e-05, -3.50000e-01, -3.43752e-03
7.031848e-01, -2.00000e-01, -7.40290e-05, -4.00000e-01, -3.72660e-03
7.232368e-01, -2.00000e-01, -7.92742e-05, -4.50000e-01, -3.90494e-03
7.432888e-01, -2.00000e-01, -7.23600e-05, -5.00000e-01, -4.01342e-03
6.931459e-01, -3.00000e-01, -6.09159e-05, 0.00000e+00, 1.82629e-04
7.133059e-01, -3.00000e-01, -5.86510e-05, -5.00000e-02, -4.69804e-04
7.333579e-01, -3.00000e-01, -6.52075e-05, -1.00000e-01, -1.10579e-03
7.534099e-01, -3.00000e-01, -4.86374e-05, -1.50000e-01, -1.71781e-03
7.734619e-01, -3.00000e-01, -6.28233e-05, -2.00000e-01, -2.29263e-03
7.935129e-01, -3.00000e-01, -5.53131e-05, -2.50000e-01, -2.83277e-03
8.135649e-01, -3.00000e-01, -3.40939e-05, -3.00000e-01, -3.34549e-03
8.336169e-01, -3.00000e-01, -2.69413e-05, -3.50000e-01, -3.80862e-03
8.536689e-01, -3.00000e-01, -1.68085e-05, -4.00000e-01, -4.19557e-03
8.737199e-01, -3.00000e-01, -2.47955e-05, -4.50000e-01, -4.52459e-03
8.937719e-01, -3.00000e-01, -3.30210e-05, -5.00000e-01, -4.75860e-03
9.648221e-01, -4.00000e-01, -1.29342e-04, 0.00000e+00, 2.13981e-04
9.849831e-01, -4.00000e-01, -8.02279e-05, -5.00000e-02, -4.63605e-04
1.005034e+00, -4.00000e-01, -5.50747e-05, -1.00000e-01, -1.10066e-03
1.025086e+00, -4.00000e-01, -4.23193e-05, -1.50000e-01, -1.73759e-03
1.045137e+00, -4.00000e-01, -3.43323e-05, -2.00000e-01, -2.36690e-03
1.065189e+00, -4.00000e-01, -4.30346e-05, -2.50000e-01, -2.95913e-03
1.085241e+00, -4.00000e-01, -5.63860e-05, -3.00000e-01, -3.51405e-03
1.105293e+00, -4.00000e-01, -4.00543e-05, -3.50000e-01, -4.02892e-03
1.125345e+00, -4.00000e-01, -2.70605e-05, -4.00000e-01, -4.51553e-03
1.145397e+00, -4.00000e-01, -3.80278e-05, -4.50000e-01, -4.93491e-03
1.165448e+00, -4.00000e-01, -3.06368e-05, -5.00000e-01, -5.27585e-03
1.245985e+00, -5.00000e-01, -1.91450e-04, 0.00000e+00, 1.83225e-04
1.266145e+00, -5.00000e-01, -9.76324e-05, -5.00000e-02, -4.97818e-04
1.286197e+00, -5.00000e-01, -4.54187e-05, -1.00000e-01, -1.15383e-03
1.306249e+00, -5.00000e-01, -3.32594e-05, -1.50000e-01, -1.80018e-03
1.326301e+00, -5.00000e-01, -3.43323e-05, -2.00000e-01, -2.44665e-03
1.346352e+00, -5.00000e-01, -3.17097e-05, -2.50000e-01, -3.05581e-03
1.366404e+00, -5.00000e-01, -4.17233e-05, -3.00000e-01, -3.63123e-03
1.386456e+00, -5.00000e-01, -4.30346e-05, -3.50000e-01, -4.17817e-03
1.406508e+00, -5.00000e-01, -4.83990e-05, -4.00000e-01, -4.69530e-03
1.426560e+00, -5.00000e-01, -5.17368e-05, -4.50000e-01, -5.17559e-03
1.446611e+00, -5.00000e-01, -5.11408e-05, -5.00000e-01, -5.58424e-03
