START TIME:2024-04-01 20:36:10
TIME(sec),GATE-VOLTAGE(V),GATE-CURRENT(A),DRAIN-VOLTAGE(V),DRAIN-CURRENT(A)
0.000000e+00, 0.00000e+00, -4.29153e-05, 0.00000e+00, 1.70588e-04
2.016000e-02, 0.00000e+00, -3.70741e-05, -5.00000e-02, -3.31998e-04
4.021200e-02, 0.00000e+00, -3.58820e-05, -1.00000e-01, -7.71999e-04
6.026300e-02, 0.00000e+00, -4.42266e-05, -1.50000e-01, -1.13344e-03
8.031500e-02, 0.00000e+00, -4.33922e-05, -2.00000e-01, -1.40202e-03
1.003670e-01, 0.00000e+00, -2.59876e-05, -2.50000e-01, -1.58429e-03
1.204190e-01, 0.00000e+00, -4.82798e-05, -3.00000e-01, -1.65617e-03
1.404710e-01, 0.00000e+00, -4.95911e-05, -3.50000e-01, -1.68395e-03
1.605230e-01, 0.00000e+00, -2.98023e-05, -4.00000e-01, -1.68681e-03
1.805750e-01, 0.00000e+00, -3.49283e-05, -4.50000e-01, -1.65844e-03
2.006260e-01, 0.00000e+00, -3.33786e-05, -5.00000e-01, -1.65439e-03
2.781050e-01, -1.00000e-01, -6.77109e-05, 0.00000e+00, 1.85847e-04
2.982660e-01, -1.00000e-01, -5.57899e-05, -5.00000e-02, -4.06146e-04
3.183180e-01, -1.00000e-01, -6.11544e-05, -1.00000e-01, -9.48668e-04
3.383700e-01, -1.00000e-01, -5.37634e-05, -1.50000e-01, -1.43540e-03
3.584210e-01, -1.00000e-01, -5.68628e-05, -2.00000e-01, -1.87731e-03
3.784730e-01, -1.00000e-01, -5.99623e-05, -2.50000e-01, -2.24245e-03
3.985250e-01, -1.00000e-01, -6.21080e-05, -3.00000e-01, -2.53010e-03
4.185760e-01, -1.00000e-01, -5.72205e-05, -3.50000e-01, -2.71380e-03
4.386280e-01, -1.00000e-01, -3.91006e-05, -4.00000e-01, -2.81930e-03
4.586800e-01, -1.00000e-01, -3.34978e-05, -4.50000e-01, -2.85280e-03
4.787320e-01, -1.00000e-01, -2.72989e-05, -5.00000e-01, -2.86031e-03
5.502913e-01, -2.00000e-01, -5.94854e-05, 0.00000e+00, 1.89424e-04
5.704513e-01, -2.00000e-01, -6.10352e-05, -5.00000e-02, -4.57048e-04
5.905033e-01, -2.00000e-01, -4.54187e-05, -1.00000e-01, -1.03831e-03
6.105553e-01, -2.00000e-01, -4.44651e-05, -1.50000e-01, -1.61827e-03
6.306073e-01, -2.00000e-01, -5.28097e-05, -2.00000e-01, -2.14839e-03
6.506593e-01, -2.00000e-01, -4.58956e-05, -2.50000e-01, -2.64132e-03
6.707113e-01, -2.00000e-01, -2.67029e-05, -3.00000e-01, -3.06034e-03
6.907633e-01, -2.00000e-01, -4.42266e-05, -3.50000e-01, -3.41260e-03
7.108153e-01, -2.00000e-01, -5.07832e-05, -4.00000e-01, -3.69430e-03
7.308663e-01, -2.00000e-01, -3.76701e-05, -4.50000e-01, -3.87895e-03
7.509193e-01, -2.00000e-01, -3.56436e-05, -5.00000e-01, -3.97241e-03
8.230042e-01, -3.00000e-01, -9.26256e-05, 0.00000e+00, 2.03252e-04
8.431642e-01, -3.00000e-01, -5.45979e-05, -5.00000e-02, -4.77314e-04
8.632162e-01, -3.00000e-01, -5.32866e-05, -1.00000e-01, -1.09911e-03
8.832682e-01, -3.00000e-01, -4.81606e-05, -1.50000e-01, -1.70243e-03
9.033202e-01, -3.00000e-01, -4.82798e-05, -2.00000e-01, -2.30122e-03
9.233722e-01, -3.00000e-01, -3.58820e-05, -2.50000e-01, -2.83301e-03
9.434242e-01, -3.00000e-01, -3.17097e-05, -3.00000e-01, -3.35324e-03
9.634752e-01, -3.00000e-01, -2.56300e-05, -3.50000e-01, -3.80850e-03
9.835272e-01, -3.00000e-01, -3.05176e-05, -4.00000e-01, -4.18162e-03
1.003579e+00, -3.00000e-01, -2.84910e-05, -4.50000e-01, -4.52614e-03
1.023631e+00, -3.00000e-01, -3.20673e-05, -5.00000e-01, -4.77195e-03
1.085120e+00, -4.00000e-01, -1.49727e-04, 0.00000e+00, 1.81079e-04
1.105281e+00, -4.00000e-01, -6.65188e-05, -5.00000e-02, -4.97580e-04
1.125333e+00, -4.00000e-01, -4.47035e-05, -1.00000e-01, -1.14393e-03
1.145385e+00, -4.00000e-01, -4.23193e-05, -1.50000e-01, -1.76620e-03
1.165436e+00, -4.00000e-01, -4.12464e-05, -2.00000e-01, -2.38752e-03
1.185488e+00, -4.00000e-01, -3.73125e-05, -2.50000e-01, -2.98333e-03
1.205540e+00, -4.00000e-01, -3.62396e-05, -3.00000e-01, -3.53789e-03
1.225591e+00, -4.00000e-01, -3.38554e-05, -3.50000e-01, -4.04871e-03
1.245643e+00, -4.00000e-01, -3.01600e-05, -4.00000e-01, -4.51875e-03
1.265695e+00, -4.00000e-01, -4.36306e-05, -4.50000e-01, -4.92430e-03
1.285747e+00, -4.00000e-01, -2.87294e-05, -5.00000e-01, -5.27918e-03
1.348496e+00, -5.00000e-01, -1.97768e-04, 0.00000e+00, 2.07424e-04
1.368656e+00, -5.00000e-01, -1.01328e-04, -5.00000e-02, -5.00560e-04
1.388708e+00, -5.00000e-01, -6.35386e-05, -1.00000e-01, -1.14834e-03
1.408760e+00, -5.00000e-01, -4.75645e-05, -1.50000e-01, -1.79315e-03
1.428812e+00, -5.00000e-01, -4.02927e-05, -2.00000e-01, -2.43211e-03
1.448864e+00, -5.00000e-01, -3.79086e-05, -2.50000e-01, -3.02970e-03
1.468916e+00, -5.00000e-01, -3.95775e-05, -3.00000e-01, -3.62802e-03
