START TIME:2024-04-02 17:10:44
TIME(sec),GATE-VOLTAGE(V),GATE-CURRENT(A),DRAIN-VOLTAGE(V),DRAIN-CURRENT(A)
0.000000e+00, 1.00000e-01, -3.87430e-05, 1.00000e-01, 2.62976e-04
2.005100e-02, 1.00000e-01, -4.33922e-05, 5.00000e-02, 1.89424e-04
4.010300e-02, 1.00000e-01, -3.74317e-05, 1.38778e-17, 1.55449e-04
6.026400e-02, 1.00000e-01, -4.69685e-05, -5.00000e-02, 1.36375e-04
8.031600e-02, 1.00000e-01, -3.34978e-05, -1.00000e-01, 1.41740e-04
1.003680e-01, 1.00000e-01, -2.76566e-05, -1.50000e-01, 1.54257e-04
1.204200e-01, 1.00000e-01, -2.76566e-05, -2.00000e-01, 1.66059e-04
1.404720e-01, 1.00000e-01, -3.71933e-05, -2.50000e-01, 1.62840e-04
1.605230e-01, 1.00000e-01, -3.61204e-05, -3.00000e-01, 1.51396e-04
1.805750e-01, 1.00000e-01, -4.49419e-05, -3.50000e-01, 1.43886e-04
2.006270e-01, 1.00000e-01, -4.37498e-05, -4.00000e-01, 1.58668e-04
2.206790e-01, 1.00000e-01, -4.38690e-05, -4.50000e-01, 1.75118e-04
2.407310e-01, 1.00000e-01, -4.61340e-05, -5.00000e-01, 1.90258e-04
2.607830e-01, 1.00000e-01, -3.67165e-05, -5.50000e-01, 1.89424e-04
2.808380e-01, 1.00000e-01, -3.56436e-05, -6.00000e-01, 1.84774e-04
4.391130e-01, 1.38778e-17, -5.23329e-05, 1.00000e-01, 3.36409e-04
4.591650e-01, 1.38778e-17, -3.76701e-05, 5.00000e-02, 2.81930e-04
4.792180e-01, 1.38778e-17, -4.02927e-05, 1.38778e-17, 1.78814e-04
4.993780e-01, 1.38778e-17, -4.12464e-05, -5.00000e-02, 8.57115e-05
5.194300e-01, 1.38778e-17, -2.76566e-05, -1.00000e-01, 5.25713e-05
5.394810e-01, 1.38778e-17, -4.06504e-05, -1.50000e-01, 6.63996e-05
