START TIME:2024-04-03 22:18:57
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,3.600000e-06, -5.00000e-01, -1.44810e-08, -5.00000e-01, -1.59989e-03
1,2.118274e-01, -5.00000e-01, -4.98338e-09, -5.00000e-01, -1.61303e-03
1,2.118782e-01, -1.20000e+00, -1.24545e-07, -5.00000e-01, -2.77219e-03
1,2.559164e-01, -1.20000e+00, -1.06175e-07, -5.00000e-01, -2.75906e-03
2,2.559643e-01, -5.00000e-01, 6.11433e-07, -5.00000e-01, -1.36386e-03
2,3.781512e-01, -5.00000e-01, 2.46625e-08, -5.00000e-01, -1.35549e-03
2,3.781998e-01, -1.20000e+00, -2.98302e-07, -5.00000e-01, -2.88880e-03
2,4.223133e-01, -1.20000e+00, -1.41151e-07, -5.00000e-01, -2.85839e-03
3,4.223451e-01, -5.00000e-01, 5.46937e-07, -5.00000e-01, -1.34845e-03
3,5.445162e-01, -5.00000e-01, 2.15888e-08, -5.00000e-01, -1.33553e-03
3,5.445584e-01, -1.20000e+00, -2.75951e-07, -5.00000e-01, -2.91525e-03
3,5.886439e-01, -1.20000e+00, -1.28219e-07, -5.00000e-01, -2.88457e-03
4,5.886944e-01, -5.00000e-01, 5.37353e-07, -5.00000e-01, -1.33723e-03
4,7.108794e-01, -5.00000e-01, 2.14721e-08, -5.00000e-01, -1.32067e-03
4,7.109207e-01, -1.20000e+00, -2.65155e-07, -5.00000e-01, -2.93324e-03
4,7.550037e-01, -1.20000e+00, -1.21144e-07, -5.00000e-01, -2.90448e-03
5,7.550395e-01, -5.00000e-01, 5.35312e-07, -5.00000e-01, -1.32603e-03
5,8.773082e-01, -5.00000e-01, 2.09428e-08, -5.00000e-01, -1.30738e-03
5,8.773821e-01, -1.20000e+00, -2.56877e-07, -5.00000e-01, -2.94451e-03
5,9.215074e-01, -1.20000e+00, -1.16233e-07, -5.00000e-01, -2.91725e-03
6,9.216728e-01, -5.00000e-01, 5.33632e-07, -5.00000e-01, -1.31683e-03
6,1.043885e+00, -5.00000e-01, 2.11747e-08, -5.00000e-01, -1.29644e-03
6,1.043930e+00, -1.20000e+00, -2.49588e-07, -5.00000e-01, -2.95543e-03
6,1.088029e+00, -1.20000e+00, -1.13297e-07, -5.00000e-01, -2.92894e-03
7,1.088066e+00, -5.00000e-01, 5.30822e-07, -5.00000e-01, -1.30748e-03
7,1.210283e+00, -5.00000e-01, 2.09826e-08, -5.00000e-01, -1.28686e-03
7,1.210331e+00, -1.20000e+00, -2.42190e-07, -5.00000e-01, -2.96051e-03
7,1.254446e+00, -1.20000e+00, -1.11093e-07, -5.00000e-01, -2.93621e-03
8,1.254479e+00, -5.00000e-01, 5.31220e-07, -5.00000e-01, -1.29981e-03
8,1.376785e+00, -5.00000e-01, 2.11532e-08, -5.00000e-01, -1.27759e-03
8,1.376834e+00, -1.20000e+00, -2.34102e-07, -5.00000e-01, -2.96492e-03
8,1.420850e+00, -1.20000e+00, -1.09389e-07, -5.00000e-01, -2.94250e-03
9,1.420891e+00, -5.00000e-01, 5.29058e-07, -5.00000e-01, -1.29354e-03
9,1.543088e+00, -5.00000e-01, 2.09629e-08, -5.00000e-01, -1.27041e-03
9,1.543131e+00, -1.20000e+00, -2.25957e-07, -5.00000e-01, -2.96938e-03
9,1.587266e+00, -1.20000e+00, -1.07804e-07, -5.00000e-01, -2.94697e-03
10,1.587309e+00, -5.00000e-01, 5.26173e-07, -5.00000e-01, -1.28724e-03
10,1.742097e+00, -5.00000e-01, 1.64830e-08, -5.00000e-01, -1.26340e-03
10,1.742160e+00, -1.20000e+00, -2.22062e-07, -5.00000e-01, -2.96956e-03
10,1.786287e+00, -1.20000e+00, -1.05805e-07, -5.00000e-01, -2.94940e-03
11,1.786328e+00, -5.00000e-01, 5.26485e-07, -5.00000e-01, -1.28158e-03
11,1.908493e+00, -5.00000e-01, 2.02496e-08, -5.00000e-01, -1.25713e-03
11,1.908538e+00, -1.20000e+00, -2.11136e-07, -5.00000e-01, -2.97000e-03
11,1.952594e+00, -1.20000e+00, -1.05562e-07, -5.00000e-01, -2.95186e-03
12,1.952647e+00, -5.00000e-01, 5.24993e-07, -5.00000e-01, -1.27566e-03
12,2.074796e+00, -5.00000e-01, 2.00833e-08, -5.00000e-01, -1.25108e-03
12,2.074849e+00, -1.20000e+00, -2.03047e-07, -5.00000e-01, -2.97008e-03
12,2.119105e+00, -1.20000e+00, -1.04439e-07, -5.00000e-01, -2.95246e-03
13,2.119143e+00, -5.00000e-01, 5.20734e-07, -5.00000e-01, -1.27099e-03
13,2.241345e+00, -5.00000e-01, 1.95876e-08, -5.00000e-01, -1.24603e-03
13,2.241382e+00, -1.20000e+00, -1.96279e-07, -5.00000e-01, -2.96864e-03
13,2.285425e+00, -1.20000e+00, -1.03623e-07, -5.00000e-01, -2.95203e-03
14,2.285464e+00, -5.00000e-01, 5.21250e-07, -5.00000e-01, -1.26691e-03
14,2.407663e+00, -5.00000e-01, 1.98393e-08, -5.00000e-01, -1.24166e-03
14,2.407714e+00, -1.20000e+00, -1.89997e-07, -5.00000e-01, -2.96680e-03
14,2.451844e+00, -1.20000e+00, -1.02722e-07, -5.00000e-01, -2.95174e-03
15,2.451905e+00, -5.00000e-01, 5.19166e-07, -5.00000e-01, -1.26268e-03
15,2.574077e+00, -5.00000e-01, 1.95960e-08, -5.00000e-01, -1.23703e-03
15,2.574128e+00, -1.20000e+00, -1.83822e-07, -5.00000e-01, -2.96371e-03
15,2.618371e+00, -1.20000e+00, -1.01802e-07, -5.00000e-01, -2.94929e-03
16,2.618402e+00, -5.00000e-01, 5.16806e-07, -5.00000e-01, -1.25916e-03
16,2.740624e+00, -5.00000e-01, 1.90404e-08, -5.00000e-01, -1.23307e-03
16,2.740672e+00, -1.20000e+00, -1.79350e-07, -5.00000e-01, -2.95998e-03
16,2.784828e+00, -1.20000e+00, -1.01129e-07, -5.00000e-01, -2.94635e-03
17,2.784886e+00, -5.00000e-01, 5.16832e-07, -5.00000e-01, -1.25566e-03
17,2.907035e+00, -5.00000e-01, 1.87812e-08, -5.00000e-01, -1.22952e-03
17,2.907068e+00, -1.20000e+00, -1.74825e-07, -5.00000e-01, -2.95580e-03
17,2.951222e+00, -1.20000e+00, -1.00431e-07, -5.00000e-01, -2.94333e-03
18,2.951260e+00, -5.00000e-01, 5.14661e-07, -5.00000e-01, -1.25274e-03
18,3.073491e+00, -5.00000e-01, 1.88885e-08, -5.00000e-01, -1.22619e-03
18,3.073539e+00, -1.20000e+00, -1.70828e-07, -5.00000e-01, -2.95242e-03
18,3.197765e+00, -1.20000e+00, -7.18685e-08, -5.00000e-01, -2.92275e-03
19,3.197811e+00, -5.00000e-01, 2.22700e-07, -5.00000e-01, -1.23319e-03
19,3.322025e+00, -5.00000e-01, 1.85654e-08, -5.00000e-01, -1.21740e-03
19,3.322069e+00, -1.20000e+00, -1.63843e-07, -5.00000e-01, -2.94140e-03
19,3.446340e+00, -1.20000e+00, -7.01329e-08, -5.00000e-01, -2.91572e-03
20,3.446386e+00, -5.00000e-01, 2.24043e-07, -5.00000e-01, -1.22704e-03
20,3.570683e+00, -5.00000e-01, 1.89860e-08, -5.00000e-01, -1.21085e-03
20,3.570725e+00, -1.20000e+00, -1.58251e-07, -5.00000e-01, -2.93196e-03
20,3.694948e+00, -1.20000e+00, -6.97101e-08, -5.00000e-01, -2.90873e-03
21,3.694993e+00, -5.00000e-01, 2.23207e-07, -5.00000e-01, -1.22260e-03
21,3.819308e+00, -5.00000e-01, 1.89952e-08, -5.00000e-01, -1.20575e-03
21,3.819361e+00, -1.20000e+00, -1.53835e-07, -5.00000e-01, -2.92341e-03
21,3.943624e+00, -1.20000e+00, -6.94616e-08, -5.00000e-01, -2.90211e-03
22,3.943672e+00, -5.00000e-01, 2.23403e-07, -5.00000e-01, -1.21812e-03
22,4.067884e+00, -5.00000e-01, 1.88168e-08, -5.00000e-01, -1.20148e-03
22,4.067923e+00, -1.20000e+00, -1.50380e-07, -5.00000e-01, -2.91493e-03
22,4.192155e+00, -1.20000e+00, -6.93123e-08, -5.00000e-01, -2.89606e-03
23,4.192197e+00, -5.00000e-01, 2.22612e-07, -5.00000e-01, -1.21490e-03
23,4.316550e+00, -5.00000e-01, 1.83869e-08, -5.00000e-01, -1.19753e-03
23,4.316661e+00, -1.20000e+00, -1.47507e-07, -5.00000e-01, -2.90656e-03
23,4.440903e+00, -1.20000e+00, -6.92331e-08, -5.00000e-01, -2.88975e-03
24,4.440949e+00, -5.00000e-01, 2.22039e-07, -5.00000e-01, -1.21167e-03
24,4.565136e+00, -5.00000e-01, 1.83660e-08, -5.00000e-01, -1.19420e-03
24,4.565181e+00, -1.20000e+00, -1.44921e-07, -5.00000e-01, -2.89874e-03
24,4.689471e+00, -1.20000e+00, -6.91189e-08, -5.00000e-01, -2.88371e-03
25,4.689507e+00, -5.00000e-01, 2.21130e-07, -5.00000e-01, -1.20854e-03
25,4.813716e+00, -5.00000e-01, 1.79628e-08, -5.00000e-01, -1.19088e-03
25,4.813760e+00, -1.20000e+00, -1.42993e-07, -5.00000e-01, -2.89015e-03
25,4.937999e+00, -1.20000e+00, -6.91206e-08, -5.00000e-01, -2.87618e-03
26,4.938033e+00, -5.00000e-01, 2.21200e-07, -5.00000e-01, -1.20622e-03
26,5.062368e+00, -5.00000e-01, 1.79376e-08, -5.00000e-01, -1.18808e-03
26,5.062531e+00, -1.20000e+00, -1.41292e-07, -5.00000e-01, -2.88220e-03
26,5.186758e+00, -1.20000e+00, -6.90938e-08, -5.00000e-01, -2.87013e-03
27,5.186807e+00, -5.00000e-01, 2.20634e-07, -5.00000e-01, -1.20360e-03
27,5.311076e+00, -5.00000e-01, 1.76302e-08, -5.00000e-01, -1.18564e-03
27,5.311113e+00, -1.20000e+00, -1.39836e-07, -5.00000e-01, -2.87362e-03
27,5.435454e+00, -1.20000e+00, -6.91022e-08, -5.00000e-01, -2.86348e-03
28,5.435532e+00, -5.00000e-01, 2.19937e-07, -5.00000e-01, -1.20134e-03
28,5.559727e+00, -5.00000e-01, 1.73050e-08, -5.00000e-01, -1.18281e-03
28,5.559770e+00, -1.20000e+00, -1.38624e-07, -5.00000e-01, -2.86619e-03
28,5.683987e+00, -1.20000e+00, -6.91828e-08, -5.00000e-01, -2.85757e-03
29,5.684033e+00, -5.00000e-01, 2.20103e-07, -5.00000e-01, -1.19916e-03
29,5.808227e+00, -5.00000e-01, 1.69771e-08, -5.00000e-01, -1.18056e-03
29,5.808271e+00, -1.20000e+00, -1.37476e-07, -5.00000e-01, -2.85893e-03
29,5.932658e+00, -1.20000e+00, -6.92050e-08, -5.00000e-01, -2.85184e-03
30,5.932699e+00, -5.00000e-01, 2.18708e-07, -5.00000e-01, -1.19735e-03
30,6.056914e+00, -5.00000e-01, 1.66345e-08, -5.00000e-01, -1.17865e-03
30,6.056961e+00, -1.20000e+00, -1.36666e-07, -5.00000e-01, -2.85124e-03
30,6.181317e+00, -1.20000e+00, -6.92716e-08, -5.00000e-01, -2.84483e-03
31,6.181384e+00, -5.00000e-01, 2.19613e-07, -5.00000e-01, -1.19516e-03
31,6.305791e+00, -5.00000e-01, 1.66886e-08, -5.00000e-01, -1.17628e-03
31,6.305823e+00, -1.20000e+00, -1.35756e-07, -5.00000e-01, -2.84355e-03
