START TIME:2024-04-03 22:28:31
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,4.400000e-06, -5.00000e-01, -1.51738e-07, -5.00000e-01, -8.45400e-04
1,1.244767e-01, -5.00000e-01, -1.31824e-08, -5.00000e-01, -8.60739e-04
1,1.245453e-01, 1.20000e+00, 8.06981e-07, -5.00000e-01, -3.37715e-07
1,1.711719e-01, 1.20000e+00, 4.31952e-07, -5.00000e-01, -2.70254e-07
2,1.712191e-01, -5.00000e-01, -4.54328e-07, -5.00000e-01, -8.29934e-04
2,2.937445e-01, -5.00000e-01, -1.93021e-08, -5.00000e-01, -8.45794e-04
2,2.937857e-01, 1.20000e+00, 7.39396e-07, -5.00000e-01, -2.68539e-07
2,3.403983e-01, 1.20000e+00, 3.65255e-07, -5.00000e-01, -2.08930e-07
3,3.404373e-01, -5.00000e-01, -4.45676e-07, -5.00000e-01, -8.60818e-04
3,4.628386e-01, -5.00000e-01, -2.04522e-08, -5.00000e-01, -8.75791e-04
3,4.628966e-01, 1.20000e+00, 7.16995e-07, -5.00000e-01, -2.41120e-07
3,5.094805e-01, 1.20000e+00, 3.36833e-07, -5.00000e-01, -1.83097e-07
4,5.095268e-01, -5.00000e-01, -4.40916e-07, -5.00000e-01, -8.87804e-04
4,6.319556e-01, -5.00000e-01, -2.09434e-08, -5.00000e-01, -9.02109e-04
4,6.319981e-01, 1.20000e+00, 7.05851e-07, -5.00000e-01, -2.29019e-07
4,6.786936e-01, 1.20000e+00, 3.22837e-07, -5.00000e-01, -1.70786e-07
5,6.788163e-01, -5.00000e-01, -4.34625e-07, -5.00000e-01, -9.13325e-04
5,8.012005e-01, -5.00000e-01, -2.22413e-08, -5.00000e-01, -9.26997e-04
5,8.012651e-01, 1.20000e+00, 6.98611e-07, -5.00000e-01, -2.22060e-07
5,8.478215e-01, 1.20000e+00, 3.14442e-07, -5.00000e-01, -1.63188e-07
6,8.481820e-01, -5.00000e-01, -4.27654e-07, -5.00000e-01, -9.37621e-04
6,9.706478e-01, -5.00000e-01, -2.21005e-08, -5.00000e-01, -9.50657e-04
6,9.708238e-01, 1.20000e+00, 6.94576e-07, -5.00000e-01, -2.16796e-07
6,1.017421e+00, 1.20000e+00, 3.07829e-07, -5.00000e-01, -1.57181e-07
7,1.017466e+00, -5.00000e-01, -4.10013e-07, -5.00000e-01, -9.60565e-04
7,1.139917e+00, -5.00000e-01, -2.28145e-08, -5.00000e-01, -9.73847e-04
7,1.139966e+00, 1.20000e+00, 6.90067e-07, -5.00000e-01, -2.12622e-07
7,1.186629e+00, 1.20000e+00, 3.02496e-07, -5.00000e-01, -1.52926e-07
8,1.186687e+00, -5.00000e-01, -4.18158e-07, -5.00000e-01, -9.84205e-04
8,1.309030e+00, -5.00000e-01, -2.31378e-08, -5.00000e-01, -9.96931e-04
8,1.309076e+00, 1.20000e+00, 6.86888e-07, -5.00000e-01, -2.09461e-07
