START TIME:2024-04-03 22:36:15
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,6.200000e-06, -5.00000e-01, -1.19312e-07, -5.00000e-01, -3.19273e-04
1,1.246186e-01, -5.00000e-01, -1.29763e-08, -5.00000e-01, -3.23483e-04
1,1.247086e-01, 1.20000e+00, 8.68070e-07, -5.00000e-01, -3.56933e-07
1,1.714242e-01, 1.20000e+00, 4.40722e-07, -5.00000e-01, -2.69757e-07
1,2.179876e-01, 1.20000e+00, 3.46424e-07, -5.00000e-01, -2.22607e-07
2,2.180319e-01, -5.00000e-01, -3.73938e-07, -5.00000e-01, -4.16134e-04
2,3.404627e-01, -5.00000e-01, -2.28000e-08, -5.00000e-01, -4.21661e-04
2,3.404975e-01, 1.20000e+00, 7.77084e-07, -5.00000e-01, -2.85105e-07
2,3.871767e-01, 1.20000e+00, 3.72054e-07, -5.00000e-01, -2.12075e-07
2,4.337132e-01, 1.20000e+00, 2.90186e-07, -5.00000e-01, -1.75352e-07
3,4.337551e-01, -5.00000e-01, -3.69159e-07, -5.00000e-01, -4.61020e-04
3,5.561766e-01, -5.00000e-01, -2.64866e-08, -5.00000e-01, -4.67444e-04
3,5.562292e-01, 1.20000e+00, 7.56141e-07, -5.00000e-01, -2.63984e-07
3,6.028414e-01, 1.20000e+00, 3.49435e-07, -5.00000e-01, -1.92469e-07
3,6.494347e-01, 1.20000e+00, 2.68445e-07, -5.00000e-01, -1.57377e-07
4,6.494821e-01, -5.00000e-01, -3.68512e-07, -5.00000e-01, -5.02491e-04
4,7.717658e-01, -5.00000e-01, -2.79018e-08, -5.00000e-01, -5.08463e-04
4,7.718108e-01, 1.20000e+00, 7.43638e-07, -5.00000e-01, -2.53264e-07
4,8.184367e-01, 1.20000e+00, 3.37240e-07, -5.00000e-01, -1.82472e-07
4,8.651005e-01, 1.20000e+00, 2.56332e-07, -5.00000e-01, -1.47984e-07
5,8.651387e-01, -5.00000e-01, -3.64355e-07, -5.00000e-01, -5.30426e-04
