START TIME:2024-04-03 22:06:48
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,2.100000e-06, -5.00000e-01, -1.53773e-08, -5.00000e-01, -1.44269e-03
1,2.117998e-01, -5.00000e-01, -4.80608e-09, -5.00000e-01, -1.45787e-03
1,2.118715e-01, 0.00000e+00, 1.50755e-08, -5.00000e-01, -5.03410e-05
1,4.238853e-01, 0.00000e+00, 5.58546e-09, -5.00000e-01, -4.98274e-05
2,4.239360e-01, -5.00000e-01, -1.13718e-08, -5.00000e-01, -1.45163e-03
2,6.356367e-01, -5.00000e-01, -4.35817e-09, -5.00000e-01, -1.46314e-03
2,6.356895e-01, 0.00000e+00, 1.47159e-08, -5.00000e-01, -5.10533e-05
2,8.476023e-01, 0.00000e+00, 5.59658e-09, -5.00000e-01, -5.05695e-05
3,8.476547e-01, -5.00000e-01, -1.08376e-08, -5.00000e-01, -1.45637e-03
3,1.059554e+00, -5.00000e-01, -4.20671e-09, -5.00000e-01, -1.46747e-03
3,1.059607e+00, 0.00000e+00, 1.42516e-08, -5.00000e-01, -5.16346e-05
3,1.271575e+00, 0.00000e+00, 5.19397e-09, -5.00000e-01, -5.10960e-05
4,1.271640e+00, -5.00000e-01, -1.07260e-08, -5.00000e-01, -1.46003e-03
4,1.483480e+00, -5.00000e-01, -4.02666e-09, -5.00000e-01, -1.47069e-03
4,1.483528e+00, 0.00000e+00, 1.42624e-08, -5.00000e-01, -5.20638e-05
4,1.695421e+00, 0.00000e+00, 5.20471e-09, -5.00000e-01, -5.15308e-05
5,1.695469e+00, -5.00000e-01, -1.07954e-08, -5.00000e-01, -1.46246e-03
5,1.907343e+00, -5.00000e-01, -4.03705e-09, -5.00000e-01, -1.47323e-03
5,1.907389e+00, 0.00000e+00, 1.42344e-08, -5.00000e-01, -5.25004e-05
5,2.119435e+00, 0.00000e+00, 5.10014e-09, -5.00000e-01, -5.19415e-05
6,2.119674e+00, -5.00000e-01, -1.06879e-08, -5.00000e-01, -1.46496e-03
6,2.331469e+00, -5.00000e-01, -4.09480e-09, -5.00000e-01, -1.47563e-03
6,2.331515e+00, 0.00000e+00, 1.42824e-08, -5.00000e-01, -5.29040e-05
6,2.543387e+00, 0.00000e+00, 5.29401e-09, -5.00000e-01, -5.23414e-05
7,2.543433e+00, -5.00000e-01, -1.04613e-08, -5.00000e-01, -1.46702e-03
7,2.755264e+00, -5.00000e-01, -4.04895e-09, -5.00000e-01, -1.47770e-03
7,2.755311e+00, 0.00000e+00, 1.39194e-08, -5.00000e-01, -5.33028e-05
7,2.967280e+00, 0.00000e+00, 5.29410e-09, -5.00000e-01, -5.27245e-05
8,2.967329e+00, -5.00000e-01, -1.08320e-08, -5.00000e-01, -1.46926e-03
8,3.179090e+00, -5.00000e-01, -4.13038e-09, -5.00000e-01, -1.48007e-03
8,3.179135e+00, 0.00000e+00, 1.42232e-08, -5.00000e-01, -5.36856e-05
8,3.391056e+00, 0.00000e+00, 5.31910e-09, -5.00000e-01, -5.31193e-05
9,3.391104e+00, -5.00000e-01, -1.06798e-08, -5.00000e-01, -1.47164e-03
9,3.602854e+00, -5.00000e-01, -3.93490e-09, -5.00000e-01, -1.48234e-03
9,3.602908e+00, 0.00000e+00, 1.41279e-08, -5.00000e-01, -5.40526e-05
9,3.814856e+00, 0.00000e+00, 5.17901e-09, -5.00000e-01, -5.34717e-05
10,3.814916e+00, -5.00000e-01, -1.03112e-08, -5.00000e-01, -1.47421e-03
10,4.026747e+00, -5.00000e-01, -4.12674e-09, -5.00000e-01, -1.48516e-03
10,4.026822e+00, 0.00000e+00, 1.41538e-08, -5.00000e-01, -5.44399e-05
10,4.238796e+00, 0.00000e+00, 5.18485e-09, -5.00000e-01, -5.38446e-05
11,4.238837e+00, -5.00000e-01, -1.05374e-08, -5.00000e-01, -1.47619e-03
11,4.450569e+00, -5.00000e-01, -4.09755e-09, -5.00000e-01, -1.48695e-03
11,4.450621e+00, 0.00000e+00, 1.39934e-08, -5.00000e-01, -5.48399e-05
11,4.662617e+00, 0.00000e+00, 5.17019e-09, -5.00000e-01, -5.42374e-05
12,4.662722e+00, -5.00000e-01, -1.05122e-08, -5.00000e-01, -1.47855e-03
12,4.874554e+00, -5.00000e-01, -4.13649e-09, -5.00000e-01, -1.48909e-03
12,4.874597e+00, 0.00000e+00, 1.41231e-08, -5.00000e-01, -5.51917e-05
12,5.086593e+00, 0.00000e+00, 5.15095e-09, -5.00000e-01, -5.46098e-05
13,5.086652e+00, -5.00000e-01, -1.01417e-08, -5.00000e-01, -1.48015e-03
13,5.298510e+00, -5.00000e-01, -3.85657e-09, -5.00000e-01, -1.49070e-03
13,5.298564e+00, 0.00000e+00, 1.40620e-08, -5.00000e-01, -5.55845e-05
13,5.510442e+00, 0.00000e+00, 5.05997e-09, -5.00000e-01, -5.50120e-05
14,5.510509e+00, -5.00000e-01, -1.04909e-08, -5.00000e-01, -1.48292e-03
14,5.722339e+00, -5.00000e-01, -3.86534e-09, -5.00000e-01, -1.49313e-03
14,5.722452e+00, 0.00000e+00, 1.39559e-08, -5.00000e-01, -5.59452e-05
14,5.934364e+00, 0.00000e+00, 5.07636e-09, -5.00000e-01, -5.53729e-05
15,5.934468e+00, -5.00000e-01, -1.04502e-08, -5.00000e-01, -1.48465e-03
15,6.146269e+00, -5.00000e-01, -3.88527e-09, -5.00000e-01, -1.49517e-03
15,6.146321e+00, 0.00000e+00, 1.40798e-08, -5.00000e-01, -5.63585e-05
