START TIME:2024-04-03 22:31:08
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,2.000000e-06, -5.00000e-01, -1.29402e-08, -5.00000e-01, -1.53988e-03
1,2.118292e-01, -5.00000e-01, -5.76235e-09, -5.00000e-01, -1.52924e-03
1,2.118747e-01, 0.00000e+00, 2.07180e-08, -5.00000e-01, -3.82697e-04
1,2.686032e-01, 0.00000e+00, 1.56652e-08, -5.00000e-01, -3.83322e-04
2,2.686392e-01, -5.00000e-01, -5.24918e-08, -5.00000e-01, -1.52336e-03
2,3.929405e-01, -5.00000e-01, -1.49328e-08, -5.00000e-01, -1.51980e-03
2,3.929757e-01, 0.00000e+00, 6.03985e-08, -5.00000e-01, -3.81046e-04
2,5.172754e-01, 0.00000e+00, 1.51955e-08, -5.00000e-01, -3.82379e-04
3,5.173226e-01, -5.00000e-01, -5.16155e-08, -5.00000e-01, -1.51767e-03
3,6.416328e-01, -5.00000e-01, -1.44480e-08, -5.00000e-01, -1.51369e-03
3,6.416745e-01, 0.00000e+00, 5.91469e-08, -5.00000e-01, -3.80378e-04
3,7.660685e-01, 0.00000e+00, 1.41588e-08, -5.00000e-01, -3.81822e-04
4,7.661111e-01, -5.00000e-01, -5.04845e-08, -5.00000e-01, -1.51524e-03
4,8.903845e-01, -5.00000e-01, -1.53951e-08, -5.00000e-01, -1.51177e-03
4,8.904493e-01, 0.00000e+00, 5.83659e-08, -5.00000e-01, -3.80277e-04
4,1.014868e+00, 0.00000e+00, 1.29268e-08, -5.00000e-01, -3.81094e-04
5,1.014908e+00, -5.00000e-01, -5.01885e-08, -5.00000e-01, -1.51132e-03
5,1.139128e+00, -5.00000e-01, -1.48680e-08, -5.00000e-01, -1.50852e-03
5,1.139181e+00, 0.00000e+00, 5.77956e-08, -5.00000e-01, -3.79463e-04
5,1.263487e+00, 0.00000e+00, 1.27887e-08, -5.00000e-01, -3.80284e-04
6,1.263539e+00, -5.00000e-01, -4.98012e-08, -5.00000e-01, -1.50940e-03
6,1.387875e+00, -5.00000e-01, -1.52645e-08, -5.00000e-01, -1.50536e-03
6,1.387919e+00, 0.00000e+00, 5.62644e-08, -5.00000e-01, -3.79090e-04
6,1.512325e+00, 0.00000e+00, 1.25749e-08, -5.00000e-01, -3.79783e-04
7,1.512455e+00, -5.00000e-01, -5.08739e-08, -5.00000e-01, -1.50637e-03
7,1.636746e+00, -5.00000e-01, -1.46215e-08, -5.00000e-01, -1.50383e-03
7,1.636813e+00, 0.00000e+00, 5.59819e-08, -5.00000e-01, -3.78108e-04
7,1.761320e+00, 0.00000e+00, 1.22198e-08, -5.00000e-01, -3.78743e-04
8,1.761363e+00, -5.00000e-01, -4.89110e-08, -5.00000e-01, -1.50406e-03
8,1.885695e+00, -5.00000e-01, -1.37177e-08, -5.00000e-01, -1.50138e-03
8,1.885764e+00, 0.00000e+00, 5.56399e-08, -5.00000e-01, -3.77427e-04
8,2.010140e+00, 0.00000e+00, 1.19987e-08, -5.00000e-01, -3.77935e-04
9,2.010190e+00, -5.00000e-01, -4.78269e-08, -5.00000e-01, -1.49994e-03
9,2.134533e+00, -5.00000e-01, -1.38280e-08, -5.00000e-01, -1.49766e-03
9,2.134602e+00, 0.00000e+00, 5.50605e-08, -5.00000e-01, -3.76286e-04
9,2.258923e+00, 0.00000e+00, 1.12015e-08, -5.00000e-01, -3.76697e-04
10,2.258982e+00, -5.00000e-01, -4.81443e-08, -5.00000e-01, -1.49519e-03
10,2.383285e+00, -5.00000e-01, -1.36157e-08, -5.00000e-01, -1.49332e-03
10,2.383332e+00, 0.00000e+00, 5.51255e-08, -5.00000e-01, -3.75288e-04
10,2.507735e+00, 0.00000e+00, 1.14798e-08, -5.00000e-01, -3.75976e-04
11,2.507781e+00, -5.00000e-01, -4.75595e-08, -5.00000e-01, -1.49373e-03
11,2.632074e+00, -5.00000e-01, -1.39639e-08, -5.00000e-01, -1.49199e-03
11,2.632126e+00, 0.00000e+00, 5.45192e-08, -5.00000e-01, -3.75131e-04
11,2.756443e+00, 0.00000e+00, 1.12105e-08, -5.00000e-01, -3.75413e-04
12,2.756486e+00, -5.00000e-01, -4.57904e-08, -5.00000e-01, -1.49060e-03
12,2.880799e+00, -5.00000e-01, -1.45372e-08, -5.00000e-01, -1.48898e-03
12,2.880845e+00, 0.00000e+00, 5.31130e-08, -5.00000e-01, -3.73653e-04
12,3.005157e+00, 0.00000e+00, 1.03709e-08, -5.00000e-01, -3.74068e-04
13,3.005204e+00, -5.00000e-01, -4.62350e-08, -5.00000e-01, -1.48728e-03
13,3.129473e+00, -5.00000e-01, -1.27720e-08, -5.00000e-01, -1.48555e-03
13,3.129531e+00, 0.00000e+00, 5.34329e-08, -5.00000e-01, -3.72853e-04
13,3.253937e+00, 0.00000e+00, 1.08085e-08, -5.00000e-01, -3.73259e-04
14,3.253989e+00, -5.00000e-01, -4.59820e-08, -5.00000e-01, -1.48294e-03
14,3.378222e+00, -5.00000e-01, -1.35621e-08, -5.00000e-01, -1.48291e-03
14,3.378277e+00, 0.00000e+00, 5.28702e-08, -5.00000e-01, -3.72163e-04
14,3.502716e+00, 0.00000e+00, 1.04406e-08, -5.00000e-01, -3.72614e-04
15,3.502798e+00, -5.00000e-01, -4.54198e-08, -5.00000e-01, -1.48030e-03
15,3.627009e+00, -5.00000e-01, -1.29962e-08, -5.00000e-01, -1.47945e-03
15,3.627053e+00, 0.00000e+00, 5.28692e-08, -5.00000e-01, -3.70897e-04
15,3.751430e+00, 0.00000e+00, 1.07918e-08, -5.00000e-01, -3.71388e-04
16,3.751469e+00, -5.00000e-01, -4.53603e-08, -5.00000e-01, -1.47691e-03
16,3.875684e+00, -5.00000e-01, -1.34968e-08, -5.00000e-01, -1.47442e-03
16,3.875729e+00, 0.00000e+00, 4.56378e-08, -5.00000e-01, -3.70129e-04
16,4.155309e+00, 0.00000e+00, 5.55032e-09, -5.00000e-01, -3.71057e-04
17,4.155507e+00, -5.00000e-01, -1.53127e-08, -5.00000e-01, -1.47415e-03
17,4.212448e+00, -5.00000e-01, -1.20090e-08, -5.00000e-01, -1.47333e-03
17,4.212588e+00, 0.00000e+00, 5.44754e-08, -5.00000e-01, -3.69549e-04
17,4.337075e+00, 0.00000e+00, 1.05171e-08, -5.00000e-01, -3.69555e-04
18,4.337132e+00, -5.00000e-01, -4.45248e-08, -5.00000e-01, -1.47060e-03
18,4.461440e+00, -5.00000e-01, -1.29922e-08, -5.00000e-01, -1.47056e-03
