START TIME:2024-04-03 23:01:12
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,4.100000e-06, -5.00000e-01, -2.51984e-09, -5.00000e-01, -5.68851e-03
1,1.316193e-01, -5.00000e-01, -1.64446e-09, -5.00000e-01, -5.69338e-03
1,1.316640e-01, -1.20000e+00, -4.38398e-08, -5.00000e-01, -6.04940e-03
1,1.883283e-01, -1.20000e+00, -3.57304e-08, -5.00000e-01, -6.05936e-03
1,2.448907e-01, -1.20000e+00, -3.06870e-08, -5.00000e-01, -6.07003e-03
1,3.015349e-01, -1.20000e+00, -2.72200e-08, -5.00000e-01, -6.07808e-03
1,3.581371e-01, -1.20000e+00, -2.46804e-08, -5.00000e-01, -6.08554e-03
1,4.146578e-01, -1.20000e+00, -2.27407e-08, -5.00000e-01, -6.09318e-03
1,4.713066e-01, -1.20000e+00, -2.11933e-08, -5.00000e-01, -6.10070e-03
1,5.278484e-01, -1.20000e+00, -1.99423e-08, -5.00000e-01, -6.10872e-03
1,5.844566e-01, -1.20000e+00, -1.89215e-08, -5.00000e-01, -6.11482e-03
1,6.411335e-01, -1.20000e+00, -1.80542e-08, -5.00000e-01, -6.12190e-03
2,6.411778e-01, -5.00000e-01, 2.57672e-07, -5.00000e-01, -5.81418e-03
2,9.213232e-01, -5.00000e-01, 2.70420e-09, -5.00000e-01, -5.78468e-03
2,9.213684e-01, -1.20000e+00, -4.11595e-08, -5.00000e-01, -6.10972e-03
2,9.780157e-01, -1.20000e+00, -3.34402e-08, -5.00000e-01, -6.11747e-03
2,1.034648e+00, -1.20000e+00, -2.86823e-08, -5.00000e-01, -6.12797e-03
2,1.091282e+00, -1.20000e+00, -2.54263e-08, -5.00000e-01, -6.13700e-03
2,1.147865e+00, -1.20000e+00, -2.30936e-08, -5.00000e-01, -6.14303e-03
2,1.204499e+00, -1.20000e+00, -2.13313e-08, -5.00000e-01, -6.15109e-03
2,1.261143e+00, -1.20000e+00, -1.99417e-08, -5.00000e-01, -6.15857e-03
2,1.317769e+00, -1.20000e+00, -1.88216e-08, -5.00000e-01, -6.16203e-03
2,1.374243e+00, -1.20000e+00, -1.78894e-08, -5.00000e-01, -6.16944e-03
2,1.430865e+00, -1.20000e+00, -1.71070e-08, -5.00000e-01, -6.17625e-03
3,1.430907e+00, -5.00000e-01, 2.58895e-07, -5.00000e-01, -5.87345e-03
3,1.710392e+00, -5.00000e-01, 2.62373e-09, -5.00000e-01, -5.84949e-03
3,1.710555e+00, -1.20000e+00, -4.10758e-08, -5.00000e-01, -6.16352e-03
3,1.767124e+00, -1.20000e+00, -3.30934e-08, -5.00000e-01, -6.17508e-03
3,1.823680e+00, -1.20000e+00, -2.82199e-08, -5.00000e-01, -6.18583e-03
3,1.880404e+00, -1.20000e+00, -2.49509e-08, -5.00000e-01, -6.19280e-03
3,1.937092e+00, -1.20000e+00, -2.25636e-08, -5.00000e-01, -6.19945e-03
3,1.993715e+00, -1.20000e+00, -2.08062e-08, -5.00000e-01, -6.20531e-03
3,2.050360e+00, -1.20000e+00, -1.94280e-08, -5.00000e-01, -6.21113e-03
3,2.106932e+00, -1.20000e+00, -1.83104e-08, -5.00000e-01, -6.21520e-03
3,2.163424e+00, -1.20000e+00, -1.74089e-08, -5.00000e-01, -6.22070e-03
3,2.220060e+00, -1.20000e+00, -1.66446e-08, -5.00000e-01, -6.22713e-03
4,2.220107e+00, -5.00000e-01, 2.56793e-07, -5.00000e-01, -5.92494e-03
4,2.499518e+00, -5.00000e-01, 2.31956e-09, -5.00000e-01, -5.90123e-03
4,2.499570e+00, -1.20000e+00, -4.11418e-08, -5.00000e-01, -6.20805e-03
4,2.556198e+00, -1.20000e+00, -3.29969e-08, -5.00000e-01, -6.21719e-03
4,2.612706e+00, -1.20000e+00, -2.80196e-08, -5.00000e-01, -6.22560e-03
4,2.669313e+00, -1.20000e+00, -2.46853e-08, -5.00000e-01, -6.23257e-03
4,2.725906e+00, -1.20000e+00, -2.22892e-08, -5.00000e-01, -6.23961e-03
4,2.782488e+00, -1.20000e+00, -2.05090e-08, -5.00000e-01, -6.24552e-03
4,2.839038e+00, -1.20000e+00, -1.91067e-08, -5.00000e-01, -6.25210e-03
4,2.895618e+00, -1.20000e+00, -1.80028e-08, -5.00000e-01, -6.25704e-03
4,2.952216e+00, -1.20000e+00, -1.71055e-08, -5.00000e-01, -6.25986e-03
4,3.008767e+00, -1.20000e+00, -1.63453e-08, -5.00000e-01, -6.26491e-03
5,3.008810e+00, -5.00000e-01, 2.52847e-07, -5.00000e-01, -5.96723e-03
5,3.288160e+00, -5.00000e-01, 3.44119e-09, -5.00000e-01, -5.94608e-03
5,3.288213e+00, -1.20000e+00, -4.11572e-08, -5.00000e-01, -6.24580e-03
5,3.344872e+00, -1.20000e+00, -3.29126e-08, -5.00000e-01, -6.25698e-03
5,3.401350e+00, -1.20000e+00, -2.78649e-08, -5.00000e-01, -6.26423e-03
5,3.457905e+00, -1.20000e+00, -2.44893e-08, -5.00000e-01, -6.27005e-03
5,3.514494e+00, -1.20000e+00, -2.20706e-08, -5.00000e-01, -6.27565e-03
5,3.571060e+00, -1.20000e+00, -2.02595e-08, -5.00000e-01, -6.28287e-03
5,3.627653e+00, -1.20000e+00, -1.88592e-08, -5.00000e-01, -6.28783e-03
5,3.684292e+00, -1.20000e+00, -1.77515e-08, -5.00000e-01, -6.29260e-03
5,3.740804e+00, -1.20000e+00, -1.68321e-08, -5.00000e-01, -6.29663e-03
5,3.797341e+00, -1.20000e+00, -1.60924e-08, -5.00000e-01, -6.30085e-03
6,3.797381e+00, -5.00000e-01, 2.43528e-07, -5.00000e-01, -6.00470e-03
6,4.076810e+00, -5.00000e-01, 2.66900e-09, -5.00000e-01, -5.98434e-03
6,4.076862e+00, -1.20000e+00, -4.11272e-08, -5.00000e-01, -6.28561e-03
6,4.133584e+00, -1.20000e+00, -3.27903e-08, -5.00000e-01, -6.29595e-03
6,4.190174e+00, -1.20000e+00, -2.77043e-08, -5.00000e-01, -6.30408e-03
6,4.246795e+00, -1.20000e+00, -2.42755e-08, -5.00000e-01, -6.31133e-03
6,4.303384e+00, -1.20000e+00, -2.18453e-08, -5.00000e-01, -6.31786e-03
6,4.359916e+00, -1.20000e+00, -2.00220e-08, -5.00000e-01, -6.32262e-03
6,4.416543e+00, -1.20000e+00, -1.86217e-08, -5.00000e-01, -6.32644e-03
6,4.473049e+00, -1.20000e+00, -1.74954e-08, -5.00000e-01, -6.33200e-03
6,4.529557e+00, -1.20000e+00, -1.65901e-08, -5.00000e-01, -6.33810e-03
6,4.586229e+00, -1.20000e+00, -1.58442e-08, -5.00000e-01, -6.34192e-03
7,4.586269e+00, -5.00000e-01, 2.30571e-07, -5.00000e-01, -6.04688e-03
7,4.865708e+00, -5.00000e-01, 3.11897e-09, -5.00000e-01, -6.02932e-03
7,4.865754e+00, -1.20000e+00, -4.10468e-08, -5.00000e-01, -6.32816e-03
7,4.922312e+00, -1.20000e+00, -3.26716e-08, -5.00000e-01, -6.33736e-03
7,4.978883e+00, -1.20000e+00, -2.75638e-08, -5.00000e-01, -6.34330e-03
7,5.035446e+00, -1.20000e+00, -2.41167e-08, -5.00000e-01, -6.34981e-03
7,5.091982e+00, -1.20000e+00, -2.16533e-08, -5.00000e-01, -6.35513e-03
7,5.148633e+00, -1.20000e+00, -1.98411e-08, -5.00000e-01, -6.35947e-03
7,5.205271e+00, -1.20000e+00, -1.84104e-08, -5.00000e-01, -6.36340e-03
7,5.261888e+00, -1.20000e+00, -1.72862e-08, -5.00000e-01, -6.36719e-03
7,5.318400e+00, -1.20000e+00, -1.63734e-08, -5.00000e-01, -6.37102e-03
7,5.375052e+00, -1.20000e+00, -1.56134e-08, -5.00000e-01, -6.37488e-03
8,5.375087e+00, -5.00000e-01, 2.17086e-07, -5.00000e-01, -6.08570e-03
8,5.654437e+00, -5.00000e-01, 2.90373e-09, -5.00000e-01, -6.06489e-03
8,5.654485e+00, -1.20000e+00, -4.09346e-08, -5.00000e-01, -6.35957e-03
8,5.711102e+00, -1.20000e+00, -3.25281e-08, -5.00000e-01, -6.36610e-03
8,5.767661e+00, -1.20000e+00, -2.73838e-08, -5.00000e-01, -6.37328e-03
8,5.824305e+00, -1.20000e+00, -2.39337e-08, -5.00000e-01, -6.37638e-03
8,5.880982e+00, -1.20000e+00, -2.14674e-08, -5.00000e-01, -6.38108e-03
