START TIME:2024-04-03 23:19:12
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,2.500000e-06, -5.00000e-01, -2.17844e-07, -5.00000e-01, -4.40390e-04
1,1.244011e-01, -5.00000e-01, -4.95177e-08, -5.00000e-01, -5.24849e-04
1,1.244458e-01, -1.20000e+00, -1.27359e-07, -5.00000e-01, -6.98605e-04
1,2.488358e-01, -1.20000e+00, -6.60674e-08, -5.00000e-01, -8.27030e-04
1,3.057030e-01, -1.20000e+00, -5.61543e-08, -5.00000e-01, -8.74343e-04
1,3.623712e-01, -1.20000e+00, -4.96828e-08, -5.00000e-01, -9.17711e-04
1,4.190970e-01, -1.20000e+00, -4.51377e-08, -5.00000e-01, -9.58499e-04
1,4.757664e-01, -1.20000e+00, -4.14205e-08, -5.00000e-01, -9.97401e-04
1,5.526300e-01, -1.20000e+00, -3.83575e-08, -5.00000e-01, -1.04704e-03
1,6.092213e-01, -1.20000e+00, -3.49137e-08, -5.00000e-01, -1.08199e-03
1,6.657417e-01, -1.20000e+00, -3.30915e-08, -5.00000e-01, -1.11600e-03
2,6.657769e-01, -5.00000e-01, 4.84419e-08, -5.00000e-01, -9.92135e-04
2,8.651649e-01, -5.00000e-01, -5.16714e-09, -5.00000e-01, -9.97121e-04
2,8.652311e-01, -1.20000e+00, -3.19059e-08, -5.00000e-01, -1.31440e-03
2,9.220443e-01, -1.20000e+00, -2.84335e-08, -5.00000e-01, -1.34833e-03
2,9.786831e-01, -1.20000e+00, -2.72904e-08, -5.00000e-01, -1.38144e-03
2,1.035320e+00, -1.20000e+00, -2.64922e-08, -5.00000e-01, -1.41403e-03
2,1.091906e+00, -1.20000e+00, -2.58565e-08, -5.00000e-01, -1.44631e-03
2,1.148388e+00, -1.20000e+00, -2.53192e-08, -5.00000e-01, -1.47839e-03
2,1.204870e+00, -1.20000e+00, -2.48607e-08, -5.00000e-01, -1.51030e-03
2,1.261642e+00, -1.20000e+00, -2.44492e-08, -5.00000e-01, -1.54235e-03
2,1.318171e+00, -1.20000e+00, -2.40823e-08, -5.00000e-01, -1.57449e-03
2,1.374823e+00, -1.20000e+00, -2.37564e-08, -5.00000e-01, -1.60624e-03
3,1.374944e+00, -5.00000e-01, 5.63395e-08, -5.00000e-01, -1.43042e-03
3,1.654350e+00, -5.00000e-01, -1.06863e-09, -5.00000e-01, -1.40129e-03
3,1.654509e+00, -1.20000e+00, -3.00736e-08, -5.00000e-01, -1.78688e-03
3,1.711226e+00, -1.20000e+00, -2.58798e-08, -5.00000e-01, -1.82489e-03
3,1.767896e+00, -1.20000e+00, -2.41265e-08, -5.00000e-01, -1.86100e-03
3,1.824530e+00, -1.20000e+00, -2.32324e-08, -5.00000e-01, -1.89564e-03
3,1.881028e+00, -1.20000e+00, -2.26779e-08, -5.00000e-01, -1.92993e-03
3,1.937524e+00, -1.20000e+00, -2.23115e-08, -5.00000e-01, -1.96375e-03
3,1.994131e+00, -1.20000e+00, -2.20102e-08, -5.00000e-01, -1.99763e-03
3,2.050717e+00, -1.20000e+00, -2.17605e-08, -5.00000e-01, -2.03168e-03
3,2.107237e+00, -1.20000e+00, -2.15290e-08, -5.00000e-01, -2.06556e-03
3,2.163816e+00, -1.20000e+00, -2.13303e-08, -5.00000e-01, -2.09947e-03
4,2.163862e+00, -5.00000e-01, 6.01168e-08, -5.00000e-01, -1.86837e-03
4,4.018534e+00, -5.00000e-01, -3.64398e-09, -5.00000e-01, -1.98291e-03
4,4.018608e+00, -1.20000e+00, -3.30896e-08, -5.00000e-01, -2.50572e-03
4,4.075212e+00, -1.20000e+00, -2.83868e-08, -5.00000e-01, -2.55603e-03
4,4.131730e+00, -1.20000e+00, -2.55351e-08, -5.00000e-01, -2.60195e-03
4,4.188320e+00, -1.20000e+00, -2.36209e-08, -5.00000e-01, -2.64440e-03
4,4.244837e+00, -1.20000e+00, -2.23369e-08, -5.00000e-01, -2.68514e-03
4,4.301371e+00, -1.20000e+00, -2.15218e-08, -5.00000e-01, -2.72445e-03
4,4.357946e+00, -1.20000e+00, -2.10088e-08, -5.00000e-01, -2.76287e-03
4,4.414460e+00, -1.20000e+00, -2.06373e-08, -5.00000e-01, -2.80132e-03
4,4.471021e+00, -1.20000e+00, -2.03543e-08, -5.00000e-01, -2.83931e-03
4,4.527606e+00, -1.20000e+00, -2.01117e-08, -5.00000e-01, -2.87718e-03
5,4.527647e+00, -5.00000e-01, 6.65679e-08, -5.00000e-01, -2.56334e-03
5,4.651922e+00, -5.00000e-01, 1.15116e-08, -5.00000e-01, -2.48322e-03
5,4.651995e+00, -1.20000e+00, -7.87131e-08, -5.00000e-01, -2.85919e-03
5,4.776242e+00, -1.20000e+00, -2.87294e-08, -5.00000e-01, -3.01055e-03
