START TIME:2024-04-03 23:13:10
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,2.000000e-06, -5.00000e-01, -1.13959e-08, -5.00000e-01, -7.23606e-03
1,2.117866e-01, -5.00000e-01, -1.99751e-09, -5.00000e-01, -7.23897e-03
1,2.118307e-01, 1.20000e+00, 1.65098e-07, -5.00000e-01, -3.36662e-08
1,3.513242e-01, 1.20000e+00, 4.52332e-08, -5.00000e-01, -2.56892e-08
1,4.230090e-01, 1.20000e+00, 3.98014e-08, -5.00000e-01, -2.31410e-08
1,4.947215e-01, 1.20000e+00, 3.57442e-08, -5.00000e-01, -2.11944e-08
1,5.662717e-01, 1.20000e+00, 3.25289e-08, -5.00000e-01, -1.95701e-08
1,6.379135e-01, 1.20000e+00, 2.98967e-08, -5.00000e-01, -1.82074e-08
1,7.096041e-01, 1.20000e+00, 2.77220e-08, -5.00000e-01, -1.70647e-08
1,7.812104e-01, 1.20000e+00, 2.59313e-08, -5.00000e-01, -1.61352e-08
2,7.812415e-01, -5.00000e-01, -7.66662e-07, -5.00000e-01, -2.33005e-03
2,9.054684e-01, -5.00000e-01, -5.26609e-08, -5.00000e-01, -2.60019e-03
2,9.055310e-01, 1.20000e+00, 3.42875e-07, -5.00000e-01, -4.71670e-08
2,1.044800e+00, 1.20000e+00, 5.71690e-08, -5.00000e-01, -2.74619e-08
2,1.116384e+00, 1.20000e+00, 4.49678e-08, -5.00000e-01, -2.32343e-08
2,1.188033e+00, 1.20000e+00, 3.77386e-08, -5.00000e-01, -2.05752e-08
2,1.259615e+00, 1.20000e+00, 3.30173e-08, -5.00000e-01, -1.87438e-08
2,1.331149e+00, 1.20000e+00, 2.97227e-08, -5.00000e-01, -1.73994e-08
2,1.402792e+00, 1.20000e+00, 2.72285e-08, -5.00000e-01, -1.63385e-08
2,1.474317e+00, 1.20000e+00, 2.52979e-08, -5.00000e-01, -1.54769e-08
3,1.474360e+00, -5.00000e-01, -6.94950e-07, -5.00000e-01, -1.21837e-03
3,1.598757e+00, -5.00000e-01, -4.89677e-08, -5.00000e-01, -1.37003e-03
3,1.598808e+00, 1.20000e+00, 2.27186e-07, -5.00000e-01, -4.17270e-08
3,1.738012e+00, 1.20000e+00, 5.02246e-08, -5.00000e-01, -2.51835e-08
3,1.809579e+00, 1.20000e+00, 4.04331e-08, -5.00000e-01, -2.16208e-08
3,1.881151e+00, 1.20000e+00, 3.44991e-08, -5.00000e-01, -1.93619e-08
3,1.952873e+00, 1.20000e+00, 3.06068e-08, -5.00000e-01, -1.78415e-08
3,2.024595e+00, 1.20000e+00, 2.78455e-08, -5.00000e-01, -1.67528e-08
3,2.096282e+00, 1.20000e+00, 2.58276e-08, -5.00000e-01, -1.59289e-08
3,2.168104e+00, 1.20000e+00, 2.42770e-08, -5.00000e-01, -1.53095e-08
4,2.168140e+00, -5.00000e-01, -5.73959e-07, -5.00000e-01, -8.67844e-04
4,2.292599e+00, -5.00000e-01, -5.08373e-08, -5.00000e-01, -9.89021e-04
4,2.292650e+00, 1.20000e+00, 1.95452e-07, -5.00000e-01, -4.03183e-08
4,2.431891e+00, 1.20000e+00, 4.76199e-08, -5.00000e-01, -2.46852e-08
4,2.503506e+00, 1.20000e+00, 3.88648e-08, -5.00000e-01, -2.14773e-08
4,2.575173e+00, 1.20000e+00, 3.35646e-08, -5.00000e-01, -1.94277e-08
4,2.646798e+00, 1.20000e+00, 3.00080e-08, -5.00000e-01, -1.80161e-08
4,2.718417e+00, 1.20000e+00, 2.74758e-08, -5.00000e-01, -1.69870e-08
4,2.790084e+00, 1.20000e+00, 2.56057e-08, -5.00000e-01, -1.62226e-08
4,2.861728e+00, 1.20000e+00, 2.41672e-08, -5.00000e-01, -1.56462e-08
5,2.861786e+00, -5.00000e-01, -4.86911e-07, -5.00000e-01, -7.12282e-04
5,2.986274e+00, -5.00000e-01, -5.00226e-08, -5.00000e-01, -8.12590e-04
5,2.986327e+00, 1.20000e+00, 1.83829e-07, -5.00000e-01, -4.01621e-08
5,3.125650e+00, 1.20000e+00, 4.66887e-08, -5.00000e-01, -2.48000e-08
5,3.197370e+00, 1.20000e+00, 3.83515e-08, -5.00000e-01, -2.16887e-08
5,3.269144e+00, 1.20000e+00, 3.32841e-08, -5.00000e-01, -1.96980e-08
5,3.340820e+00, 1.20000e+00, 2.98859e-08, -5.00000e-01, -1.83394e-08
5,3.412460e+00, 1.20000e+00, 2.74787e-08, -5.00000e-01, -1.73316e-08
5,3.484046e+00, 1.20000e+00, 2.56622e-08, -5.00000e-01, -1.65815e-08
5,3.555671e+00, 1.20000e+00, 2.42552e-08, -5.00000e-01, -1.59757e-08
6,3.555711e+00, -5.00000e-01, -4.42933e-07, -5.00000e-01, -6.18701e-04
6,3.680259e+00, -5.00000e-01, -4.96519e-08, -5.00000e-01, -7.06384e-04
6,3.680299e+00, 1.20000e+00, 1.74455e-07, -5.00000e-01, -4.04736e-08
6,3.819526e+00, 1.20000e+00, 4.63689e-08, -5.00000e-01, -2.51071e-08
6,3.891200e+00, 1.20000e+00, 3.82042e-08, -5.00000e-01, -2.19827e-08
6,3.962706e+00, 1.20000e+00, 3.32455e-08, -5.00000e-01, -1.99989e-08
6,4.034368e+00, 1.20000e+00, 2.99122e-08, -5.00000e-01, -1.86151e-08
6,4.105952e+00, 1.20000e+00, 2.75331e-08, -5.00000e-01, -1.76136e-08
6,4.177593e+00, 1.20000e+00, 2.57309e-08, -5.00000e-01, -1.68391e-08
6,4.249204e+00, 1.20000e+00, 2.43541e-08, -5.00000e-01, -1.62199e-08
7,4.249255e+00, -5.00000e-01, -4.19517e-07, -5.00000e-01, -5.56453e-04
7,4.373720e+00, -5.00000e-01, -4.95918e-08, -5.00000e-01, -6.35766e-04
7,4.373791e+00, 1.20000e+00, 1.69655e-07, -5.00000e-01, -4.08217e-08
7,4.513088e+00, 1.20000e+00, 4.63116e-08, -5.00000e-01, -2.54070e-08
7,4.584871e+00, 1.20000e+00, 3.81540e-08, -5.00000e-01, -2.22075e-08
7,4.656544e+00, 1.20000e+00, 3.32047e-08, -5.00000e-01, -2.01801e-08
7,4.728122e+00, 1.20000e+00, 2.98789e-08, -5.00000e-01, -1.87491e-08
7,4.799730e+00, 1.20000e+00, 2.74808e-08, -5.00000e-01, -1.77112e-08
7,4.871396e+00, 1.20000e+00, 2.56679e-08, -5.00000e-01, -1.68959e-08
7,4.943064e+00, 1.20000e+00, 2.42565e-08, -5.00000e-01, -1.62513e-08
8,4.943114e+00, -5.00000e-01, -4.05076e-07, -5.00000e-01, -5.11993e-04
8,5.067576e+00, -5.00000e-01, -4.94778e-08, -5.00000e-01, -5.85435e-04
8,5.067624e+00, 1.20000e+00, 1.67064e-07, -5.00000e-01, -4.10925e-08
8,5.207001e+00, 1.20000e+00, 4.63740e-08, -5.00000e-01, -2.57118e-08
8,5.278663e+00, 1.20000e+00, 3.81364e-08, -5.00000e-01, -2.23641e-08
8,5.350171e+00, 1.20000e+00, 3.31622e-08, -5.00000e-01, -2.02797e-08
8,5.421708e+00, 1.20000e+00, 2.98560e-08, -5.00000e-01, -1.88575e-08
8,5.493338e+00, 1.20000e+00, 2.74741e-08, -5.00000e-01, -1.78401e-08
8,5.564987e+00, 1.20000e+00, 2.56878e-08, -5.00000e-01, -1.70009e-08
8,5.636701e+00, 1.20000e+00, 2.42573e-08, -5.00000e-01, -1.63452e-08
9,5.636749e+00, -5.00000e-01, -3.92902e-07, -5.00000e-01, -4.78736e-04
9,5.761147e+00, -5.00000e-01, -4.96258e-08, -5.00000e-01, -5.47777e-04
9,5.761187e+00, 1.20000e+00, 1.63973e-07, -5.00000e-01, -4.12461e-08
9,5.900533e+00, 1.20000e+00, 4.64962e-08, -5.00000e-01, -2.60631e-08
9,5.972088e+00, 1.20000e+00, 3.82711e-08, -5.00000e-01, -2.26266e-08
9,6.043629e+00, 1.20000e+00, 3.32810e-08, -5.00000e-01, -2.04902e-08
9,6.115231e+00, 1.20000e+00, 2.99213e-08, -5.00000e-01, -1.90137e-08
9,6.186801e+00, 1.20000e+00, 2.74977e-08, -5.00000e-01, -1.79060e-08
9,6.258334e+00, 1.20000e+00, 2.56808e-08, -5.00000e-01, -1.70796e-08
9,6.329952e+00, 1.20000e+00, 2.42610e-08, -5.00000e-01, -1.64168e-08
10,6.330001e+00, -5.00000e-01, -3.83964e-07, -5.00000e-01, -4.53132e-04
10,6.454486e+00, -5.00000e-01, -4.97559e-08, -5.00000e-01, -5.18938e-04
10,6.454655e+00, 1.20000e+00, 1.60996e-07, -5.00000e-01, -4.13472e-08
10,6.593984e+00, 1.20000e+00, 4.64872e-08, -5.00000e-01, -2.62139e-08
10,6.665558e+00, 1.20000e+00, 3.82890e-08, -5.00000e-01, -2.27404e-08
10,6.737070e+00, 1.20000e+00, 3.32855e-08, -5.00000e-01, -2.05784e-08
10,6.808703e+00, 1.20000e+00, 2.99140e-08, -5.00000e-01, -1.90762e-08
10,6.880273e+00, 1.20000e+00, 2.75169e-08, -5.00000e-01, -1.80032e-08
10,6.951958e+00, 1.20000e+00, 2.56726e-08, -5.00000e-01, -1.71071e-08
10,7.023614e+00, 1.20000e+00, 2.42159e-08, -5.00000e-01, -1.63991e-08
11,7.023649e+00, -5.00000e-01, -3.74936e-07, -5.00000e-01, -4.33665e-04
11,7.148005e+00, -5.00000e-01, -4.98161e-08, -5.00000e-01, -4.96740e-04
