START TIME:2024-04-03 23:21:18
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,2.600000e-06, -5.00000e-01, -2.33868e-08, -5.00000e-01, -6.88155e-03
1,5.662930e-02, -5.00000e-01, -1.35079e-08, -5.00000e-01, -6.88515e-03
1,5.666980e-02, 9.00000e-01, 7.36630e-07, -5.00000e-01, -1.97910e-04
1,1.009386e-01, 9.00000e-01, 4.02268e-07, -5.00000e-01, -1.39963e-04
2,1.010011e-01, -5.00000e-01, -5.25951e-07, -5.00000e-01, -6.67740e-03
2,2.461478e-01, -5.00000e-01, -5.20476e-08, -5.00000e-01, -6.75369e-03
2,2.462048e-01, 9.00000e-01, 6.60310e-07, -5.00000e-01, -1.25846e-04
2,3.108207e-01, 9.00000e-01, 3.63470e-07, -5.00000e-01, -7.97505e-05
3,3.108627e-01, -5.00000e-01, -6.17331e-07, -5.00000e-01, -6.52099e-03
3,4.560576e-01, -5.00000e-01, -5.01672e-08, -5.00000e-01, -6.61063e-03
3,4.560929e-01, 9.00000e-01, 6.22913e-07, -5.00000e-01, -7.97171e-05
3,5.004141e-01, 9.00000e-01, 3.07710e-07, -5.00000e-01, -5.96380e-05
4,5.004581e-01, -5.00000e-01, -6.46268e-07, -5.00000e-01, -6.38372e-03
4,6.456897e-01, -5.00000e-01, -5.08708e-08, -5.00000e-01, -6.49075e-03
4,6.457377e-01, 9.00000e-01, 5.96095e-07, -5.00000e-01, -7.44376e-05
4,6.900786e-01, 9.00000e-01, 3.33985e-07, -5.00000e-01, -5.41679e-05
5,6.901406e-01, -5.00000e-01, -6.30691e-07, -5.00000e-01, -6.27890e-03
5,8.352807e-01, -5.00000e-01, -4.83798e-08, -5.00000e-01, -6.38895e-03
5,8.353236e-01, 9.00000e-01, 5.75066e-07, -5.00000e-01, -6.32149e-05
5,8.796076e-01, 9.00000e-01, 3.25231e-07, -5.00000e-01, -4.61408e-05
6,8.796519e-01, -5.00000e-01, -6.35735e-07, -5.00000e-01, -6.18048e-03
6,1.024800e+00, -5.00000e-01, -4.73092e-08, -5.00000e-01, -6.29847e-03
6,1.024840e+00, 9.00000e-01, 5.56045e-07, -5.00000e-01, -5.45945e-05
6,1.069154e+00, 9.00000e-01, 3.17849e-07, -5.00000e-01, -4.00668e-05
7,1.069203e+00, -5.00000e-01, -6.32679e-07, -5.00000e-01, -6.08423e-03
7,1.214467e+00, -5.00000e-01, -4.63439e-08, -5.00000e-01, -6.21135e-03
7,1.214511e+00, 9.00000e-01, 5.39890e-07, -5.00000e-01, -4.79248e-05
7,1.258781e+00, 9.00000e-01, 3.10480e-07, -5.00000e-01, -3.53005e-05
8,1.258826e+00, -5.00000e-01, -6.35456e-07, -5.00000e-01, -5.99322e-03
8,1.404021e+00, -5.00000e-01, -4.56214e-08, -5.00000e-01, -6.12774e-03
8,1.404089e+00, 9.00000e-01, 5.25466e-07, -5.00000e-01, -4.24636e-05
8,1.448352e+00, 9.00000e-01, 3.03941e-07, -5.00000e-01, -3.13932e-05
9,1.448393e+00, -5.00000e-01, -6.33686e-07, -5.00000e-01, -5.90535e-03
9,1.570722e+00, -5.00000e-01, -5.20789e-08, -5.00000e-01, -6.03242e-03
9,1.570765e+00, 9.00000e-01, 5.11966e-07, -5.00000e-01, -3.75788e-05
9,1.615040e+00, 9.00000e-01, 2.97415e-07, -5.00000e-01, -2.78874e-05
10,1.615080e+00, -5.00000e-01, -6.31888e-07, -5.00000e-01, -5.81900e-03
10,1.737380e+00, -5.00000e-01, -5.17174e-08, -5.00000e-01, -5.95501e-03
10,1.737429e+00, 9.00000e-01, 5.00869e-07, -5.00000e-01, -3.37692e-05
10,1.781669e+00, 9.00000e-01, 2.92107e-07, -5.00000e-01, -2.51457e-05
11,1.781718e+00, -5.00000e-01, -6.26751e-07, -5.00000e-01, -5.73719e-03
11,1.904049e+00, -5.00000e-01, -5.13044e-08, -5.00000e-01, -5.88093e-03
11,1.904136e+00, 9.00000e-01, 4.91073e-07, -5.00000e-01, -3.05752e-05
11,1.948419e+00, 9.00000e-01, 2.87129e-07, -5.00000e-01, -2.28336e-05
12,1.948460e+00, -5.00000e-01, -6.21982e-07, -5.00000e-01, -5.65793e-03
12,2.070758e+00, -5.00000e-01, -5.08777e-08, -5.00000e-01, -5.80781e-03
12,2.070794e+00, 9.00000e-01, 4.81371e-07, -5.00000e-01, -2.78860e-05
12,2.115083e+00, 9.00000e-01, 2.82236e-07, -5.00000e-01, -2.09090e-05
13,2.115150e+00, -5.00000e-01, -6.14294e-07, -5.00000e-01, -5.58126e-03
13,2.237446e+00, -5.00000e-01, -5.03779e-08, -5.00000e-01, -5.73821e-03
13,2.237497e+00, 9.00000e-01, 4.72820e-07, -5.00000e-01, -2.55890e-05
13,2.281788e+00, 9.00000e-01, 2.77466e-07, -5.00000e-01, -1.92345e-05
14,2.281841e+00, -5.00000e-01, -6.07144e-07, -5.00000e-01, -5.50721e-03
14,2.404143e+00, -5.00000e-01, -5.04493e-08, -5.00000e-01, -5.67157e-03
14,2.404212e+00, 9.00000e-01, 4.64485e-07, -5.00000e-01, -2.36103e-05
14,2.448452e+00, 9.00000e-01, 2.73140e-07, -5.00000e-01, -1.78205e-05
15,2.448510e+00, -5.00000e-01, -5.89875e-07, -5.00000e-01, -5.43561e-03
15,2.570828e+00, -5.00000e-01, -4.95776e-08, -5.00000e-01, -5.60529e-03
15,2.570871e+00, 9.00000e-01, 4.56005e-07, -5.00000e-01, -2.18848e-05
15,2.615118e+00, 9.00000e-01, 2.68402e-07, -5.00000e-01, -1.65634e-05
16,2.615149e+00, -5.00000e-01, -5.93812e-07, -5.00000e-01, -5.36284e-03
16,2.737385e+00, -5.00000e-01, -4.94411e-08, -5.00000e-01, -5.53982e-03
16,2.737435e+00, 9.00000e-01, 4.48247e-07, -5.00000e-01, -2.03595e-05
16,2.781851e+00, 9.00000e-01, 2.64427e-07, -5.00000e-01, -1.54451e-05
17,2.781887e+00, -5.00000e-01, -5.87164e-07, -5.00000e-01, -5.29265e-03
17,2.904263e+00, -5.00000e-01, -4.92297e-08, -5.00000e-01, -5.47640e-03
17,2.904356e+00, 9.00000e-01, 4.41096e-07, -5.00000e-01, -1.90101e-05
17,2.948646e+00, 9.00000e-01, 2.60017e-07, -5.00000e-01, -1.44714e-05
18,2.948689e+00, -5.00000e-01, -5.79396e-07, -5.00000e-01, -5.22453e-03
18,3.070929e+00, -5.00000e-01, -4.92501e-08, -5.00000e-01, -5.41528e-03
18,3.070972e+00, 9.00000e-01, 4.33860e-07, -5.00000e-01, -1.77963e-05
18,3.115241e+00, 9.00000e-01, 2.55994e-07, -5.00000e-01, -1.36020e-05
19,3.115276e+00, -5.00000e-01, -5.75019e-07, -5.00000e-01, -5.15698e-03
19,3.237587e+00, -5.00000e-01, -4.89369e-08, -5.00000e-01, -5.35487e-03
19,3.237636e+00, 9.00000e-01, 4.26726e-07, -5.00000e-01, -1.67206e-05
19,3.281982e+00, 9.00000e-01, 2.48504e-07, -5.00000e-01, -1.26280e-05
20,3.282043e+00, -5.00000e-01, -5.73809e-07, -5.00000e-01, -5.08582e-03
20,3.404276e+00, -5.00000e-01, -4.91089e-08, -5.00000e-01, -5.29277e-03
20,3.404325e+00, 9.00000e-01, 4.20041e-07, -5.00000e-01, -1.57120e-05
20,3.448576e+00, 9.00000e-01, 2.48548e-07, -5.00000e-01, -1.20890e-05
21,3.448627e+00, -5.00000e-01, -5.08705e-07, -5.00000e-01, -5.02916e-03
21,3.570825e+00, -5.00000e-01, -4.82728e-08, -5.00000e-01, -5.23728e-03
21,3.570861e+00, 9.00000e-01, 4.13627e-07, -5.00000e-01, -1.48741e-05
21,3.615080e+00, 9.00000e-01, 2.44976e-07, -5.00000e-01, -1.14676e-05
22,3.615119e+00, -5.00000e-01, -5.56791e-07, -5.00000e-01, -4.95844e-03
22,3.737298e+00, -5.00000e-01, -4.87311e-08, -5.00000e-01, -5.17732e-03
22,3.737342e+00, 9.00000e-01, 4.07190e-07, -5.00000e-01, -1.40633e-05
22,3.781833e+00, 9.00000e-01, 2.41246e-07, -5.00000e-01, -1.08693e-05
23,3.781896e+00, -5.00000e-01, -5.55662e-07, -5.00000e-01, -4.89213e-03
23,3.904172e+00, -5.00000e-01, -4.87395e-08, -5.00000e-01, -5.11929e-03
23,3.904218e+00, 9.00000e-01, 4.01269e-07, -5.00000e-01, -1.33311e-05
23,3.948514e+00, 9.00000e-01, 2.38448e-07, -5.00000e-01, -1.03341e-05
24,3.948554e+00, -5.00000e-01, -5.52458e-07, -5.00000e-01, -4.82694e-03
24,4.070886e+00, -5.00000e-01, -4.89086e-08, -5.00000e-01, -5.06116e-03
24,4.070993e+00, 9.00000e-01, 3.95163e-07, -5.00000e-01, -1.26560e-05
24,4.136206e+00, 9.00000e-01, 2.34689e-07, -5.00000e-01, -8.89747e-06
25,4.136246e+00, -5.00000e-01, -5.75366e-07, -5.00000e-01, -4.80067e-03
25,4.258614e+00, -5.00000e-01, -4.45482e-08, -5.00000e-01, -5.01003e-03
25,4.258722e+00, 9.00000e-01, 3.89587e-07, -5.00000e-01, -1.19529e-05
25,4.324012e+00, 9.00000e-01, 2.30988e-07, -5.00000e-01, -8.44674e-06
26,4.324077e+00, -5.00000e-01, -5.72027e-07, -5.00000e-01, -4.72970e-03
26,4.446289e+00, -5.00000e-01, -4.45827e-08, -5.00000e-01, -4.94643e-03
26,4.446323e+00, 9.00000e-01, 3.83513e-07, -5.00000e-01, -1.13107e-05
26,4.511464e+00, 9.00000e-01, 2.27897e-07, -5.00000e-01, -8.03070e-06
27,4.511510e+00, -5.00000e-01, -5.68830e-07, -5.00000e-01, -4.65817e-03
27,4.633735e+00, -5.00000e-01, -4.47605e-08, -5.00000e-01, -4.88305e-03
27,4.633774e+00, 9.00000e-01, 3.77563e-07, -5.00000e-01, -1.07356e-05
27,4.698960e+00, 9.00000e-01, 2.24499e-07, -5.00000e-01, -7.65155e-06
28,4.699018e+00, -5.00000e-01, -5.67442e-07, -5.00000e-01, -4.58682e-03
28,4.821302e+00, -5.00000e-01, -4.48959e-08, -5.00000e-01, -4.81950e-03
28,4.821376e+00, 9.00000e-01, 3.71676e-07, -5.00000e-01, -1.01986e-05
28,4.886650e+00, 9.00000e-01, 2.21127e-07, -5.00000e-01, -7.29228e-06
29,4.886689e+00, -5.00000e-01, -5.66856e-07, -5.00000e-01, -4.51507e-03
29,5.008903e+00, -5.00000e-01, -4.51978e-08, -5.00000e-01, -4.75597e-03
29,5.008954e+00, 9.00000e-01, 3.65773e-07, -5.00000e-01, -8.62043e-06
29,5.053723e+00, 9.00000e-01, 1.97392e-07, -5.00000e-01, -6.95442e-06
30,5.053764e+00, -5.00000e-01, -5.65963e-07, -5.00000e-01, -4.44237e-03
30,5.176026e+00, -5.00000e-01, -4.54164e-08, -5.00000e-01, -4.69116e-03
30,5.176071e+00, 9.00000e-01, 3.60670e-07, -5.00000e-01, -8.22712e-06
30,5.220724e+00, 9.00000e-01, 1.95048e-07, -5.00000e-01, -6.65439e-06
31,5.220760e+00, -5.00000e-01, -5.63045e-07, -5.00000e-01, -4.37094e-03
31,5.343031e+00, -5.00000e-01, -4.55703e-08, -5.00000e-01, -4.62753e-03
31,5.343085e+00, 9.00000e-01, 3.55605e-07, -5.00000e-01, -8.80364e-06
31,5.387717e+00, 9.00000e-01, 2.11977e-07, -5.00000e-01, -6.97711e-06
32,5.387766e+00, -5.00000e-01, -5.39068e-07, -5.00000e-01, -4.32679e-03
32,5.510084e+00, -5.00000e-01, -4.45194e-08, -5.00000e-01, -4.58228e-03
32,5.510131e+00, 9.00000e-01, 3.51493e-07, -5.00000e-01, -8.54226e-06
32,5.554798e+00, 9.00000e-01, 2.10389e-07, -5.00000e-01, -6.77889e-06
33,5.554835e+00, -5.00000e-01, -5.36455e-07, -5.00000e-01, -4.27265e-03
33,5.677188e+00, -5.00000e-01, -4.44710e-08, -5.00000e-01, -4.53244e-03
33,5.677357e+00, 9.00000e-01, 3.47216e-07, -5.00000e-01, -8.25637e-06
33,5.722034e+00, 9.00000e-01, 2.08154e-07, -5.00000e-01, -6.56418e-06
34,5.722079e+00, -5.00000e-01, -5.35150e-07, -5.00000e-01, -4.21595e-03
34,5.844301e+00, -5.00000e-01, -4.45266e-08, -5.00000e-01, -4.48067e-03
34,5.844346e+00, 9.00000e-01, 3.43143e-07, -5.00000e-01, -7.97905e-06
34,5.889001e+00, 9.00000e-01, 2.06081e-07, -5.00000e-01, -6.35391e-06
35,5.889034e+00, -5.00000e-01, -5.34807e-07, -5.00000e-01, -4.15847e-03
35,6.011256e+00, -5.00000e-01, -4.46802e-08, -5.00000e-01, -4.42876e-03
35,6.011301e+00, 9.00000e-01, 3.39564e-07, -5.00000e-01, -7.71224e-06
35,6.055909e+00, 9.00000e-01, 2.04019e-07, -5.00000e-01, -6.15366e-06
36,6.055954e+00, -5.00000e-01, -5.32173e-07, -5.00000e-01, -4.10153e-03
36,6.178201e+00, -5.00000e-01, -4.49295e-08, -5.00000e-01, -4.37619e-03
36,6.178252e+00, 9.00000e-01, 3.35911e-07, -5.00000e-01, -7.45879e-06
36,6.222848e+00, 9.00000e-01, 2.02243e-07, -5.00000e-01, -5.96016e-06
37,6.222883e+00, -5.00000e-01, -5.33159e-07, -5.00000e-01, -4.04362e-03
37,6.345156e+00, -5.00000e-01, -4.52252e-08, -5.00000e-01, -4.32450e-03
37,6.345199e+00, 9.00000e-01, 3.32355e-07, -5.00000e-01, -7.21556e-06
37,6.390031e+00, 9.00000e-01, 2.00394e-07, -5.00000e-01, -5.77283e-06
38,6.390079e+00, -5.00000e-01, -5.32331e-07, -5.00000e-01, -3.98566e-03
38,6.512249e+00, -5.00000e-01, -4.54993e-08, -5.00000e-01, -4.27133e-03
38,6.512300e+00, 9.00000e-01, 3.28970e-07, -5.00000e-01, -6.98695e-06
38,6.557025e+00, 9.00000e-01, 1.98575e-07, -5.00000e-01, -5.59767e-06
39,6.557092e+00, -5.00000e-01, -5.31379e-07, -5.00000e-01, -3.92932e-03
39,6.679322e+00, -5.00000e-01, -4.57803e-08, -5.00000e-01, -4.21920e-03
39,6.679390e+00, 9.00000e-01, 3.26248e-07, -5.00000e-01, -6.76907e-06
39,6.724005e+00, 9.00000e-01, 1.96914e-07, -5.00000e-01, -5.43375e-06
40,6.724046e+00, -5.00000e-01, -5.30075e-07, -5.00000e-01, -3.87263e-03
40,6.846359e+00, -5.00000e-01, -4.60250e-08, -5.00000e-01, -4.16647e-03
40,6.846414e+00, 9.00000e-01, 3.23444e-07, -5.00000e-01, -6.56054e-06
40,6.891076e+00, 9.00000e-01, 1.95150e-07, -5.00000e-01, -5.27145e-06
41,6.891135e+00, -5.00000e-01, -5.29799e-07, -5.00000e-01, -3.81690e-03
41,7.013531e+00, -5.00000e-01, -4.62849e-08, -5.00000e-01, -4.11495e-03
41,7.013597e+00, 9.00000e-01, 3.20321e-07, -5.00000e-01, -6.36422e-06
41,7.058218e+00, 9.00000e-01, 1.94108e-07, -5.00000e-01, -5.12024e-06
42,7.058276e+00, -5.00000e-01, -5.28595e-07, -5.00000e-01, -3.76197e-03
42,7.180531e+00, -5.00000e-01, -4.66732e-08, -5.00000e-01, -4.06297e-03
42,7.180573e+00, 9.00000e-01, 3.17989e-07, -5.00000e-01, -6.17709e-06
42,7.225197e+00, 9.00000e-01, 1.92791e-07, -5.00000e-01, -4.97756e-06
43,7.225245e+00, -5.00000e-01, -5.29001e-07, -5.00000e-01, -3.70797e-03
43,7.347576e+00, -5.00000e-01, -4.70450e-08, -5.00000e-01, -4.01240e-03
43,7.347635e+00, 9.00000e-01, 3.15423e-07, -5.00000e-01, -5.99933e-06
43,7.392248e+00, 9.00000e-01, 1.90927e-07, -5.00000e-01, -4.84031e-06
44,7.392300e+00, -5.00000e-01, -5.27822e-07, -5.00000e-01, -3.65480e-03
44,7.514562e+00, -5.00000e-01, -4.73331e-08, -5.00000e-01, -3.96153e-03
44,7.514605e+00, 9.00000e-01, 3.13010e-07, -5.00000e-01, -5.83059e-06
44,7.559177e+00, 9.00000e-01, 1.89280e-07, -5.00000e-01, -4.70571e-06
45,7.559215e+00, -5.00000e-01, -4.38176e-07, -5.00000e-01, -3.61942e-03
45,7.681534e+00, -5.00000e-01, -4.65265e-08, -5.00000e-01, -3.91997e-03
45,7.681594e+00, 9.00000e-01, 3.11127e-07, -5.00000e-01, -5.68078e-06
45,7.726195e+00, 9.00000e-01, 1.88174e-07, -5.00000e-01, -4.59089e-06
46,7.726236e+00, -5.00000e-01, -5.26702e-07, -5.00000e-01, -3.55237e-03
46,7.848518e+00, -5.00000e-01, -4.77621e-08, -5.00000e-01, -3.86353e-03
46,7.848834e+00, 9.00000e-01, 3.09004e-07, -5.00000e-01, -5.52346e-06
46,7.893450e+00, 9.00000e-01, 1.87671e-07, -5.00000e-01, -4.46743e-06
47,7.893483e+00, -5.00000e-01, -5.26930e-07, -5.00000e-01, -3.50168e-03
47,8.015909e+00, -5.00000e-01, -4.80492e-08, -5.00000e-01, -3.81559e-03
47,8.015967e+00, 9.00000e-01, 3.06898e-07, -5.00000e-01, -5.37587e-06
47,8.060563e+00, 9.00000e-01, 1.87559e-07, -5.00000e-01, -4.35079e-06
48,8.060599e+00, -5.00000e-01, -5.26845e-07, -5.00000e-01, -3.45228e-03
48,8.182826e+00, -5.00000e-01, -4.83600e-08, -5.00000e-01, -3.76684e-03
48,8.182861e+00, 9.00000e-01, 3.05194e-07, -5.00000e-01, -5.23661e-06
48,8.227469e+00, 9.00000e-01, 1.85399e-07, -5.00000e-01, -4.24185e-06
49,8.227511e+00, -5.00000e-01, -5.26357e-07, -5.00000e-01, -3.40436e-03
49,8.351189e+00, -5.00000e-01, -4.86255e-08, -5.00000e-01, -3.71910e-03
49,8.351228e+00, 9.00000e-01, 3.03359e-07, -5.00000e-01, -5.10891e-06
49,8.395863e+00, 9.00000e-01, 1.83550e-07, -5.00000e-01, -4.13934e-06
50,8.395906e+00, -5.00000e-01, -5.26215e-07, -5.00000e-01, -3.35799e-03
50,8.518241e+00, -5.00000e-01, -4.89053e-08, -5.00000e-01, -3.67432e-03
50,8.518281e+00, 9.00000e-01, 3.01919e-07, -5.00000e-01, -4.98411e-06
50,8.562986e+00, 9.00000e-01, 1.82298e-07, -5.00000e-01, -4.04138e-06
51,8.563029e+00, -5.00000e-01, -5.26843e-07, -5.00000e-01, -3.31303e-03
51,8.685335e+00, -5.00000e-01, -4.91319e-08, -5.00000e-01, -3.62982e-03
51,8.685378e+00, 9.00000e-01, 3.00459e-07, -5.00000e-01, -4.86293e-06
51,8.729962e+00, 9.00000e-01, 1.84170e-07, -5.00000e-01, -3.95025e-06
52,8.730004e+00, -5.00000e-01, -5.25831e-07, -5.00000e-01, -3.26998e-03
52,8.852331e+00, -5.00000e-01, -4.93450e-08, -5.00000e-01, -3.58617e-03
52,8.852513e+00, 9.00000e-01, 2.99176e-07, -5.00000e-01, -4.74961e-06
52,8.897124e+00, 9.00000e-01, 1.83436e-07, -5.00000e-01, -3.85800e-06
53,8.897156e+00, -5.00000e-01, -5.25447e-07, -5.00000e-01, -3.22732e-03
53,9.019358e+00, -5.00000e-01, -4.94623e-08, -5.00000e-01, -3.54339e-03
53,9.019395e+00, 9.00000e-01, 2.98087e-07, -5.00000e-01, -4.64263e-06
53,9.064096e+00, 9.00000e-01, 1.81146e-07, -5.00000e-01, -3.77206e-06
54,9.064132e+00, -5.00000e-01, -5.26236e-07, -5.00000e-01, -3.18548e-03
54,9.186420e+00, -5.00000e-01, -4.96431e-08, -5.00000e-01, -3.50106e-03
54,9.186471e+00, 9.00000e-01, 2.96900e-07, -5.00000e-01, -4.53802e-06
54,9.231151e+00, 9.00000e-01, 1.79473e-07, -5.00000e-01, -3.68956e-06
55,9.231190e+00, -5.00000e-01, -5.26133e-07, -5.00000e-01, -3.14546e-03
55,9.353366e+00, -5.00000e-01, -4.98720e-08, -5.00000e-01, -3.46109e-03
55,9.353405e+00, 9.00000e-01, 2.95868e-07, -5.00000e-01, -4.43922e-06
55,9.398095e+00, 9.00000e-01, 1.80335e-07, -5.00000e-01, -3.61075e-06
56,9.398185e+00, -5.00000e-01, -5.26145e-07, -5.00000e-01, -3.10646e-03
56,9.520413e+00, -5.00000e-01, -5.00016e-08, -5.00000e-01, -3.42092e-03
56,9.520471e+00, 9.00000e-01, 2.95133e-07, -5.00000e-01, -4.34607e-06
56,9.565182e+00, 9.00000e-01, 1.79664e-07, -5.00000e-01, -3.53633e-06
57,9.565252e+00, -5.00000e-01, -5.27664e-07, -5.00000e-01, -3.07031e-03
57,9.687480e+00, -5.00000e-01, -5.10708e-08, -5.00000e-01, -3.38858e-03
57,9.687525e+00, 9.00000e-01, 2.95181e-07, -5.00000e-01, -4.26464e-06
57,9.732103e+00, 9.00000e-01, 1.78656e-07, -5.00000e-01, -3.47244e-06
58,9.732153e+00, -5.00000e-01, -5.29398e-07, -5.00000e-01, -3.04143e-03
58,9.854604e+00, -5.00000e-01, -5.04397e-08, -5.00000e-01, -3.35533e-03
