START TIME:2024-04-03 22:58:23
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,4.500000e-06, -5.00000e-01, -2.18693e-09, -5.00000e-01, -5.37544e-03
1,1.551735e+00, -5.00000e-01, -2.60167e-10, -5.00000e-01, -5.40615e-03
1,1.551783e+00, 0.00000e+00, 7.53857e-10, -5.00000e-01, -2.46939e-03
1,2.493466e+00, 0.00000e+00, 3.84185e-10, -5.00000e-01, -2.44354e-03
2,2.493520e+00, -5.00000e-01, -8.85895e-10, -5.00000e-01, -5.39884e-03
2,3.435234e+00, -5.00000e-01, -3.51270e-10, -5.00000e-01, -5.41129e-03
2,3.435330e+00, 0.00000e+00, 6.98644e-10, -5.00000e-01, -2.44987e-03
2,4.987052e+00, 0.00000e+00, 3.33613e-10, -5.00000e-01, -2.43139e-03
3,4.987101e+00, -5.00000e-01, -7.17084e-10, -5.00000e-01, -5.40454e-03
3,6.538892e+00, -5.00000e-01, -3.93869e-10, -5.00000e-01, -5.42367e-03
3,6.538935e+00, 0.00000e+00, 7.74364e-10, -5.00000e-01, -2.45342e-03
3,8.090717e+00, 0.00000e+00, 3.50491e-10, -5.00000e-01, -2.43695e-03
4,8.090765e+00, -5.00000e-01, -4.44839e-10, -5.00000e-01, -5.41596e-03
4,9.642542e+00, -5.00000e-01, -2.72549e-10, -5.00000e-01, -5.43231e-03
4,9.642591e+00, 0.00000e+00, 7.83592e-10, -5.00000e-01, -2.45934e-03
4,1.119439e+01, 0.00000e+00, 3.87771e-10, -5.00000e-01, -2.44359e-03
5,1.119452e+01, -5.00000e-01, -3.75524e-10, -5.00000e-01, -5.42552e-03
5,1.274636e+01, -5.00000e-01, -2.12593e-10, -5.00000e-01, -5.44930e-03
5,1.274642e+01, 0.00000e+00, 7.75437e-10, -5.00000e-01, -2.46704e-03
5,1.429824e+01, 0.00000e+00, 3.20209e-10, -5.00000e-01, -2.45029e-03
6,1.429829e+01, -5.00000e-01, -7.00006e-10, -5.00000e-01, -5.43773e-03
6,1.585008e+01, -5.00000e-01, -3.07814e-10, -5.00000e-01, -5.45375e-03
6,1.585013e+01, 0.00000e+00, 6.55334e-10, -5.00000e-01, -2.47382e-03
6,1.740185e+01, 0.00000e+00, 3.67308e-10, -5.00000e-01, -2.45779e-03
7,1.740190e+01, -5.00000e-01, -9.65695e-10, -5.00000e-01, -5.44450e-03
7,1.834358e+01, -5.00000e-01, -4.36404e-10, -5.00000e-01, -5.45538e-03
7,1.834365e+01, 0.00000e+00, 7.47011e-10, -5.00000e-01, -2.47783e-03
7,1.989547e+01, 0.00000e+00, 3.36675e-10, -5.00000e-01, -2.46271e-03
8,1.989552e+01, -5.00000e-01, -5.48005e-10, -5.00000e-01, -5.45329e-03
8,2.144729e+01, -5.00000e-01, -1.70763e-10, -5.00000e-01, -5.47355e-03
8,2.144733e+01, 0.00000e+00, 5.40328e-10, -5.00000e-01, -2.48860e-03
8,2.300003e+01, 0.00000e+00, 3.29267e-10, -5.00000e-01, -2.47259e-03
9,2.300008e+01, -5.00000e-01, -8.48995e-10, -5.00000e-01, -5.46733e-03
9,2.394171e+01, -5.00000e-01, -3.49076e-10, -5.00000e-01, -5.48242e-03
9,2.394196e+01, 0.00000e+00, 9.91026e-10, -5.00000e-01, -2.49672e-03
9,2.488362e+01, 0.00000e+00, 4.21988e-10, -5.00000e-01, -2.48286e-03
10,2.488367e+01, -5.00000e-01, -8.62388e-10, -5.00000e-01, -5.48224e-03
10,2.582536e+01, -5.00000e-01, -5.07861e-10, -5.00000e-01, -5.49350e-03
10,2.582541e+01, 0.00000e+00, 9.67358e-10, -5.00000e-01, -2.50123e-03
10,2.676710e+01, 0.00000e+00, 4.37649e-10, -5.00000e-01, -2.48749e-03
11,2.676728e+01, -5.00000e-01, -9.39370e-10, -5.00000e-01, -5.48419e-03
11,2.770890e+01, -5.00000e-01, -3.51814e-10, -5.00000e-01, -5.49625e-03
11,2.770899e+01, 0.00000e+00, 7.36685e-10, -5.00000e-01, -2.50185e-03
11,2.926095e+01, 0.00000e+00, 3.51007e-10, -5.00000e-01, -2.48645e-03
12,2.926102e+01, -5.00000e-01, -9.65694e-10, -5.00000e-01, -5.48775e-03
12,3.020272e+01, -5.00000e-01, -4.06786e-10, -5.00000e-01, -5.49653e-03
12,3.020285e+01, 0.00000e+00, 9.43891e-10, -5.00000e-01, -2.51030e-03
12,3.114458e+01, 0.00000e+00, 4.34543e-10, -5.00000e-01, -2.49663e-03
13,3.114471e+01, -5.00000e-01, -7.25749e-10, -5.00000e-01, -5.49319e-03
13,3.269644e+01, -5.00000e-01, -2.49971e-10, -5.00000e-01, -5.50758e-03
13,3.269648e+01, 0.00000e+00, 9.96225e-10, -5.00000e-01, -2.51796e-03
13,3.363815e+01, 0.00000e+00, 4.49165e-10, -5.00000e-01, -2.50297e-03
14,3.363820e+01, -5.00000e-01, -1.23857e-09, -5.00000e-01, -5.49842e-03
