START TIME:2024-04-03 23:30:53
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,2.100000e-06, -5.00000e-01, -2.60278e-08, -5.00000e-01, -7.42919e-03
1,5.675710e-02, -5.00000e-01, -1.49953e-08, -5.00000e-01, -7.43241e-03
1,5.680350e-02, 9.00000e-01, 7.47988e-07, -5.00000e-01, -2.46441e-04
1,1.218772e-01, 9.00000e-01, 3.80513e-07, -5.00000e-01, -1.45879e-04
2,1.219150e-01, -5.00000e-01, -7.30574e-07, -5.00000e-01, -7.07027e-03
2,1.869215e-01, -5.00000e-01, -1.23320e-07, -5.00000e-01, -7.11719e-03
2,1.869644e-01, 9.00000e-01, 1.13220e-06, -5.00000e-01, -1.89964e-04
2,2.521820e-01, 9.00000e-01, 4.17423e-07, -5.00000e-01, -1.02265e-04
3,2.522226e-01, -5.00000e-01, -6.67684e-07, -5.00000e-01, -6.88222e-03
3,3.172948e-01, -5.00000e-01, -1.23854e-07, -5.00000e-01, -6.94371e-03
3,3.173389e-01, 9.00000e-01, 1.04857e-06, -5.00000e-01, -1.34954e-04
3,4.027773e-01, 9.00000e-01, 4.00004e-07, -5.00000e-01, -6.30683e-05
4,4.028100e-01, -5.00000e-01, -7.84124e-07, -5.00000e-01, -6.72569e-03
4,4.677814e-01, -5.00000e-01, -1.06160e-07, -5.00000e-01, -6.78746e-03
4,4.678231e-01, 9.00000e-01, 9.85925e-07, -5.00000e-01, -1.01678e-04
4,5.532883e-01, 9.00000e-01, 3.85638e-07, -5.00000e-01, -4.80910e-05
5,5.533388e-01, -5.00000e-01, -7.84818e-07, -5.00000e-01, -6.56287e-03
5,6.183509e-01, -5.00000e-01, -1.04589e-07, -5.00000e-01, -6.63347e-03
5,6.183942e-01, 9.00000e-01, 9.36176e-07, -5.00000e-01, -6.48708e-05
5,6.836743e-01, 9.00000e-01, 3.32144e-07, -5.00000e-01, -3.83202e-05
6,6.838431e-01, -5.00000e-01, -7.79705e-07, -5.00000e-01, -6.41268e-03
6,7.489844e-01, -5.00000e-01, -1.02758e-07, -5.00000e-01, -6.49265e-03
6,7.490276e-01, 9.00000e-01, 8.92838e-07, -5.00000e-01, -6.50712e-05
6,8.141387e-01, 9.00000e-01, 3.61155e-07, -5.00000e-01, -3.64750e-05
7,8.141824e-01, -5.00000e-01, -7.37177e-07, -5.00000e-01, -6.29585e-03
7,9.593292e-01, -5.00000e-01, -6.18077e-08, -5.00000e-01, -6.44150e-03
7,9.593713e-01, 9.00000e-01, 6.68564e-07, -5.00000e-01, -5.08412e-05
7,1.003623e+00, 9.00000e-01, 3.71340e-07, -5.00000e-01, -3.48528e-05
8,1.003666e+00, -5.00000e-01, -7.01886e-07, -5.00000e-01, -6.20390e-03
8,1.148934e+00, -5.00000e-01, -5.71134e-08, -5.00000e-01, -6.35073e-03
8,1.148978e+00, 9.00000e-01, 6.47867e-07, -5.00000e-01, -4.51670e-05
8,1.193324e+00, 9.00000e-01, 3.63733e-07, -5.00000e-01, -3.11311e-05
9,1.193370e+00, -5.00000e-01, -6.85884e-07, -5.00000e-01, -6.10637e-03
9,1.338576e+00, -5.00000e-01, -5.49777e-08, -5.00000e-01, -6.25972e-03
9,1.338616e+00, 9.00000e-01, 6.28297e-07, -5.00000e-01, -4.00781e-05
9,1.382988e+00, 9.00000e-01, 3.55396e-07, -5.00000e-01, -2.77767e-05
10,1.383097e+00, -5.00000e-01, -6.71684e-07, -5.00000e-01, -6.00850e-03
10,1.528184e+00, -5.00000e-01, -5.38457e-08, -5.00000e-01, -6.17034e-03
10,1.528245e+00, 9.00000e-01, 6.10904e-07, -5.00000e-01, -3.57256e-05
10,1.572563e+00, 9.00000e-01, 3.47784e-07, -5.00000e-01, -2.49192e-05
11,1.572604e+00, -5.00000e-01, -6.56704e-07, -5.00000e-01, -5.91276e-03
11,1.717872e+00, -5.00000e-01, -5.26154e-08, -5.00000e-01, -6.08335e-03
11,1.717922e+00, 9.00000e-01, 5.94633e-07, -5.00000e-01, -3.20492e-05
11,1.762270e+00, 9.00000e-01, 3.39975e-07, -5.00000e-01, -2.24497e-05
12,1.762310e+00, -5.00000e-01, -6.42296e-07, -5.00000e-01, -5.81789e-03
12,1.907542e+00, -5.00000e-01, -5.19661e-08, -5.00000e-01, -5.99848e-03
12,1.907586e+00, 9.00000e-01, 5.79511e-07, -5.00000e-01, -2.89276e-05
12,1.951804e+00, 9.00000e-01, 3.33428e-07, -5.00000e-01, -2.04095e-05
13,1.951845e+00, -5.00000e-01, -6.29170e-07, -5.00000e-01, -5.72437e-03
13,2.096966e+00, -5.00000e-01, -5.12358e-08, -5.00000e-01, -5.91439e-03
13,2.097017e+00, 9.00000e-01, 5.65364e-07, -5.00000e-01, -2.62389e-05
13,2.141249e+00, 9.00000e-01, 3.26352e-07, -5.00000e-01, -1.85952e-05
