START TIME:2024-04-04 00:22:55
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,2.800000e-06, -5.00000e-01, -2.31824e-08, -5.00000e-01, -7.04431e-03
1,5.669490e-02, -5.00000e-01, -1.36279e-08, -5.00000e-01, -7.06390e-03
1,5.672890e-02, 5.00000e-01, 1.28005e-07, -5.00000e-01, -6.74161e-03
1,1.809648e-01, 5.00000e-01, 7.07653e-08, -5.00000e-01, -6.38990e-03
2,1.811223e-01, -5.00000e-01, -1.02589e-07, -5.00000e-01, -6.69396e-03
2,3.054283e-01, -5.00000e-01, -3.58626e-08, -5.00000e-01, -6.88192e-03
2,3.054705e-01, 5.00000e-01, 1.13621e-07, -5.00000e-01, -6.62147e-03
2,4.296631e-01, 5.00000e-01, 6.44093e-08, -5.00000e-01, -6.27601e-03
3,4.297127e-01, -5.00000e-01, -1.01045e-07, -5.00000e-01, -6.59659e-03
3,5.540475e-01, -5.00000e-01, -3.70222e-08, -5.00000e-01, -6.79470e-03
3,5.540970e-01, 5.00000e-01, 9.98408e-08, -5.00000e-01, -6.64265e-03
3,6.107858e-01, 5.00000e-01, 9.66107e-08, -5.00000e-01, -6.45965e-03
4,6.108565e-01, -5.00000e-01, -7.79327e-08, -5.00000e-01, -6.68931e-03
4,7.350989e-01, -5.00000e-01, -2.84600e-08, -5.00000e-01, -6.83854e-03
4,7.351390e-01, 5.00000e-01, 1.02169e-07, -5.00000e-01, -6.60457e-03
4,8.593534e-01, 5.00000e-01, 6.72546e-08, -5.00000e-01, -6.24396e-03
5,8.593925e-01, -5.00000e-01, -9.82494e-08, -5.00000e-01, -6.56280e-03
5,9.836484e-01, -5.00000e-01, -3.61004e-08, -5.00000e-01, -6.75916e-03
5,9.836862e-01, 5.00000e-01, 9.71249e-08, -5.00000e-01, -6.60856e-03
5,1.040261e+00, 5.00000e-01, 9.70203e-08, -5.00000e-01, -6.42353e-03
6,1.040299e+00, -5.00000e-01, -7.78818e-08, -5.00000e-01, -6.65636e-03
6,1.164616e+00, -5.00000e-01, -2.84242e-08, -5.00000e-01, -6.80856e-03
6,1.164668e+00, 5.00000e-01, 1.03696e-07, -5.00000e-01, -6.56973e-03
6,1.288844e+00, 5.00000e-01, 6.72419e-08, -5.00000e-01, -6.19986e-03
7,1.288898e+00, -5.00000e-01, -9.98734e-08, -5.00000e-01, -6.52883e-03
7,1.413066e+00, -5.00000e-01, -3.65663e-08, -5.00000e-01, -6.73096e-03
7,1.413111e+00, 5.00000e-01, 9.77271e-08, -5.00000e-01, -6.57782e-03
7,1.469638e+00, 5.00000e-01, 9.86279e-08, -5.00000e-01, -6.38657e-03
8,1.469678e+00, -5.00000e-01, -7.94153e-08, -5.00000e-01, -6.62748e-03
8,1.593959e+00, -5.00000e-01, -2.88946e-08, -5.00000e-01, -6.78439e-03
8,1.594008e+00, 5.00000e-01, 1.06773e-07, -5.00000e-01, -6.53807e-03
8,1.718295e+00, 5.00000e-01, 6.69911e-08, -5.00000e-01, -6.15870e-03
9,1.718350e+00, -5.00000e-01, -1.01923e-07, -5.00000e-01, -6.49911e-03
9,1.842598e+00, -5.00000e-01, -3.71707e-08, -5.00000e-01, -6.70886e-03
9,1.842644e+00, 5.00000e-01, 9.90437e-08, -5.00000e-01, -6.55172e-03
9,1.922152e+00, 5.00000e-01, 8.91684e-08, -5.00000e-01, -6.28095e-03
10,1.922200e+00, -5.00000e-01, -1.71020e-07, -5.00000e-01, -6.45372e-03
10,2.046525e+00, -5.00000e-01, -4.07761e-08, -5.00000e-01, -6.70624e-03
10,2.046577e+00, 5.00000e-01, 1.05858e-07, -5.00000e-01, -6.46119e-03
10,2.170766e+00, 5.00000e-01, 6.31854e-08, -5.00000e-01, -6.08487e-03
11,2.170807e+00, -5.00000e-01, -1.04770e-07, -5.00000e-01, -6.44615e-03
11,2.295110e+00, -5.00000e-01, -3.88747e-08, -5.00000e-01, -6.66760e-03
11,2.295158e+00, 5.00000e-01, 9.90656e-08, -5.00000e-01, -6.50961e-03
11,2.374709e+00, 5.00000e-01, 8.91048e-08, -5.00000e-01, -6.23227e-03
12,2.374752e+00, -5.00000e-01, -1.73805e-07, -5.00000e-01, -6.41162e-03
12,2.498998e+00, -5.00000e-01, -4.18294e-08, -5.00000e-01, -6.67554e-03
12,2.499050e+00, 5.00000e-01, 1.08087e-07, -5.00000e-01, -6.42375e-03
