START TIME:2024-04-04 00:49:28
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,1.700000e-06, -5.00000e-01, -3.54050e-07, -5.00000e-01, -4.36357e-03
1,1.243340e-01, -5.00000e-01, -4.23350e-08, -5.00000e-01, -4.46964e-03
1,1.243845e-01, -1.70000e+00, -3.33231e-07, -5.00000e-01, -5.68246e-03
1,1.684820e-01, -1.70000e+00, -2.14367e-07, -5.00000e-01, -5.73161e-03
1,2.125596e-01, -1.70000e+00, -1.56957e-07, -5.00000e-01, -5.76070e-03
1,2.566507e-01, -1.70000e+00, -1.29092e-07, -5.00000e-01, -5.78259e-03
1,3.007989e-01, -1.70000e+00, -1.12522e-07, -5.00000e-01, -5.80181e-03
1,3.448502e-01, -1.70000e+00, -1.00753e-07, -5.00000e-01, -5.81925e-03
1,4.691347e-01, -1.70000e+00, -7.93210e-08, -5.00000e-01, -5.85503e-03
1,5.257200e-01, -1.70000e+00, -7.22939e-08, -5.00000e-01, -5.86893e-03
1,5.824134e-01, -1.70000e+00, -6.67388e-08, -5.00000e-01, -5.88234e-03
1,6.389863e-01, -1.70000e+00, -6.23413e-08, -5.00000e-01, -5.89314e-03
1,6.955982e-01, -1.70000e+00, -5.86921e-08, -5.00000e-01, -5.90251e-03
1,7.522238e-01, -1.70000e+00, -5.56031e-08, -5.00000e-01, -5.91281e-03
1,8.087999e-01, -1.70000e+00, -5.29093e-08, -5.00000e-01, -5.92342e-03
1,8.653337e-01, -1.70000e+00, -5.04479e-08, -5.00000e-01, -5.93018e-03
2,8.653706e-01, -5.00000e-01, 8.35152e-07, -5.00000e-01, -5.08712e-03
2,9.094283e-01, -5.00000e-01, 2.89776e-07, -5.00000e-01, -4.94658e-03
2,9.534279e-01, -5.00000e-01, 1.49881e-07, -5.00000e-01, -4.88510e-03
2,9.534607e-01, -1.70000e+00, -7.79964e-07, -5.00000e-01, -5.76899e-03
2,9.976348e-01, -1.70000e+00, -2.45604e-07, -5.00000e-01, -5.83276e-03
2,1.041721e+00, -1.70000e+00, -1.56853e-07, -5.00000e-01, -5.86942e-03
2,1.085807e+00, -1.70000e+00, -1.15037e-07, -5.00000e-01, -5.89256e-03
2,1.210046e+00, -1.70000e+00, -7.48561e-08, -5.00000e-01, -5.93306e-03
2,1.266781e+00, -1.70000e+00, -6.59548e-08, -5.00000e-01, -5.94523e-03
2,1.323455e+00, -1.70000e+00, -5.94980e-08, -5.00000e-01, -5.95580e-03
2,1.380070e+00, -1.70000e+00, -5.47849e-08, -5.00000e-01, -5.96514e-03
2,1.436704e+00, -1.70000e+00, -5.11147e-08, -5.00000e-01, -5.97298e-03
2,1.493311e+00, -1.70000e+00, -4.82018e-08, -5.00000e-01, -5.98164e-03
2,1.549833e+00, -1.70000e+00, -4.58045e-08, -5.00000e-01, -5.98863e-03
2,1.606372e+00, -1.70000e+00, -4.37841e-08, -5.00000e-01, -5.99619e-03
2,1.662854e+00, -1.70000e+00, -4.20800e-08, -5.00000e-01, -6.00262e-03
3,1.662891e+00, -5.00000e-01, 8.68838e-07, -5.00000e-01, -5.19147e-03
3,1.707026e+00, -5.00000e-01, 3.02990e-07, -5.00000e-01, -5.05428e-03
3,1.751196e+00, -5.00000e-01, 1.60634e-07, -5.00000e-01, -4.99073e-03
3,1.751348e+00, -1.70000e+00, -7.76459e-07, -5.00000e-01, -5.83886e-03
3,1.795406e+00, -1.70000e+00, -2.43069e-07, -5.00000e-01, -5.89916e-03
3,1.839447e+00, -1.70000e+00, -1.54911e-07, -5.00000e-01, -5.93140e-03
3,1.883543e+00, -1.70000e+00, -1.12608e-07, -5.00000e-01, -5.95362e-03
3,2.007783e+00, -1.70000e+00, -7.21083e-08, -5.00000e-01, -5.98936e-03
3,2.064337e+00, -1.70000e+00, -6.31347e-08, -5.00000e-01, -6.00142e-03
3,2.120888e+00, -1.70000e+00, -5.66770e-08, -5.00000e-01, -6.00964e-03
3,2.177525e+00, -1.70000e+00, -5.18693e-08, -5.00000e-01, -6.01837e-03
3,2.234138e+00, -1.70000e+00, -4.82167e-08, -5.00000e-01, -6.02523e-03
3,2.290688e+00, -1.70000e+00, -4.53597e-08, -5.00000e-01, -6.03247e-03
3,2.347319e+00, -1.70000e+00, -4.30360e-08, -5.00000e-01, -6.04022e-03
3,2.403903e+00, -1.70000e+00, -4.11379e-08, -5.00000e-01, -6.04427e-03
3,2.460575e+00, -1.70000e+00, -3.95439e-08, -5.00000e-01, -6.05001e-03
4,2.460631e+00, -5.00000e-01, 8.81707e-07, -5.00000e-01, -5.25908e-03
4,2.504690e+00, -5.00000e-01, 3.05526e-07, -5.00000e-01, -5.12832e-03
4,2.548686e+00, -5.00000e-01, 1.64573e-07, -5.00000e-01, -5.06721e-03
4,2.548729e+00, -1.70000e+00, -7.77678e-07, -5.00000e-01, -5.89309e-03
4,2.592788e+00, -1.70000e+00, -2.44556e-07, -5.00000e-01, -5.94783e-03
4,2.636772e+00, -1.70000e+00, -1.55650e-07, -5.00000e-01, -5.97656e-03
4,2.680879e+00, -1.70000e+00, -1.12530e-07, -5.00000e-01, -5.99792e-03
4,2.805124e+00, -1.70000e+00, -7.14349e-08, -5.00000e-01, -6.03066e-03
4,2.861713e+00, -1.70000e+00, -6.24109e-08, -5.00000e-01, -6.04130e-03
4,2.918306e+00, -1.70000e+00, -5.58493e-08, -5.00000e-01, -6.05137e-03
4,2.974908e+00, -1.70000e+00, -5.09763e-08, -5.00000e-01, -6.05921e-03
4,3.031420e+00, -1.70000e+00, -4.72516e-08, -5.00000e-01, -6.06549e-03
4,3.087980e+00, -1.70000e+00, -4.43441e-08, -5.00000e-01, -6.07190e-03
4,3.144513e+00, -1.70000e+00, -4.20110e-08, -5.00000e-01, -6.07825e-03
4,3.201252e+00, -1.70000e+00, -4.00890e-08, -5.00000e-01, -6.08277e-03
4,3.257973e+00, -1.70000e+00, -3.84937e-08, -5.00000e-01, -6.08543e-03
5,3.258020e+00, -5.00000e-01, 8.89666e-07, -5.00000e-01, -5.31275e-03
5,3.302102e+00, -5.00000e-01, 3.08500e-07, -5.00000e-01, -5.18604e-03
5,3.346148e+00, -5.00000e-01, 1.67525e-07, -5.00000e-01, -5.12484e-03
5,3.346179e+00, -1.70000e+00, -7.79095e-07, -5.00000e-01, -5.93215e-03
5,3.390305e+00, -1.70000e+00, -2.46954e-07, -5.00000e-01, -5.98929e-03
5,3.434450e+00, -1.70000e+00, -1.56775e-07, -5.00000e-01, -6.01764e-03
5,3.478550e+00, -1.70000e+00, -1.13178e-07, -5.00000e-01, -6.03612e-03
5,3.602786e+00, -1.70000e+00, -7.14374e-08, -5.00000e-01, -6.06874e-03
5,3.659407e+00, -1.70000e+00, -6.21059e-08, -5.00000e-01, -6.07870e-03
5,3.715958e+00, -1.70000e+00, -5.55062e-08, -5.00000e-01, -6.08462e-03
5,3.772504e+00, -1.70000e+00, -5.05604e-08, -5.00000e-01, -6.09159e-03
5,3.829099e+00, -1.70000e+00, -4.67243e-08, -5.00000e-01, -6.09756e-03
5,3.885817e+00, -1.70000e+00, -4.37767e-08, -5.00000e-01, -6.10162e-03
5,3.942551e+00, -1.70000e+00, -4.14457e-08, -5.00000e-01, -6.10637e-03
5,3.999141e+00, -1.70000e+00, -3.94946e-08, -5.00000e-01, -6.11014e-03
5,4.055799e+00, -1.70000e+00, -3.79098e-08, -5.00000e-01, -6.11478e-03
6,4.055854e+00, -5.00000e-01, 8.91323e-07, -5.00000e-01, -5.35710e-03
6,4.099923e+00, -5.00000e-01, 3.09182e-07, -5.00000e-01, -5.23333e-03
6,4.143928e+00, -5.00000e-01, 1.69396e-07, -5.00000e-01, -5.17568e-03
6,4.143971e+00, -1.70000e+00, -7.79942e-07, -5.00000e-01, -5.97105e-03
6,4.188019e+00, -1.70000e+00, -2.50361e-07, -5.00000e-01, -6.02228e-03
6,4.232022e+00, -1.70000e+00, -1.58950e-07, -5.00000e-01, -6.04875e-03
6,4.276072e+00, -1.70000e+00, -1.14380e-07, -5.00000e-01, -6.06720e-03
6,4.400329e+00, -1.70000e+00, -7.15500e-08, -5.00000e-01, -6.09889e-03
6,4.456921e+00, -1.70000e+00, -6.21791e-08, -5.00000e-01, -6.10684e-03
6,4.513373e+00, -1.70000e+00, -5.54562e-08, -5.00000e-01, -6.11440e-03
6,4.569872e+00, -1.70000e+00, -5.04112e-08, -5.00000e-01, -6.12105e-03
6,4.626353e+00, -1.70000e+00, -4.65671e-08, -5.00000e-01, -6.12626e-03
6,4.682970e+00, -1.70000e+00, -4.35311e-08, -5.00000e-01, -6.13007e-03
6,4.739508e+00, -1.70000e+00, -4.10819e-08, -5.00000e-01, -6.13500e-03
6,4.796080e+00, -1.70000e+00, -3.91046e-08, -5.00000e-01, -6.13800e-03
6,4.852688e+00, -1.70000e+00, -3.74583e-08, -5.00000e-01, -6.14120e-03
7,4.852882e+00, -5.00000e-01, 8.90477e-07, -5.00000e-01, -5.40007e-03
7,4.897141e+00, -5.00000e-01, 3.08411e-07, -5.00000e-01, -5.27929e-03
7,4.941276e+00, -5.00000e-01, 1.70233e-07, -5.00000e-01, -5.22203e-03
7,4.941314e+00, -1.70000e+00, -7.86286e-07, -5.00000e-01, -6.00151e-03
7,4.985438e+00, -1.70000e+00, -2.53222e-07, -5.00000e-01, -6.05069e-03
7,5.029421e+00, -1.70000e+00, -1.60620e-07, -5.00000e-01, -6.07675e-03
7,5.073509e+00, -1.70000e+00, -1.15374e-07, -5.00000e-01, -6.09372e-03
7,5.197851e+00, -1.70000e+00, -7.17665e-08, -5.00000e-01, -6.12411e-03
7,5.254511e+00, -1.70000e+00, -6.23097e-08, -5.00000e-01, -6.13178e-03
7,5.311175e+00, -1.70000e+00, -5.54923e-08, -5.00000e-01, -6.13874e-03
7,5.367694e+00, -1.70000e+00, -5.03628e-08, -5.00000e-01, -6.14399e-03
7,5.424224e+00, -1.70000e+00, -4.64311e-08, -5.00000e-01, -6.14891e-03
7,5.480837e+00, -1.70000e+00, -4.33145e-08, -5.00000e-01, -6.15289e-03
7,5.537390e+00, -1.70000e+00, -4.08608e-08, -5.00000e-01, -6.15718e-03
7,5.593877e+00, -1.70000e+00, -3.88555e-08, -5.00000e-01, -6.15985e-03
7,5.650509e+00, -1.70000e+00, -3.71656e-08, -5.00000e-01, -6.16373e-03
8,5.650608e+00, -5.00000e-01, 8.85922e-07, -5.00000e-01, -5.43547e-03
8,5.694681e+00, -5.00000e-01, 3.09329e-07, -5.00000e-01, -5.31812e-03
8,5.738683e+00, -5.00000e-01, 1.71746e-07, -5.00000e-01, -5.26320e-03
8,5.738725e+00, -1.70000e+00, -7.91645e-07, -5.00000e-01, -6.02738e-03
8,5.782917e+00, -1.70000e+00, -2.56455e-07, -5.00000e-01, -6.07452e-03
8,5.827009e+00, -1.70000e+00, -1.62409e-07, -5.00000e-01, -6.09984e-03
8,5.871144e+00, -1.70000e+00, -1.16681e-07, -5.00000e-01, -6.11811e-03
8,5.995439e+00, -1.70000e+00, -7.20602e-08, -5.00000e-01, -6.14486e-03
8,6.052014e+00, -1.70000e+00, -6.24114e-08, -5.00000e-01, -6.15222e-03
8,6.108529e+00, -1.70000e+00, -5.55132e-08, -5.00000e-01, -6.15983e-03
8,6.165007e+00, -1.70000e+00, -5.03344e-08, -5.00000e-01, -6.16312e-03
8,6.221637e+00, -1.70000e+00, -4.63087e-08, -5.00000e-01, -6.16822e-03
8,6.278111e+00, -1.70000e+00, -4.31688e-08, -5.00000e-01, -6.17282e-03
8,6.334614e+00, -1.70000e+00, -4.06539e-08, -5.00000e-01, -6.17493e-03
8,6.391198e+00, -1.70000e+00, -3.85918e-08, -5.00000e-01, -6.17835e-03
8,6.447739e+00, -1.70000e+00, -3.69311e-08, -5.00000e-01, -6.18034e-03
9,6.447781e+00, -5.00000e-01, 8.86244e-07, -5.00000e-01, -5.46897e-03
9,6.491858e+00, -5.00000e-01, 3.11611e-07, -5.00000e-01, -5.35573e-03
9,6.535914e+00, -5.00000e-01, 1.72667e-07, -5.00000e-01, -5.30002e-03
9,6.535945e+00, -1.70000e+00, -7.95807e-07, -5.00000e-01, -6.05554e-03
9,6.579992e+00, -1.70000e+00, -2.59533e-07, -5.00000e-01, -6.10202e-03
9,6.624095e+00, -1.70000e+00, -1.64520e-07, -5.00000e-01, -6.12473e-03
9,6.668187e+00, -1.70000e+00, -1.17914e-07, -5.00000e-01, -6.14078e-03
9,6.792453e+00, -1.70000e+00, -7.24848e-08, -5.00000e-01, -6.16523e-03
9,6.849142e+00, -1.70000e+00, -6.26470e-08, -5.00000e-01, -6.17203e-03
9,6.905651e+00, -1.70000e+00, -5.56360e-08, -5.00000e-01, -6.17938e-03
9,6.962216e+00, -1.70000e+00, -5.04299e-08, -5.00000e-01, -6.18316e-03
9,7.018736e+00, -1.70000e+00, -4.64005e-08, -5.00000e-01, -6.18649e-03
9,7.075278e+00, -1.70000e+00, -4.31800e-08, -5.00000e-01, -6.18948e-03
9,7.131899e+00, -1.70000e+00, -4.06377e-08, -5.00000e-01, -6.19254e-03
9,7.188445e+00, -1.70000e+00, -3.85313e-08, -5.00000e-01, -6.19546e-03
9,7.244941e+00, -1.70000e+00, -3.68357e-08, -5.00000e-01, -6.19615e-03
10,7.244983e+00, -5.00000e-01, 8.81021e-07, -5.00000e-01, -5.49667e-03
10,7.289152e+00, -5.00000e-01, 3.10952e-07, -5.00000e-01, -5.38578e-03
10,7.333266e+00, -5.00000e-01, 1.72797e-07, -5.00000e-01, -5.33138e-03
10,7.333310e+00, -1.70000e+00, -7.95273e-07, -5.00000e-01, -6.07389e-03
10,7.377388e+00, -1.70000e+00, -2.62180e-07, -5.00000e-01, -6.11630e-03
10,7.421380e+00, -1.70000e+00, -1.66401e-07, -5.00000e-01, -6.13971e-03
10,7.465491e+00, -1.70000e+00, -1.19354e-07, -5.00000e-01, -6.15432e-03
10,7.589663e+00, -1.70000e+00, -7.29297e-08, -5.00000e-01, -6.17795e-03
10,7.646307e+00, -1.70000e+00, -6.29389e-08, -5.00000e-01, -6.18534e-03
10,7.702983e+00, -1.70000e+00, -5.58170e-08, -5.00000e-01, -6.19155e-03
10,7.759595e+00, -1.70000e+00, -5.05287e-08, -5.00000e-01, -6.19642e-03
10,7.816210e+00, -1.70000e+00, -4.64029e-08, -5.00000e-01, -6.19863e-03
10,7.872758e+00, -1.70000e+00, -4.31619e-08, -5.00000e-01, -6.20198e-03
10,7.929279e+00, -1.70000e+00, -4.05656e-08, -5.00000e-01, -6.20477e-03
10,7.985898e+00, -1.70000e+00, -3.84732e-08, -5.00000e-01, -6.20683e-03
10,8.042639e+00, -1.70000e+00, -3.66986e-08, -5.00000e-01, -6.20995e-03
11,8.042684e+00, -5.00000e-01, 8.77384e-07, -5.00000e-01, -5.52459e-03
11,8.086783e+00, -5.00000e-01, 3.11521e-07, -5.00000e-01, -5.41610e-03
11,8.130853e+00, -5.00000e-01, 1.73994e-07, -5.00000e-01, -5.36187e-03
11,8.130885e+00, -1.70000e+00, -8.00499e-07, -5.00000e-01, -6.09092e-03
11,8.174972e+00, -1.70000e+00, -2.65242e-07, -5.00000e-01, -6.13528e-03
11,8.219087e+00, -1.70000e+00, -1.68250e-07, -5.00000e-01, -6.15758e-03
11,8.263195e+00, -1.70000e+00, -1.20578e-07, -5.00000e-01, -6.17235e-03
11,8.387450e+00, -1.70000e+00, -7.32863e-08, -5.00000e-01, -6.19492e-03
11,8.444115e+00, -1.70000e+00, -6.31206e-08, -5.00000e-01, -6.20133e-03
11,8.500698e+00, -1.70000e+00, -5.59117e-08, -5.00000e-01, -6.20700e-03
11,8.557189e+00, -1.70000e+00, -5.05906e-08, -5.00000e-01, -6.21221e-03
11,8.613741e+00, -1.70000e+00, -4.64467e-08, -5.00000e-01, -6.21671e-03
11,8.670339e+00, -1.70000e+00, -4.31658e-08, -5.00000e-01, -6.21912e-03
11,8.726910e+00, -1.70000e+00, -4.05108e-08, -5.00000e-01, -6.22293e-03
11,8.783505e+00, -1.70000e+00, -3.84043e-08, -5.00000e-01, -6.22385e-03
11,8.840153e+00, -1.70000e+00, -3.66057e-08, -5.00000e-01, -6.22515e-03
12,8.840191e+00, -5.00000e-01, 8.72613e-07, -5.00000e-01, -5.54950e-03
12,8.884230e+00, -5.00000e-01, 3.11719e-07, -5.00000e-01, -5.44447e-03
12,8.928188e+00, -5.00000e-01, 1.74322e-07, -5.00000e-01, -5.39348e-03
12,8.928221e+00, -1.70000e+00, -8.03313e-07, -5.00000e-01, -6.11073e-03
12,8.972276e+00, -1.70000e+00, -2.68353e-07, -5.00000e-01, -6.15271e-03
12,9.016305e+00, -1.70000e+00, -1.70047e-07, -5.00000e-01, -6.17819e-03
12,9.060375e+00, -1.70000e+00, -1.21996e-07, -5.00000e-01, -6.19054e-03
12,9.184558e+00, -1.70000e+00, -7.37145e-08, -5.00000e-01, -6.21209e-03
12,9.241181e+00, -1.70000e+00, -6.34459e-08, -5.00000e-01, -6.21945e-03
12,9.297694e+00, -1.70000e+00, -5.61436e-08, -5.00000e-01, -6.22382e-03
12,9.354616e+00, -1.70000e+00, -5.06783e-08, -5.00000e-01, -6.22709e-03
12,9.411216e+00, -1.70000e+00, -4.64754e-08, -5.00000e-01, -6.22967e-03
12,9.467828e+00, -1.70000e+00, -4.31471e-08, -5.00000e-01, -6.23210e-03
12,9.524363e+00, -1.70000e+00, -4.05391e-08, -5.00000e-01, -6.23551e-03
12,9.580974e+00, -1.70000e+00, -3.83298e-08, -5.00000e-01, -6.23889e-03
12,9.637530e+00, -1.70000e+00, -3.65456e-08, -5.00000e-01, -6.23948e-03
13,9.637564e+00, -5.00000e-01, 8.66672e-07, -5.00000e-01, -5.57620e-03
13,9.681789e+00, -5.00000e-01, 3.11465e-07, -5.00000e-01, -5.47388e-03
13,9.725906e+00, -5.00000e-01, 1.74130e-07, -5.00000e-01, -5.42188e-03
13,9.725947e+00, -1.70000e+00, -8.07214e-07, -5.00000e-01, -6.12924e-03
13,9.769944e+00, -1.70000e+00, -2.71405e-07, -5.00000e-01, -6.17070e-03
13,9.813945e+00, -1.70000e+00, -1.71889e-07, -5.00000e-01, -6.19163e-03
13,9.858096e+00, -1.70000e+00, -1.23216e-07, -5.00000e-01, -6.20611e-03
13,9.982300e+00, -1.70000e+00, -7.42106e-08, -5.00000e-01, -6.22535e-03
13,1.003897e+01, -1.70000e+00, -6.37106e-08, -5.00000e-01, -6.23282e-03
13,1.009554e+01, -1.70000e+00, -5.62604e-08, -5.00000e-01, -6.23693e-03
13,1.015207e+01, -1.70000e+00, -5.07945e-08, -5.00000e-01, -6.24037e-03
13,1.020861e+01, -1.70000e+00, -4.65651e-08, -5.00000e-01, -6.24434e-03
13,1.026519e+01, -1.70000e+00, -4.32370e-08, -5.00000e-01, -6.24696e-03
13,1.032183e+01, -1.70000e+00, -4.05341e-08, -5.00000e-01, -6.25042e-03
13,1.037852e+01, -1.70000e+00, -3.83928e-08, -5.00000e-01, -6.25280e-03
13,1.043518e+01, -1.70000e+00, -3.66036e-08, -5.00000e-01, -6.25453e-03
14,1.043525e+01, -5.00000e-01, 8.61026e-07, -5.00000e-01, -5.60101e-03
14,1.047939e+01, -5.00000e-01, 3.12123e-07, -5.00000e-01, -5.50095e-03
14,1.052350e+01, -5.00000e-01, 1.74678e-07, -5.00000e-01, -5.44944e-03
14,1.052354e+01, -1.70000e+00, -5.45958e-07, -5.00000e-01, -6.15413e-03
14,1.056762e+01, -1.70000e+00, -2.57109e-07, -5.00000e-01, -6.19072e-03
14,1.061173e+01, -1.70000e+00, -1.65503e-07, -5.00000e-01, -6.20999e-03
14,1.065582e+01, -1.70000e+00, -1.20302e-07, -5.00000e-01, -6.22275e-03
14,1.078002e+01, -1.70000e+00, -7.32765e-08, -5.00000e-01, -6.24316e-03
14,1.083668e+01, -1.70000e+00, -6.30820e-08, -5.00000e-01, -6.24828e-03
14,1.089331e+01, -1.70000e+00, -5.58041e-08, -5.00000e-01, -6.25373e-03
14,1.094982e+01, -1.70000e+00, -5.04573e-08, -5.00000e-01, -6.25755e-03
14,1.100635e+01, -1.70000e+00, -4.62590e-08, -5.00000e-01, -6.26078e-03
14,1.106298e+01, -1.70000e+00, -4.29814e-08, -5.00000e-01, -6.26179e-03
14,1.111968e+01, -1.70000e+00, -4.03424e-08, -5.00000e-01, -6.26597e-03
14,1.117635e+01, -1.70000e+00, -3.81491e-08, -5.00000e-01, -6.26679e-03
14,1.123293e+01, -1.70000e+00, -3.63510e-08, -5.00000e-01, -6.26841e-03
15,1.123298e+01, -5.00000e-01, 8.57196e-07, -5.00000e-01, -5.62100e-03
15,1.127718e+01, -5.00000e-01, 3.11707e-07, -5.00000e-01, -5.52235e-03
15,1.132130e+01, -5.00000e-01, 1.75192e-07, -5.00000e-01, -5.47364e-03
15,1.132134e+01, -1.70000e+00, -8.11630e-07, -5.00000e-01, -6.16599e-03
15,1.136535e+01, -1.70000e+00, -2.76608e-07, -5.00000e-01, -6.20422e-03
15,1.140938e+01, -1.70000e+00, -1.75201e-07, -5.00000e-01, -6.22553e-03
15,1.145357e+01, -1.70000e+00, -1.25510e-07, -5.00000e-01, -6.23775e-03
15,1.157771e+01, -1.70000e+00, -7.48289e-08, -5.00000e-01, -6.25607e-03
15,1.163435e+01, -1.70000e+00, -6.41405e-08, -5.00000e-01, -6.26147e-03
15,1.169093e+01, -1.70000e+00, -5.66075e-08, -5.00000e-01, -6.26645e-03
15,1.174759e+01, -1.70000e+00, -5.09972e-08, -5.00000e-01, -6.26950e-03
15,1.180424e+01, -1.70000e+00, -4.67382e-08, -5.00000e-01, -6.27264e-03
15,1.186084e+01, -1.70000e+00, -4.32824e-08, -5.00000e-01, -6.27490e-03
15,1.191743e+01, -1.70000e+00, -4.05933e-08, -5.00000e-01, -6.27693e-03
15,1.197407e+01, -1.70000e+00, -3.83467e-08, -5.00000e-01, -6.27701e-03
