START TIME:2024-04-04 01:27:32
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,5.000000e-06, -5.00000e-01, -4.71270e-08, -5.00000e-01, -1.74178e-04
1,5.689450e-02, -5.00000e-01, -3.53682e-08, -5.00000e-01, -1.90824e-04
2,5.702550e-02, -5.00000e-01, -3.06947e-08, -5.00000e-01, -2.06950e-04
2,1.136334e-01, -5.00000e-01, -2.75794e-08, -5.00000e-01, -2.20755e-04
3,1.136758e-01, -5.00000e-01, -2.52179e-08, -5.00000e-01, -2.33932e-04
3,1.704200e-01, -5.00000e-01, -2.33976e-08, -5.00000e-01, -2.47241e-04
4,1.705124e-01, -5.00000e-01, -2.18841e-08, -5.00000e-01, -2.59840e-04
4,2.273312e-01, -5.00000e-01, -2.06366e-08, -5.00000e-01, -2.71773e-04
5,2.273759e-01, -5.00000e-01, -1.95603e-08, -5.00000e-01, -2.83669e-04
5,2.840486e-01, -5.00000e-01, -1.86280e-08, -5.00000e-01, -2.95381e-04
6,2.840867e-01, -5.00000e-01, -1.77917e-08, -5.00000e-01, -3.06473e-04
6,3.408723e-01, -5.00000e-01, -1.70666e-08, -5.00000e-01, -3.17939e-04
7,3.409319e-01, -5.00000e-01, -1.63998e-08, -5.00000e-01, -3.28668e-04
7,3.976209e-01, -5.00000e-01, -1.58107e-08, -5.00000e-01, -3.38637e-04
8,3.976510e-01, -5.00000e-01, -1.52551e-08, -5.00000e-01, -3.48813e-04
8,4.543946e-01, -5.00000e-01, -1.47636e-08, -5.00000e-01, -3.58991e-04
9,4.544529e-01, -5.00000e-01, -1.43003e-08, -5.00000e-01, -3.68603e-04
9,5.110820e-01, -5.00000e-01, -1.38818e-08, -5.00000e-01, -3.78004e-04
10,5.111259e-01, -5.00000e-01, -1.34916e-08, -5.00000e-01, -3.86690e-04
10,5.678471e-01, -5.00000e-01, -1.31287e-08, -5.00000e-01, -3.96418e-04
11,5.679295e-01, -5.00000e-01, -1.27962e-08, -5.00000e-01, -4.05037e-04
11,6.247048e-01, -5.00000e-01, -1.24759e-08, -5.00000e-01, -4.13755e-04
12,6.247667e-01, -5.00000e-01, -1.21780e-08, -5.00000e-01, -4.23351e-04
12,6.813631e-01, -5.00000e-01, -1.19155e-08, -5.00000e-01, -4.31231e-04
13,6.814012e-01, -5.00000e-01, -1.16422e-08, -5.00000e-01, -4.39690e-04
13,7.381465e-01, -5.00000e-01, -1.14096e-08, -5.00000e-01, -4.47732e-04
14,7.382040e-01, -5.00000e-01, -1.11781e-08, -5.00000e-01, -4.56601e-04
14,7.948594e-01, -5.00000e-01, -1.09692e-08, -5.00000e-01, -4.63721e-04
15,7.948983e-01, -5.00000e-01, -1.07557e-08, -5.00000e-01, -4.72330e-04
15,8.516251e-01, -5.00000e-01, -1.05657e-08, -5.00000e-01, -4.80120e-04
16,8.516668e-01, -5.00000e-01, -1.03701e-08, -5.00000e-01, -4.88434e-04
16,9.084626e-01, -5.00000e-01, -1.01924e-08, -5.00000e-01, -4.96422e-04
