START TIME:2024-04-04 01:36:44
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,2.300000e-06, -5.00000e-01, -4.45901e-08, -5.00000e-01, -1.03965e-04
1,5.671490e-02, -5.00000e-01, -3.14696e-08, -5.00000e-01, -1.13949e-04
2,5.674920e-02, -5.00000e-01, -2.76333e-08, -5.00000e-01, -1.23414e-04
2,1.134472e-01, -5.00000e-01, -2.49888e-08, -5.00000e-01, -1.31637e-04
3,1.134970e-01, -5.00000e-01, -2.29732e-08, -5.00000e-01, -1.40239e-04
3,1.701981e-01, -5.00000e-01, -2.13983e-08, -5.00000e-01, -1.48237e-04
4,1.703087e-01, -5.00000e-01, -2.01175e-08, -5.00000e-01, -1.56084e-04
4,2.270526e-01, -5.00000e-01, -1.90358e-08, -5.00000e-01, -1.63551e-04
5,2.271023e-01, -5.00000e-01, -1.81111e-08, -5.00000e-01, -1.70941e-04
5,2.838967e-01, -5.00000e-01, -1.72967e-08, -5.00000e-01, -1.78230e-04
6,2.840480e-01, -5.00000e-01, -1.65849e-08, -5.00000e-01, -1.84624e-04
6,3.407898e-01, -5.00000e-01, -1.59430e-08, -5.00000e-01, -1.91499e-04
7,3.408535e-01, -5.00000e-01, -1.53647e-08, -5.00000e-01, -1.97728e-04
7,3.975142e-01, -5.00000e-01, -1.48561e-08, -5.00000e-01, -2.04065e-04
8,3.976961e-01, -5.00000e-01, -1.43745e-08, -5.00000e-01, -2.10475e-04
8,4.544645e-01, -5.00000e-01, -1.39475e-08, -5.00000e-01, -2.16781e-04
9,4.545300e-01, -5.00000e-01, -1.35359e-08, -5.00000e-01, -2.23340e-04
9,5.112497e-01, -5.00000e-01, -1.31838e-08, -5.00000e-01, -2.28848e-04
10,5.113047e-01, -5.00000e-01, -1.28433e-08, -5.00000e-01, -2.35008e-04
10,5.679656e-01, -5.00000e-01, -1.25339e-08, -5.00000e-01, -2.41169e-04
11,5.680095e-01, -5.00000e-01, -1.22559e-08, -5.00000e-01, -2.46375e-04
11,6.246281e-01, -5.00000e-01, -1.19878e-08, -5.00000e-01, -2.52314e-04
12,6.246669e-01, -5.00000e-01, -1.17285e-08, -5.00000e-01, -2.58477e-04
12,6.814179e-01, -5.00000e-01, -1.15025e-08, -5.00000e-01, -2.64232e-04
13,6.815125e-01, -5.00000e-01, -1.12839e-08, -5.00000e-01, -2.70229e-04
13,7.382572e-01, -5.00000e-01, -1.10842e-08, -5.00000e-01, -2.75796e-04
14,7.383351e-01, -5.00000e-01, -1.08924e-08, -5.00000e-01, -2.81507e-04
14,7.949831e-01, -5.00000e-01, -1.07106e-08, -5.00000e-01, -2.87555e-04
15,7.950208e-01, -5.00000e-01, -1.05430e-08, -5.00000e-01, -2.93626e-04
15,8.517491e-01, -5.00000e-01, -1.03965e-08, -5.00000e-01, -2.99069e-04
16,8.518224e-01, -5.00000e-01, -1.02579e-08, -5.00000e-01, -3.03863e-04
16,9.084766e-01, -5.00000e-01, -1.01115e-08, -5.00000e-01, -3.09190e-04
17,9.085167e-01, -5.00000e-01, -9.63861e-09, -5.00000e-01, -3.30118e-04
17,1.040470e+00, -5.00000e-01, -9.38668e-09, -5.00000e-01, -3.43326e-04
18,1.040511e+00, -5.00000e-01, -9.16106e-09, -5.00000e-01, -3.56029e-04
18,1.172352e+00, -5.00000e-01, -8.94858e-09, -5.00000e-01, -3.68927e-04
19,1.172396e+00, -5.00000e-01, -8.75507e-09, -5.00000e-01, -3.82153e-04
19,1.304264e+00, -5.00000e-01, -8.58810e-09, -5.00000e-01, -3.94545e-04
20,1.304316e+00, -5.00000e-01, -8.42665e-09, -5.00000e-01, -4.07451e-04
20,1.436090e+00, -5.00000e-01, -8.26061e-09, -5.00000e-01, -4.21425e-04
21,1.436143e+00, -5.00000e-01, -8.12628e-09, -5.00000e-01, -4.34770e-04
21,1.567907e+00, -5.00000e-01, -8.00380e-09, -5.00000e-01, -4.47625e-04
22,1.567958e+00, -5.00000e-01, -7.86861e-09, -5.00000e-01, -4.60048e-04
22,1.699669e+00, -5.00000e-01, -7.73482e-09, -5.00000e-01, -4.73272e-04
23,1.699712e+00, -5.00000e-01, -7.61320e-09, -5.00000e-01, -4.86131e-04
23,1.831535e+00, -5.00000e-01, -7.48791e-09, -5.00000e-01, -4.99901e-04
24,1.831599e+00, -5.00000e-01, -7.38284e-09, -5.00000e-01, -5.13380e-04
24,1.963340e+00, -5.00000e-01, -7.26398e-09, -5.00000e-01, -5.27532e-04
25,1.963393e+00, -5.00000e-01, -7.15620e-09, -5.00000e-01, -5.41695e-04
25,2.095238e+00, -5.00000e-01, -7.04206e-09, -5.00000e-01, -5.55846e-04
26,2.095402e+00, -5.00000e-01, -6.93952e-09, -5.00000e-01, -5.68947e-04
26,2.227245e+00, -5.00000e-01, -6.84255e-09, -5.00000e-01, -5.82735e-04
27,2.227301e+00, -5.00000e-01, -6.74355e-09, -5.00000e-01, -5.96574e-04
27,2.359098e+00, -5.00000e-01, -6.63575e-09, -5.00000e-01, -6.10036e-04
28,2.359138e+00, -5.00000e-01, -6.55168e-09, -5.00000e-01, -6.22676e-04
28,2.491036e+00, -5.00000e-01, -6.44788e-09, -5.00000e-01, -6.36658e-04
29,2.491162e+00, -5.00000e-01, -6.34600e-09, -5.00000e-01, -6.49719e-04
29,2.622893e+00, -5.00000e-01, -6.24426e-09, -5.00000e-01, -6.63439e-04
30,2.622961e+00, -5.00000e-01, -6.15271e-09, -5.00000e-01, -6.77487e-04
30,2.754743e+00, -5.00000e-01, -6.07306e-09, -5.00000e-01, -6.91378e-04
31,2.754799e+00, -5.00000e-01, -5.98761e-09, -5.00000e-01, -7.04414e-04
31,2.886512e+00, -5.00000e-01, -5.88556e-09, -5.00000e-01, -7.17540e-04
32,2.886563e+00, -5.00000e-01, -5.80018e-09, -5.00000e-01, -7.30770e-04
32,3.018334e+00, -5.00000e-01, -5.70254e-09, -5.00000e-01, -7.44403e-04
33,3.018387e+00, -5.00000e-01, -5.61804e-09, -5.00000e-01, -7.56481e-04
33,3.150143e+00, -5.00000e-01, -5.52518e-09, -5.00000e-01, -7.70013e-04
34,3.150276e+00, -5.00000e-01, -5.44599e-09, -5.00000e-01, -7.83617e-04
34,3.282137e+00, -5.00000e-01, -5.37082e-09, -5.00000e-01, -7.95924e-04
35,3.282256e+00, -5.00000e-01, -5.27266e-09, -5.00000e-01, -8.09305e-04
35,3.414030e+00, -5.00000e-01, -5.20235e-09, -5.00000e-01, -8.21485e-04
36,3.414069e+00, -5.00000e-01, -5.12515e-09, -5.00000e-01, -8.33658e-04
36,3.545894e+00, -5.00000e-01, -5.05035e-09, -5.00000e-01, -8.44842e-04
37,3.545959e+00, -5.00000e-01, -4.95154e-09, -5.00000e-01, -8.58967e-04
37,3.677686e+00, -5.00000e-01, -4.90083e-09, -5.00000e-01, -8.68738e-04
38,3.677738e+00, -5.00000e-01, -4.81839e-09, -5.00000e-01, -8.82663e-04
38,3.809410e+00, -5.00000e-01, -4.74547e-09, -5.00000e-01, -8.93906e-04
39,3.809452e+00, -5.00000e-01, -4.66523e-09, -5.00000e-01, -9.05318e-04
39,3.941237e+00, -5.00000e-01, -4.57913e-09, -5.00000e-01, -9.16979e-04
40,3.941279e+00, -5.00000e-01, -4.53687e-09, -5.00000e-01, -9.27574e-04
40,4.073068e+00, -5.00000e-01, -4.46102e-09, -5.00000e-01, -9.39387e-04
41,4.073169e+00, -5.00000e-01, -4.39911e-09, -5.00000e-01, -9.49856e-04
41,4.204947e+00, -5.00000e-01, -4.33817e-09, -5.00000e-01, -9.59612e-04
42,4.204983e+00, -5.00000e-01, -4.27098e-09, -5.00000e-01, -9.70515e-04
42,4.336755e+00, -5.00000e-01, -4.21984e-09, -5.00000e-01, -9.80089e-04
43,4.336804e+00, -5.00000e-01, -4.14438e-09, -5.00000e-01, -9.89757e-04
43,4.488817e+00, -5.00000e-01, -4.08106e-09, -5.00000e-01, -1.00145e-03
44,4.488886e+00, -5.00000e-01, -4.01280e-09, -5.00000e-01, -1.01162e-03
44,4.620582e+00, -5.00000e-01, -3.96801e-09, -5.00000e-01, -1.02118e-03
45,4.620623e+00, -5.00000e-01, -3.91721e-09, -5.00000e-01, -1.02909e-03
45,4.752311e+00, -5.00000e-01, -3.86387e-09, -5.00000e-01, -1.03903e-03
46,4.752353e+00, -5.00000e-01, -3.79481e-09, -5.00000e-01, -1.04906e-03
