START TIME:2024-04-04 00:51:45
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,3.400000e-06, -5.00000e-01, -2.10954e-07, -5.00000e-01, -5.52584e-03
1,1.243343e-01, -5.00000e-01, -3.41808e-08, -5.00000e-01, -5.57642e-03
1,1.245641e-01, 2.30000e+00, 2.39928e-06, -5.00000e-01, -1.40788e-06
1,1.673042e-01, 2.30000e+00, 1.60735e-06, -5.00000e-01, -1.17821e-06
1,2.097558e-01, 2.30000e+00, 1.39742e-06, -5.00000e-01, -1.06324e-06
1,2.752397e-01, 2.30000e+00, 1.27326e-06, -5.00000e-01, -9.66903e-07
1,3.198415e-01, 2.30000e+00, 1.15151e-06, -5.00000e-01, -9.26059e-07
1,3.644090e-01, 2.30000e+00, 1.09201e-06, -5.00000e-01, -8.94185e-07
1,4.089868e-01, 2.30000e+00, 1.04290e-06, -5.00000e-01, -8.67973e-07
1,4.536319e-01, 2.30000e+00, 1.00006e-06, -5.00000e-01, -8.43837e-07
1,5.211771e-01, 2.30000e+00, 9.41852e-07, -5.00000e-01, -8.09765e-07
1,5.677875e-01, 2.30000e+00, 9.07489e-07, -5.00000e-01, -7.88952e-07
1,6.144905e-01, 2.30000e+00, 8.77358e-07, -5.00000e-01, -7.70136e-07
1,6.612018e-01, 2.30000e+00, 8.50796e-07, -5.00000e-01, -7.52466e-07
2,6.612530e-01, -5.00000e-01, -4.84205e-06, -5.00000e-01, -4.54153e-03
2,7.264009e-01, -5.00000e-01, -3.39365e-07, -5.00000e-01, -4.60291e-03
2,7.264414e-01, 2.30000e+00, 2.67847e-06, -5.00000e-01, -1.26923e-06
2,7.690833e-01, 2.30000e+00, 1.53189e-06, -5.00000e-01, -1.11067e-06
2,8.116776e-01, 2.30000e+00, 1.32957e-06, -5.00000e-01, -1.02875e-06
2,8.771787e-01, 2.30000e+00, 1.20323e-06, -5.00000e-01, -9.47853e-07
2,9.219297e-01, 2.30000e+00, 1.07227e-06, -5.00000e-01, -9.05295e-07
2,9.665863e-01, 2.30000e+00, 1.00836e-06, -5.00000e-01, -8.67438e-07
2,1.034175e+00, 2.30000e+00, 9.32850e-07, -5.00000e-01, -8.17283e-07
2,1.080789e+00, 2.30000e+00, 8.89912e-07, -5.00000e-01, -7.86779e-07
2,1.127433e+00, 2.30000e+00, 8.53081e-07, -5.00000e-01, -7.59604e-07
2,1.173984e+00, 2.30000e+00, 8.20178e-07, -5.00000e-01, -7.35151e-07
2,1.220529e+00, 2.30000e+00, 7.91286e-07, -5.00000e-01, -7.12873e-07
2,1.267063e+00, 2.30000e+00, 7.65559e-07, -5.00000e-01, -6.92966e-07
3,1.267107e+00, -5.00000e-01, -6.20274e-06, -5.00000e-01, -4.63587e-03
3,1.332153e+00, -5.00000e-01, -3.93116e-07, -5.00000e-01, -4.65122e-03
3,1.332196e+00, 2.30000e+00, 2.29025e-06, -5.00000e-01, -1.01336e-06
3,1.397643e+00, 2.30000e+00, 1.28953e-06, -5.00000e-01, -9.15726e-07
3,1.442319e+00, 2.30000e+00, 1.09264e-06, -5.00000e-01, -8.71423e-07
3,1.486926e+00, 2.30000e+00, 1.00654e-06, -5.00000e-01, -8.35524e-07
3,1.554388e+00, 2.30000e+00, 9.15372e-07, -5.00000e-01, -7.87887e-07
3,1.601005e+00, 2.30000e+00, 8.67600e-07, -5.00000e-01, -7.58429e-07
3,1.647525e+00, 2.30000e+00, 8.26550e-07, -5.00000e-01, -7.30159e-07
3,1.694215e+00, 2.30000e+00, 7.90727e-07, -5.00000e-01, -7.04544e-07
3,1.740869e+00, 2.30000e+00, 7.59426e-07, -5.00000e-01, -6.81285e-07
3,1.787440e+00, 2.30000e+00, 7.32838e-07, -5.00000e-01, -6.61308e-07
3,1.833996e+00, 2.30000e+00, 7.08709e-07, -5.00000e-01, -6.42932e-07
4,1.834046e+00, -5.00000e-01, -6.92895e-06, -5.00000e-01, -4.69728e-03
4,1.899154e+00, -5.00000e-01, -4.47846e-07, -5.00000e-01, -4.70482e-03
4,1.899211e+00, 2.30000e+00, 2.26375e-06, -5.00000e-01, -9.66688e-07
4,1.943900e+00, 2.30000e+00, 1.32427e-06, -5.00000e-01, -8.92251e-07
4,1.988437e+00, 2.30000e+00, 1.14353e-06, -5.00000e-01, -8.42756e-07
4,2.033122e+00, 2.30000e+00, 1.02800e-06, -5.00000e-01, -8.05984e-07
4,2.100626e+00, 2.30000e+00, 9.11701e-07, -5.00000e-01, -7.61088e-07
4,2.147098e+00, 2.30000e+00, 8.56832e-07, -5.00000e-01, -7.33086e-07
4,2.193629e+00, 2.30000e+00, 8.12849e-07, -5.00000e-01, -7.08736e-07
4,2.240221e+00, 2.30000e+00, 7.77780e-07, -5.00000e-01, -6.87724e-07
4,2.286800e+00, 2.30000e+00, 7.48999e-07, -5.00000e-01, -6.69295e-07
4,2.333415e+00, 2.30000e+00, 7.24511e-07, -5.00000e-01, -6.52681e-07
4,2.379867e+00, 2.30000e+00, 7.03135e-07, -5.00000e-01, -6.37266e-07
4,2.426349e+00, 2.30000e+00, 6.83805e-07, -5.00000e-01, -6.22768e-07
5,2.426392e+00, -5.00000e-01, -7.45095e-06, -5.00000e-01, -4.67765e-03
5,2.491522e+00, -5.00000e-01, -4.83238e-07, -5.00000e-01, -4.69693e-03
5,2.491564e+00, 2.30000e+00, 2.29147e-06, -5.00000e-01, -9.34818e-07
5,2.536195e+00, 2.30000e+00, 1.30448e-06, -5.00000e-01, -8.56626e-07
5,2.580758e+00, 2.30000e+00, 1.12030e-06, -5.00000e-01, -8.12081e-07
5,2.625392e+00, 2.30000e+00, 1.00681e-06, -5.00000e-01, -7.83663e-07
5,2.692946e+00, 2.30000e+00, 8.98819e-07, -5.00000e-01, -7.49664e-07
5,2.739555e+00, 2.30000e+00, 8.48700e-07, -5.00000e-01, -7.27598e-07
5,2.786260e+00, 2.30000e+00, 8.08640e-07, -5.00000e-01, -7.06581e-07
5,2.832848e+00, 2.30000e+00, 7.74871e-07, -5.00000e-01, -6.86127e-07
5,2.879448e+00, 2.30000e+00, 7.45467e-07, -5.00000e-01, -6.66608e-07
5,2.926076e+00, 2.30000e+00, 7.19180e-07, -5.00000e-01, -6.47956e-07
5,2.972765e+00, 2.30000e+00, 6.95436e-07, -5.00000e-01, -6.30272e-07
5,3.019335e+00, 2.30000e+00, 6.73697e-07, -5.00000e-01, -6.13484e-07
6,3.019386e+00, -5.00000e-01, -7.83280e-06, -5.00000e-01, -4.67641e-03
6,3.084377e+00, -5.00000e-01, -5.10510e-07, -5.00000e-01, -4.69241e-03
6,3.084420e+00, 2.30000e+00, 2.31921e-06, -5.00000e-01, -9.13252e-07
6,3.128994e+00, 2.30000e+00, 1.29488e-06, -5.00000e-01, -8.35277e-07
6,3.173516e+00, 2.30000e+00, 1.11248e-06, -5.00000e-01, -7.98651e-07
6,3.218150e+00, 2.30000e+00, 1.00116e-06, -5.00000e-01, -7.74389e-07
6,3.285653e+00, 2.30000e+00, 8.91203e-07, -5.00000e-01, -7.40576e-07
6,3.332162e+00, 2.30000e+00, 8.39258e-07, -5.00000e-01, -7.17315e-07
6,3.378664e+00, 2.30000e+00, 7.97476e-07, -5.00000e-01, -6.94864e-07
6,3.425288e+00, 2.30000e+00, 7.62299e-07, -5.00000e-01, -6.73434e-07
6,3.471874e+00, 2.30000e+00, 7.31847e-07, -5.00000e-01, -6.53413e-07
6,3.518460e+00, 2.30000e+00, 7.05155e-07, -5.00000e-01, -6.34471e-07
6,3.568952e+00, 2.30000e+00, 6.81054e-07, -5.00000e-01, -6.16551e-07
6,3.615611e+00, 2.30000e+00, 6.57322e-07, -5.00000e-01, -5.98177e-07
7,3.615677e+00, -5.00000e-01, -8.14427e-06, -5.00000e-01, -4.67402e-03
7,3.680743e+00, -5.00000e-01, -5.37070e-07, -5.00000e-01, -4.70882e-03
7,3.680811e+00, 2.30000e+00, 2.33877e-06, -5.00000e-01, -8.87436e-07
7,3.725410e+00, 2.30000e+00, 1.27905e-06, -5.00000e-01, -8.07121e-07
7,3.769964e+00, 2.30000e+00, 1.09564e-06, -5.00000e-01, -7.74769e-07
7,3.837459e+00, 2.30000e+00, 9.40234e-07, -5.00000e-01, -7.43840e-07
7,3.883973e+00, 2.30000e+00, 8.71509e-07, -5.00000e-01, -7.21366e-07
7,3.930504e+00, 2.30000e+00, 8.19615e-07, -5.00000e-01, -6.98758e-07
7,3.977078e+00, 2.30000e+00, 7.78350e-07, -5.00000e-01, -6.76748e-07
7,4.023766e+00, 2.30000e+00, 7.43456e-07, -5.00000e-01, -6.55717e-07
7,4.070359e+00, 2.30000e+00, 7.13496e-07, -5.00000e-01, -6.35798e-07
