START TIME:2024-04-04 01:08:07
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,3.300000e-06, -5.00000e-01, -1.03234e-07, -5.00000e-01, -2.54446e-03
1,1.242781e-01, -5.00000e-01, -3.65522e-08, -5.00000e-01, -2.75238e-03
1,1.243348e-01, 9.00000e-01, 4.10051e-07, -5.00000e-01, -2.08441e-03
1,1.684437e-01, 9.00000e-01, 3.07528e-07, -5.00000e-01, -1.87646e-03
2,1.684843e-01, -5.00000e-01, -8.23520e-07, -5.00000e-01, -2.31540e-03
2,2.126514e-01, -5.00000e-01, -1.97419e-07, -5.00000e-01, -2.52985e-03
2,3.368658e-01, -5.00000e-01, -4.70140e-08, -5.00000e-01, -2.76392e-03
2,3.369430e-01, 9.00000e-01, 4.18697e-07, -5.00000e-01, -2.06793e-03
2,3.810412e-01, 9.00000e-01, 3.03697e-07, -5.00000e-01, -1.86070e-03
3,3.810779e-01, -5.00000e-01, -8.50945e-07, -5.00000e-01, -2.30590e-03
3,4.252909e-01, -5.00000e-01, -2.17047e-07, -5.00000e-01, -2.53165e-03
3,5.494310e-01, -5.00000e-01, -4.94321e-08, -5.00000e-01, -2.75663e-03
3,5.494722e-01, 9.00000e-01, 4.30708e-07, -5.00000e-01, -2.04173e-03
3,5.936095e-01, 9.00000e-01, 3.07599e-07, -5.00000e-01, -1.82778e-03
4,5.936629e-01, -5.00000e-01, -8.68929e-07, -5.00000e-01, -2.27490e-03
4,6.377706e-01, -5.00000e-01, -2.28110e-07, -5.00000e-01, -2.50235e-03
4,6.819115e-01, -5.00000e-01, -1.01838e-07, -5.00000e-01, -2.60766e-03
4,6.819798e-01, 9.00000e-01, 7.46236e-07, -5.00000e-01, -2.16720e-03
4,7.261219e-01, 9.00000e-01, 3.94531e-07, -5.00000e-01, -1.87458e-03
5,7.261700e-01, -5.00000e-01, -8.39670e-07, -5.00000e-01, -2.28369e-03
5,7.703662e-01, -5.00000e-01, -1.92634e-07, -5.00000e-01, -2.47651e-03
5,8.945956e-01, -5.00000e-01, -5.00351e-08, -5.00000e-01, -2.67835e-03
5,8.946358e-01, 9.00000e-01, 4.34268e-07, -5.00000e-01, -1.96547e-03
5,9.387669e-01, 9.00000e-01, 3.10863e-07, -5.00000e-01, -1.75168e-03
6,9.387997e-01, -5.00000e-01, -8.72626e-07, -5.00000e-01, -2.18943e-03
6,9.829722e-01, -5.00000e-01, -2.31927e-07, -5.00000e-01, -2.41533e-03
6,1.027098e+00, -5.00000e-01, -1.04222e-07, -5.00000e-01, -2.51680e-03
6,1.027137e+00, 9.00000e-01, 7.41047e-07, -5.00000e-01, -2.08490e-03
6,1.071330e+00, 9.00000e-01, 3.96487e-07, -5.00000e-01, -1.79242e-03
7,1.071368e+00, -5.00000e-01, -8.42411e-07, -5.00000e-01, -2.19122e-03
7,1.115510e+00, -5.00000e-01, -1.94403e-07, -5.00000e-01, -2.37912e-03
7,1.239689e+00, -5.00000e-01, -5.11628e-08, -5.00000e-01, -2.57123e-03
7,1.239731e+00, 9.00000e-01, 4.39620e-07, -5.00000e-01, -1.86987e-03
7,1.283930e+00, 9.00000e-01, 3.13496e-07, -5.00000e-01, -1.65943e-03
8,1.283967e+00, -5.00000e-01, -8.79782e-07, -5.00000e-01, -2.08370e-03
8,1.328046e+00, -5.00000e-01, -2.32518e-07, -5.00000e-01, -2.30121e-03
8,1.372093e+00, -5.00000e-01, -1.05503e-07, -5.00000e-01, -2.40021e-03
8,1.372140e+00, 9.00000e-01, 7.27938e-07, -5.00000e-01, -1.98207e-03
8,1.416404e+00, 9.00000e-01, 3.97449e-07, -5.00000e-01, -1.69620e-03
9,1.416446e+00, -5.00000e-01, -8.44215e-07, -5.00000e-01, -2.08231e-03
9,1.460573e+00, -5.00000e-01, -1.94422e-07, -5.00000e-01, -2.26173e-03
9,1.584858e+00, -5.00000e-01, -5.19553e-08, -5.00000e-01, -2.44859e-03
9,1.585043e+00, 9.00000e-01, 4.39061e-07, -5.00000e-01, -1.76905e-03
9,1.629268e+00, 9.00000e-01, 3.12177e-07, -5.00000e-01, -1.56509e-03
10,1.629393e+00, -5.00000e-01, -8.77847e-07, -5.00000e-01, -1.97358e-03
10,1.673598e+00, -5.00000e-01, -2.30082e-07, -5.00000e-01, -2.18226e-03
10,1.717642e+00, -5.00000e-01, -1.05193e-07, -5.00000e-01, -2.27882e-03
10,1.717683e+00, 9.00000e-01, 7.15900e-07, -5.00000e-01, -1.87697e-03
10,1.761855e+00, 9.00000e-01, 3.99642e-07, -5.00000e-01, -1.59972e-03
11,1.761906e+00, -5.00000e-01, -8.43315e-07, -5.00000e-01, -1.96957e-03
11,1.806012e+00, -5.00000e-01, -1.91925e-07, -5.00000e-01, -2.14143e-03
11,1.930301e+00, -5.00000e-01, -5.23422e-08, -5.00000e-01, -2.32111e-03
11,1.930370e+00, 9.00000e-01, 4.39575e-07, -5.00000e-01, -1.66449e-03
11,1.974468e+00, 9.00000e-01, 3.10655e-07, -5.00000e-01, -1.46488e-03
12,1.974510e+00, -5.00000e-01, -8.81097e-07, -5.00000e-01, -1.85967e-03
12,2.018725e+00, -5.00000e-01, -2.25738e-07, -5.00000e-01, -2.05948e-03
12,2.062861e+00, -5.00000e-01, -1.04348e-07, -5.00000e-01, -2.14914e-03
12,2.062895e+00, 9.00000e-01, 7.00820e-07, -5.00000e-01, -1.76587e-03
12,2.107094e+00, 9.00000e-01, 3.96556e-07, -5.00000e-01, -1.49900e-03
13,2.107219e+00, -5.00000e-01, -8.38899e-07, -5.00000e-01, -1.85413e-03
13,2.151284e+00, -5.00000e-01, -1.90162e-07, -5.00000e-01, -2.01961e-03
13,2.275552e+00, -5.00000e-01, -5.25553e-08, -5.00000e-01, -2.18873e-03
13,2.275610e+00, 9.00000e-01, 4.34308e-07, -5.00000e-01, -1.56074e-03
13,2.319748e+00, 9.00000e-01, 3.08087e-07, -5.00000e-01, -1.37034e-03
14,2.319791e+00, -5.00000e-01, -8.79467e-07, -5.00000e-01, -1.74906e-03
14,2.363853e+00, -5.00000e-01, -2.22184e-07, -5.00000e-01, -1.93820e-03
14,2.407982e+00, -5.00000e-01, -1.03650e-07, -5.00000e-01, -2.02362e-03
14,2.408018e+00, 9.00000e-01, 6.87225e-07, -5.00000e-01, -1.65769e-03
14,2.452116e+00, 9.00000e-01, 3.92594e-07, -5.00000e-01, -1.40283e-03
15,2.452147e+00, -5.00000e-01, -8.35372e-07, -5.00000e-01, -1.74307e-03
15,2.496265e+00, -5.00000e-01, -1.85955e-07, -5.00000e-01, -1.89690e-03
15,2.620408e+00, -5.00000e-01, -5.25415e-08, -5.00000e-01, -2.06229e-03
15,2.620466e+00, 9.00000e-01, 4.30276e-07, -5.00000e-01, -1.46266e-03
15,2.664659e+00, 9.00000e-01, 3.05319e-07, -5.00000e-01, -1.28096e-03
16,2.664703e+00, -5.00000e-01, -8.80185e-07, -5.00000e-01, -1.64428e-03
16,2.708698e+00, -5.00000e-01, -2.19404e-07, -5.00000e-01, -1.82265e-03
16,2.752744e+00, -5.00000e-01, -1.02817e-07, -5.00000e-01, -1.90410e-03
16,2.752800e+00, 9.00000e-01, 6.74448e-07, -5.00000e-01, -1.55623e-03
16,2.796840e+00, 9.00000e-01, 3.88613e-07, -5.00000e-01, -1.31570e-03
17,2.796882e+00, -5.00000e-01, -8.29898e-07, -5.00000e-01, -1.64320e-03
17,2.840928e+00, -5.00000e-01, -1.82825e-07, -5.00000e-01, -1.78858e-03
17,2.965175e+00, -5.00000e-01, -5.23587e-08, -5.00000e-01, -1.94049e-03
17,2.965367e+00, 9.00000e-01, 4.24248e-07, -5.00000e-01, -1.37034e-03
17,3.009537e+00, 9.00000e-01, 3.01900e-07, -5.00000e-01, -1.19887e-03
18,3.009644e+00, -5.00000e-01, -8.75210e-07, -5.00000e-01, -1.54776e-03
18,3.053752e+00, -5.00000e-01, -2.13422e-07, -5.00000e-01, -1.71486e-03
18,3.097765e+00, -5.00000e-01, -1.01186e-07, -5.00000e-01, -1.79172e-03
18,3.097807e+00, 9.00000e-01, 6.61491e-07, -5.00000e-01, -1.46073e-03
18,3.141850e+00, 9.00000e-01, 3.84362e-07, -5.00000e-01, -1.23063e-03
19,3.141892e+00, -5.00000e-01, -8.22849e-07, -5.00000e-01, -1.53998e-03
19,3.185986e+00, -5.00000e-01, -1.80059e-07, -5.00000e-01, -1.67871e-03
19,3.310242e+00, -5.00000e-01, -5.21448e-08, -5.00000e-01, -1.82621e-03
19,3.310287e+00, 9.00000e-01, 4.17757e-07, -5.00000e-01, -1.28463e-03
19,3.354327e+00, 9.00000e-01, 2.99080e-07, -5.00000e-01, -1.12148e-03
20,3.354373e+00, -5.00000e-01, -8.71000e-07, -5.00000e-01, -1.45298e-03
20,3.398531e+00, -5.00000e-01, -2.08801e-07, -5.00000e-01, -1.61151e-03
20,3.522764e+00, -5.00000e-01, -5.34818e-08, -5.00000e-01, -1.76493e-03
20,3.522816e+00, 9.00000e-01, 4.13984e-07, -5.00000e-01, -1.24070e-03
20,3.566878e+00, 9.00000e-01, 2.97917e-07, -5.00000e-01, -1.08321e-03
21,3.566923e+00, -5.00000e-01, -8.69002e-07, -5.00000e-01, -1.40698e-03
21,3.611023e+00, -5.00000e-01, -2.06939e-07, -5.00000e-01, -1.56088e-03
21,3.735152e+00, -5.00000e-01, -5.31592e-08, -5.00000e-01, -1.70897e-03
21,3.735347e+00, 9.00000e-01, 4.12423e-07, -5.00000e-01, -1.19863e-03
21,3.779546e+00, 9.00000e-01, 2.96764e-07, -5.00000e-01, -1.04495e-03
22,3.779655e+00, -5.00000e-01, -8.69943e-07, -5.00000e-01, -1.36055e-03
22,3.823750e+00, -5.00000e-01, -2.06506e-07, -5.00000e-01, -1.50983e-03
22,3.947994e+00, -5.00000e-01, -5.29039e-08, -5.00000e-01, -1.65460e-03
