START TIME:2024-04-19 16:50:58
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,0.000000e+00, -5.00000e-01, 4.76837e-08, -5.00000e-01, -1.54138e-06
1,1.000000e-01, 0.00000e+00, 1.55091e-06, -5.00000e-01, -4.37021e-06
1,1.100270e-01, -5.00000e-01, 4.76837e-08, -5.00000e-01, -4.44174e-06
1,2.100280e-01, 0.00000e+00, 8.71420e-07, -5.00000e-01, -3.11732e-06
1,2.200550e-01, -5.00000e-01, 8.34465e-08, -5.00000e-01, -2.54393e-06
1,3.200550e-01, 0.00000e+00, 1.01447e-06, -5.00000e-01, -2.57969e-06
1,3.300820e-01, -5.00000e-01, -3.09944e-07, -5.00000e-01, -3.01003e-06
1,4.300830e-01, 0.00000e+00, 1.37210e-06, -5.00000e-01, -1.97053e-06
1,4.401100e-01, -5.00000e-01, 4.76837e-08, -5.00000e-01, -2.18630e-06
1,5.401110e-01, 0.00000e+00, 1.58668e-06, -5.00000e-01, -2.07782e-06
1,5.501380e-01, -5.00000e-01, -2.38419e-08, -5.00000e-01, -2.18630e-06
1,6.501390e-01, 0.00000e+00, 9.78708e-07, -5.00000e-01, -2.04206e-06
1,6.601660e-01, -5.00000e-01, 1.90735e-07, -5.00000e-01, -1.89900e-06
1,7.601660e-01, 0.00000e+00, 1.22905e-06, -5.00000e-01, -1.82748e-06
1,7.701930e-01, -5.00000e-01, 5.85318e-07, -5.00000e-01, -1.97053e-06
1,8.701930e-01, 0.00000e+00, 8.35657e-07, -5.00000e-01, -1.72019e-06
1,8.802200e-01, -5.00000e-01, 1.54972e-07, -5.00000e-01, -2.57969e-06
1,9.802200e-01, 0.00000e+00, 1.05023e-06, -5.00000e-01, -2.11477e-06
1,9.902470e-01, -5.00000e-01, -1.31130e-07, -5.00000e-01, -1.86324e-06
1,1.090250e+00, 0.00000e+00, 1.01447e-06, -5.00000e-01, -1.61290e-06
2,1.143083e+00, -5.00000e-01, -2.38419e-08, -5.00000e-01, -2.61545e-06
2,1.243084e+00, 0.00000e+00, 1.05023e-06, -5.00000e-01, -2.47240e-06
2,1.253111e+00, -5.00000e-01, 1.54972e-07, -5.00000e-01, -1.97053e-06
2,1.353112e+00, 0.00000e+00, 9.07183e-07, -5.00000e-01, -1.86324e-06
2,1.363139e+00, -5.00000e-01, 5.85318e-07, -5.00000e-01, -1.79172e-06
2,1.463140e+00, 0.00000e+00, 9.07183e-07, -5.00000e-01, -2.18630e-06
2,1.473167e+00, -5.00000e-01, 2.98023e-07, -5.00000e-01, -1.50561e-06
2,1.573167e+00, 0.00000e+00, 8.35657e-07, -5.00000e-01, -2.22206e-06
2,1.583193e+00, -5.00000e-01, 4.05312e-07, -5.00000e-01, -1.36256e-06
2,1.683194e+00, 0.00000e+00, 1.12176e-06, -5.00000e-01, -2.25782e-06
