START TIME:2024-03-11 15:19:12
Vd=-0000.300000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,0.000000e+00, 5.00000e-01, 3.01480e-04, 1.49488e-04
1,2.004800e-02, 4.90000e-01, 3.23296e-04, 3.03984e-05
1,4.010100e-02, 4.80000e-01, 3.16262e-04, -2.96831e-05
1,6.015200e-02, 4.70000e-01, 3.22700e-04, -3.81470e-05
1,8.020400e-02, 4.60000e-01, 3.19242e-04, -4.17233e-05
1,1.002560e-01, 4.50000e-01, 3.30329e-04, -4.06504e-05
1,1.203090e-01, 4.40000e-01, 3.42846e-04, -3.69549e-05
1,1.403610e-01, 4.30000e-01, 3.25203e-04, -3.23057e-05
1,1.604130e-01, 4.20000e-01, 3.29852e-04, -3.75509e-05
1,1.804650e-01, 4.10000e-01, 3.53932e-04, -2.84910e-05
1,2.005170e-01, 4.00000e-01, 3.44753e-04, -4.91142e-05
1,2.205690e-01, 3.90000e-01, 3.44872e-04, -4.79221e-05
1,2.406210e-01, 3.80000e-01, 3.39627e-04, -5.62668e-05
1,2.606730e-01, 3.70000e-01, 3.36766e-04, -3.87430e-05
1,2.807290e-01, 3.60000e-01, 3.18527e-04, -4.06504e-05
1,3.007770e-01, 3.50000e-01, 3.18408e-04, -3.88622e-05
1,3.208290e-01, 3.40000e-01, 3.24368e-04, -4.74453e-05
1,3.408810e-01, 3.30000e-01, 3.23415e-04, -4.29153e-05
1,3.609330e-01, 3.20000e-01, 3.41296e-04, -3.56436e-05
1,3.809860e-01, 3.10000e-01, 3.32117e-04, -3.15905e-05
1,4.010380e-01, 3.00000e-01, 3.11732e-04, -2.92063e-05
1,4.210900e-01, 2.90000e-01, 3.25322e-04, -4.11272e-05
1,4.411420e-01, 2.80000e-01, 3.38674e-04, -4.11272e-05
1,4.611940e-01, 2.70000e-01, 3.33667e-04, -4.75645e-05
1,4.812460e-01, 2.60000e-01, 3.30567e-04, -5.73397e-05
1,5.012970e-01, 2.50000e-01, 3.37243e-04, -5.11408e-05
1,5.213500e-01, 2.40000e-01, 3.17812e-04, -5.57899e-05
1,5.414010e-01, 2.30000e-01, 3.16381e-04, -5.50747e-05
1,5.614580e-01, 2.20000e-01, 3.24368e-04, -4.42266e-05
1,5.815060e-01, 2.10000e-01, 3.29137e-04, -4.32730e-05
1,6.020690e-01, 2.00000e-01, 3.34620e-04, -5.78165e-05
1,6.221210e-01, 1.90000e-01, 3.35813e-04, -4.81606e-05
1,6.421730e-01, 1.80000e-01, 3.38078e-04, -4.54187e-05
1,6.622250e-01, 1.70000e-01, 3.38554e-04, -4.24385e-05
1,6.822770e-01, 1.60000e-01, 3.33190e-04, -4.91142e-05
1,7.023290e-01, 1.50000e-01, 3.22104e-04, -4.52995e-05
1,7.223810e-01, 1.40000e-01, 3.29137e-04, -5.74589e-05
1,7.424340e-01, 1.30000e-01, 3.36766e-04, -5.53131e-05
1,7.624850e-01, 1.20000e-01, 3.24011e-04, -4.97103e-05
1,7.825370e-01, 1.10000e-01, 3.35813e-04, -4.39882e-05
1,8.025890e-01, 1.00000e-01, 3.21627e-04, -4.48227e-05
1,8.226410e-01, 9.00000e-02, 3.23772e-04, -4.01735e-05
1,8.426930e-01, 8.00000e-02, 3.33071e-04, -3.92199e-05
1,8.627450e-01, 7.00000e-02, 3.29018e-04, -4.26769e-05
