START TIME:2024-03-11 16:03:19
Vd=-0000.300000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,0.000000e+00, 5.00000e-01, -6.27255e-03, 1.35779e-04
1,2.004800e-02, 4.90000e-01, -5.03838e-03, 3.82662e-05
1,4.010000e-02, 4.80000e-01, -4.73785e-03, -1.91927e-05
1,6.015200e-02, 4.70000e-01, -4.63855e-03, -4.24385e-05
1,8.020400e-02, 4.60000e-01, -4.64368e-03, -6.89030e-05
1,1.002560e-01, 4.50000e-01, -4.69756e-03, -5.66244e-05
1,1.203080e-01, 4.40000e-01, -4.77672e-03, -5.67436e-05
1,1.403600e-01, 4.30000e-01, -4.87626e-03, -6.07967e-05
1,1.604120e-01, 4.20000e-01, -4.99010e-03, -6.36578e-05
1,1.804640e-01, 4.10000e-01, -5.09965e-03, -5.14984e-05
1,2.005160e-01, 4.00000e-01, -5.23818e-03, -5.61476e-05
1,2.205670e-01, 3.90000e-01, -5.34725e-03, -5.06639e-05
1,2.406190e-01, 3.80000e-01, -5.46634e-03, -5.56707e-05
1,2.606710e-01, 3.70000e-01, -5.58352e-03, -4.76837e-05
1,2.807270e-01, 3.60000e-01, -5.71167e-03, -4.73261e-05
1,3.007750e-01, 3.50000e-01, -5.81729e-03, -4.58956e-05
1,3.208270e-01, 3.40000e-01, -5.91898e-03, -4.89950e-05
1,3.408790e-01, 3.30000e-01, -6.02150e-03, -5.25713e-05
1,3.609310e-01, 3.20000e-01, -6.12164e-03, -4.76837e-05
1,3.809830e-01, 3.10000e-01, -6.22320e-03, -4.52995e-05
1,4.010350e-01, 3.00000e-01, -6.33204e-03, -4.70877e-05
1,4.210870e-01, 2.90000e-01, -6.43086e-03, -3.45707e-05
1,4.411380e-01, 2.80000e-01, -6.51765e-03, -3.67165e-05
1,4.611910e-01, 2.70000e-01, -6.59049e-03, -3.93391e-05
1,4.812420e-01, 2.60000e-01, -6.67906e-03, -4.24385e-05
1,5.012940e-01, 2.50000e-01, -6.76489e-03, -4.12464e-05
1,5.213460e-01, 2.40000e-01, -6.82414e-03, -3.51667e-05
1,5.413990e-01, 2.30000e-01, -6.90711e-03, -4.70877e-05
1,5.614550e-01, 2.20000e-01, -6.97744e-03, -4.10080e-05
1,5.815030e-01, 2.10000e-01, -7.05004e-03, -3.32594e-05
1,6.020670e-01, 2.00000e-01, -7.09248e-03, -3.60012e-05
1,6.221190e-01, 1.90000e-01, -7.15423e-03, -4.16040e-05
1,6.421710e-01, 1.80000e-01, -7.20048e-03, -4.50611e-05
1,6.622230e-01, 1.70000e-01, -7.26497e-03, -5.04255e-05
1,6.822740e-01, 1.60000e-01, -7.30598e-03, -3.37362e-05
1,7.023270e-01, 1.50000e-01, -7.34234e-03, -4.39882e-05
1,7.223780e-01, 1.40000e-01, -7.38668e-03, -5.22137e-05
1,7.424310e-01, 1.30000e-01, -7.43306e-03, -3.81470e-05
1,7.624830e-01, 1.20000e-01, -7.48765e-03, -3.24249e-05
1,7.825350e-01, 1.10000e-01, -7.51793e-03, -2.49147e-05
1,8.025870e-01, 1.00000e-01, -7.56395e-03, -3.54052e-05
1,8.226390e-01, 9.00000e-02, -7.59220e-03, -4.58956e-05
1,8.426920e-01, 8.00000e-02, -7.61449e-03, -4.29153e-05
1,8.627440e-01, 7.00000e-02, -7.63798e-03, -3.80278e-05
1,8.827950e-01, 6.00000e-02, -7.66337e-03, -4.38690e-05
1,9.028470e-01, 5.00000e-02, -7.68530e-03, -4.82798e-05
1,9.228990e-01, 4.00000e-02, -7.70140e-03, -5.29289e-05
1,9.429510e-01, 3.00000e-02, -7.73656e-03, -5.87702e-05
1,9.630030e-01, 2.00000e-02, -7.75778e-03, -5.05447e-05
1,9.830550e-01, 1.00000e-02, -7.76052e-03, -4.91142e-05
1,1.003110e+00, 0.00000e+00, -7.77566e-03, -5.98431e-05
1,1.023270e+00, -1.00000e-02, -7.79545e-03, -6.56843e-05
1,1.043320e+00, -2.00000e-02, -7.81059e-03, -6.43730e-05
1,1.063370e+00, -3.00000e-02, -7.81715e-03, -6.49691e-05
1,1.083420e+00, -4.00000e-02, -7.81476e-03, -5.06639e-05
1,1.103480e+00, -5.00000e-02, -7.81643e-03, -5.68628e-05
1,1.123530e+00, -6.00000e-02, -7.84159e-03, -5.61476e-05
1,1.143580e+00, -7.00000e-02, -7.85780e-03, -5.47171e-05
1,1.163630e+00, -8.00000e-02, -7.85887e-03, -6.79493e-05
1,1.183680e+00, -9.00000e-02, -7.85828e-03, -5.87702e-05
1,1.203740e+00, -1.00000e-01, -7.86412e-03, -6.36578e-05
1,1.223790e+00, -1.10000e-01, -7.86483e-03, -7.16448e-05
1,1.243840e+00, -1.20000e-01, -7.86924e-03, -8.24928e-05
1,1.263890e+00, -1.30000e-01, -7.85613e-03, -7.60555e-05
1,1.283940e+00, -1.40000e-01, -7.87675e-03, -6.36578e-05
1,1.304000e+00, -1.50000e-01, -7.86829e-03, -6.10352e-05
1,1.324050e+00, -1.60000e-01, -7.86507e-03, -7.09295e-05
1,1.344100e+00, -1.70000e-01, -7.86555e-03, -5.13792e-05
1,1.364150e+00, -1.80000e-01, -7.85792e-03, -4.88758e-05
1,1.384200e+00, -1.90000e-01, -7.86388e-03, -3.95775e-05
1,1.404250e+00, -2.00000e-01, -7.87079e-03, -4.29153e-05
1,1.424820e+00, -2.10000e-01, -7.84922e-03, -6.05583e-05
1,1.444870e+00, -2.20000e-01, -7.85184e-03, -7.41482e-05
1,1.464920e+00, -2.30000e-01, -7.84159e-03, -5.14984e-05
1,1.484970e+00, -2.40000e-01, -7.84254e-03, -5.32866e-05
1,1.505020e+00, -2.50000e-01, -7.82168e-03, -5.49555e-05
1,1.525080e+00, -2.60000e-01, -7.80332e-03, -4.89950e-05
1,1.545130e+00, -2.70000e-01, -7.78294e-03, -6.19888e-05
1,1.565180e+00, -2.80000e-01, -7.76422e-03, -7.58171e-05
1,1.585230e+00, -2.90000e-01, -7.74002e-03, -7.11679e-05
1,1.605280e+00, -3.00000e-01, -7.73215e-03, -8.40425e-05
1,1.625340e+00, -3.10000e-01, -7.71749e-03, -7.86781e-05
1,1.645390e+00, -3.20000e-01, -7.70068e-03, -5.82933e-05
1,1.665440e+00, -3.30000e-01, -7.67863e-03, -6.41346e-05
1,1.685500e+00, -3.40000e-01, -7.65586e-03, -6.48499e-05
1,1.705550e+00, -3.50000e-01, -7.63249e-03, -7.28369e-05
1,1.725600e+00, -3.60000e-01, -7.60496e-03, -7.16448e-05
1,1.745650e+00, -3.70000e-01, -7.56562e-03, -8.23736e-05
1,1.765700e+00, -3.80000e-01, -7.53522e-03, -7.41482e-05
1,1.785750e+00, -3.90000e-01, -7.50577e-03, -6.85453e-05
