,20ms,40ms,60ms,70ms,80ms,90ms,120ms
0,-7.600902336e-06,-5.809127288e-06,-7.770909178e-06,-9.901528756e-06,-6.08613027e-06,-7.692795407e-06,-8.373539458e-06
1,-9.36325614e-06,-9.49050991e-06,-1.1397896742e-05,-1.328225062e-05,-8.708286259e-06,-1.3531703189e-05,-1.5594743672e-05
2,-1.0630777979e-05,-1.2138050806e-05,-1.3688143554e-05,-1.5693525711e-05,-1.1153411833e-05,-1.7953669158e-05,-2.1128440494e-05
3,-1.2261930351e-05,-1.4316503439e-05,-1.5970441382e-05,-1.8130223907e-05,-1.2456974218e-05,-2.1799742171e-05,-2.605746522e-05
4,-1.3231698176e-05,-1.6451160263e-05,-1.8184508008e-05,-2.0080115064e-05,-1.4026469216e-05,-2.5855712011e-05,-3.0662162317e-05
5,-1.4291989828e-05,-1.8949278456e-05,-2.090983071e-05,-2.2785334295e-05,-1.5766327124e-05,-2.9607435863e-05,-3.582856516e-05
6,-1.5470173821e-05,-2.1185171136e-05,-2.3166252504e-05,-2.4441169444e-05,-1.7392110749e-05,-3.375968663e-05,-4.0114213334e-05
7,-1.6630665414e-05,-2.3009988581e-05,-2.5477938834e-05,-2.6847796107e-05,-1.856147901e-05,-3.7211055314e-05,-4.4191456254e-05
8,-1.7763672076e-05,-2.5220982934e-05,-2.737250361e-05,-2.899044739e-05,-2.0168454284e-05,-4.0911789256e-05,-4.8073594371e-05
9,-1.8828528482e-05,-2.6949164749e-05,-2.9926037314e-05,-3.1424126064e-05,-2.1593297788e-05,-4.4007287215e-05,-5.1993200032e-05
10,-2.0088484234e-05,-2.9127353628e-05,-3.1894989661e-05,-3.3303251257e-05,-2.2700467525e-05,-4.7349869419e-05,-5.4797492339e-05
11,-2.1468333216e-05,-3.1084815419e-05,-3.4003922337e-05,-3.5290922824e-05,-2.4375889552e-05,-5.0297028793e-05,-5.7882138208e-05
12,-2.234825115e-05,-3.3331791201e-05,-3.6389494198e-05,-3.7140303903e-05,-2.5138611818e-05,-5.2433308156e-05,-6.0225131165e-05
13,-2.3522377887e-05,-3.4647633584e-05,-3.8577112718e-05,-3.9222111809e-05,-2.6450636142e-05,-5.4671847465e-05,-6.302921247e-05
14,-2.4505832698e-05,-3.6292371078e-05,-4.0658131184e-05,-4.0744831495e-05,-2.778310045e-05,-5.7053981436e-05,-6.4657222538e-05
15,-2.5686958907e-05,-3.8555721403e-05,-4.2205367208e-05,-4.2695530283e-05,-2.873244739e-05,-5.8790621551e-05,-6.6591397626e-05
16,-2.6841182262e-05,-4.031001663e-05,-4.4344040361e-05,-4.4555228669e-05,-2.9961925975e-05,-6.0627560742e-05,-6.7966531788e-05
17,-2.783490163e-05,-4.164848724e-05,-4.6001907322e-05,-4.6372355428e-05,-3.0907081964e-05,-6.2059792981e-05,-6.925121852e-05
18,-2.8894623028e-05,-4.3352894863e-05,-4.7958928917e-05,-4.7627811e-05,-3.1889274396e-05,-6.4095649577e-05,-7.0755391789e-05
19,-3.0060979043e-05,-4.4658205297e-05,-4.9566369853e-05,-4.9274964113e-05,-3.3082025766e-05,-6.4734027546e-05,-7.1520771598e-05
20,-3.1312287319e-05,-4.6436383855e-05,-5.1307833928e-05,-5.0288974307e-05,-3.3898890251e-05,-6.6581880674e-05,-7.2494309279e-05
21,-3.2766885852e-05,-4.7505265684e-05,-5.2882718592e-05,-5.2166520618e-05,-3.4465989302e-05,-6.7074855906e-05,-7.3104005423e-05
22,-3.3195829019e-05,-4.9181075156e-05,-5.4585205362e-05,-5.3343585023e-05,-3.5650562495e-05,-6.8062159698e-05,-7.4138661148e-05
23,-3.3911688661e-05,-5.0565307902e-05,-5.6063065131e-05,-5.4760450439e-05,-3.6202844058e-05,-6.8988010753e-05,-7.4724077422e-05
24,-3.5082968679e-05,-5.1485276344e-05,-5.7047713199e-05,-5.5874461395e-05,-3.7308338506e-05,-7.0022702857e-05,-7.5276140706e-05
25,-3.615886817e-05,-5.2717801736e-05,-5.8602930949e-05,-5.7414556068e-05,-3.7905443605e-05,-7.0157286245e-05,-7.5646130426e-05
26,-3.7473888369e-05,-5.3678413678e-05,-5.9954320022e-05,-5.8115572756e-05,-3.873280366e-05,-7.0839683758e-05,-7.5990530604e-05
27,-3.88487897e-05,-5.4617510614e-05,-6.1012884544e-05,-5.9293983213e-05,-3.9690014091e-05,-7.1357848356e-05,-7.6347394497e-05
28,-3.9555266994e-05,-5.6069551647e-05,-6.2017381424e-05,-6.0671118263e-05,-4.0474144043e-05,-7.1968730481e-05,-7.6803342381e-05
29,-4.0802024159e-05,-5.6788478105e-05,-6.3318882894e-05,-6.1911865487e-05,-4.1180199332e-05,-7.2236187407e-05,-7.6958902355e-05
30,-4.1669019993e-05,-5.7658911828e-05,-6.4413557993e-05,-6.2338811404e-05,-4.1938434151e-05,-7.2915252531e-05,-7.7408847574e-05
