START TIME:2024-03-27 19:29:44
TIME(sec),GATE-VOLTAGE(V),GATE-CURRENT(A),DRAIN-VOLTAGE(V),DRAIN-CURRENT(A)
0.000000e+00, -5.00000e-02, 4.41074e-07, -6.00000e-01, -1.19209e-05
2.005300e-02, -5.00000e-02, 4.52995e-07, -5.80000e-01, 1.34349e-04
4.010500e-02, -5.00000e-02, 4.88758e-07, -5.60000e-01, 2.30789e-04
6.015700e-02, -5.00000e-02, 5.12600e-07, -5.40000e-01, 2.60592e-04
8.020900e-02, -5.00000e-02, 5.12600e-07, -5.20000e-01, 2.50578e-04
1.002610e-01, -5.00000e-02, 4.64916e-07, -5.00000e-01, 2.58446e-04
1.203120e-01, -5.00000e-02, 5.00679e-07, -4.80000e-01, 2.50936e-04
1.403640e-01, -5.00000e-02, 4.88758e-07, -4.60000e-01, 2.42352e-04
1.604160e-01, -5.00000e-02, 4.41074e-07, -4.40000e-01, 2.46406e-04
1.804680e-01, -5.00000e-02, 4.29153e-07, -4.20000e-01, 2.61903e-04
2.005200e-01, -5.00000e-02, 5.00679e-07, -4.00000e-01, 2.57969e-04
2.205720e-01, -5.00000e-02, 4.64916e-07, -3.80000e-01, 2.57850e-04
2.406240e-01, -5.00000e-02, 4.41074e-07, -3.60000e-01, 2.44617e-04
2.606760e-01, -5.00000e-02, 4.64916e-07, -3.40000e-01, 2.52485e-04
2.807280e-01, -5.00000e-02, 4.76837e-07, -3.20000e-01, 2.50578e-04
3.007800e-01, -5.00000e-02, 5.00679e-07, -3.00000e-01, 2.49624e-04
3.208320e-01, -5.00000e-02, 4.52995e-07, -2.80000e-01, 2.39611e-04
3.408840e-01, -5.00000e-02, 4.64916e-07, -2.60000e-01, 2.39491e-04
3.609360e-01, -5.00000e-02, 4.17233e-07, -2.40000e-01, 2.42352e-04
3.809880e-01, -5.00000e-02, 4.41074e-07, -2.20000e-01, 2.39372e-04
4.010400e-01, -5.00000e-02, 5.00679e-07, -2.00000e-01, 2.60234e-04
4.210930e-01, -5.00000e-02, 5.96046e-07, -1.80000e-01, 2.66552e-04
4.411440e-01, -5.00000e-02, 5.12600e-07, -1.60000e-01, 2.59876e-04
4.611960e-01, -5.00000e-02, 4.88758e-07, -1.40000e-01, 2.52604e-04
4.812480e-01, -5.00000e-02, 5.24521e-07, -1.20000e-01, 2.58327e-04
5.013000e-01, -5.00000e-02, 5.00679e-07, -1.00000e-01, 2.59757e-04
5.213520e-01, -5.00000e-02, 5.24521e-07, -8.00000e-02, 2.47836e-04
5.414040e-01, -5.00000e-02, 5.72205e-07, -6.00000e-02, 2.44617e-04
5.614550e-01, -5.00000e-02, 5.48363e-07, -4.00000e-02, 2.43306e-04
5.815080e-01, -5.00000e-02, 5.00679e-07, -2.00000e-02, 2.58327e-04
6.016680e-01, -5.00000e-02, 4.88758e-07, 0.00000e+00, 2.48313e-04
6.217200e-01, -5.00000e-02, 5.48363e-07, 2.00000e-02, 2.65479e-04
6.417720e-01, -5.00000e-02, 5.48363e-07, 4.00000e-02, 2.64168e-04
6.618230e-01, -5.00000e-02, 5.24521e-07, 6.00000e-02, 2.77519e-04
6.818750e-01, -5.00000e-02, 5.60284e-07, 8.00000e-02, 2.72632e-04
7.019270e-01, -5.00000e-02, 5.24521e-07, 1.00000e-01, 2.86102e-04
7.219790e-01, -5.00000e-02, 5.12600e-07, 1.20000e-01, 2.77162e-04
7.420310e-01, -5.00000e-02, 5.96046e-07, 1.40000e-01, 2.80380e-04
7.620830e-01, -5.00000e-02, 5.60284e-07, 1.60000e-01, 2.78711e-04
7.821350e-01, -5.00000e-02, 6.55651e-07, 1.80000e-01, 2.79427e-04
8.021860e-01, -5.00000e-02, 6.07967e-07, 2.00000e-01, 2.79307e-04
8.222380e-01, -5.00000e-02, 5.96046e-07, 2.20000e-01, 2.73585e-04
8.422930e-01, -5.00000e-02, 5.84126e-07, 2.40000e-01, 2.77638e-04
8.623450e-01, -5.00000e-02, 5.72205e-07, 2.60000e-01, 2.75016e-04
8.823970e-01, -5.00000e-02, 5.84126e-07, 2.80000e-01, 2.71678e-04
9.024490e-01, -5.00000e-02, 6.31809e-07, 3.00000e-01, 2.86579e-04
9.225000e-01, -5.00000e-02, 5.72205e-07, 3.20000e-01, 2.73943e-04
9.425520e-01, -5.00000e-02, 5.12600e-07, 3.40000e-01, 2.87771e-04
9.626040e-01, -5.00000e-02, 5.36442e-07, 3.60000e-01, 2.81334e-04
9.826560e-01, -5.00000e-02, 6.07967e-07, 3.80000e-01, 2.78234e-04
1.002710e+00, -5.00000e-02, 6.31809e-07, 4.00000e-01, 2.68579e-04
1.022760e+00, -5.00000e-02, 5.96046e-07, 4.20000e-01, 2.69532e-04
1.042810e+00, -5.00000e-02, 5.36442e-07, 4.40000e-01, 2.68102e-04
1.062860e+00, -5.00000e-02, 5.36442e-07, 4.60000e-01, 2.68817e-04
1.082920e+00, -5.00000e-02, 5.60284e-07, 4.80000e-01, 2.69294e-04
1.102970e+00, -5.00000e-02, 5.12600e-07, 5.00000e-01, 2.60472e-04
1.123020e+00, -5.00000e-02, 5.96046e-07, 5.20000e-01, 2.56181e-04
1.143070e+00, -5.00000e-02, 6.19888e-07, 5.40000e-01, 2.71082e-04
1.163130e+00, -5.00000e-02, 5.12600e-07, 5.60000e-01, 2.75016e-04
1.183180e+00, -5.00000e-02, 5.60284e-07, 5.80000e-01, 2.67029e-04
1.203230e+00, -5.00000e-02, 5.84126e-07, 6.00000e-01, 2.70367e-04
1.350920e+00, -1.60000e-01, 5.24521e-07, -6.00000e-01, -6.11544e-05
1.370973e+00, -1.60000e-01, 5.24521e-07, -5.80000e-01, 1.01089e-04
1.391025e+00, -1.60000e-01, 5.84126e-07, -5.60000e-01, 1.96338e-04
1.411077e+00, -1.60000e-01, 5.00679e-07, -5.40000e-01, 2.41399e-04
1.431129e+00, -1.60000e-01, 5.36442e-07, -5.20000e-01, 2.55108e-04
1.451181e+00, -1.60000e-01, 5.60284e-07, -5.00000e-01, 2.60472e-04
1.471233e+00, -1.60000e-01, 5.48363e-07, -4.80000e-01, 2.47478e-04
1.491285e+00, -1.60000e-01, 5.48363e-07, -4.60000e-01, 2.42591e-04
1.511337e+00, -1.60000e-01, 5.24521e-07, -4.40000e-01, 2.39253e-04
1.531388e+00, -1.60000e-01, 5.60284e-07, -4.20000e-01, 2.41160e-04
1.551440e+00, -1.60000e-01, 4.76837e-07, -4.00000e-01, 2.35558e-04
1.571492e+00, -1.60000e-01, 4.64916e-07, -3.80000e-01, 2.34962e-04
1.591544e+00, -1.60000e-01, 5.12600e-07, -3.60000e-01, 2.34008e-04
1.611596e+00, -1.60000e-01, 5.24521e-07, -3.40000e-01, 2.40326e-04
1.631648e+00, -1.60000e-01, 5.48363e-07, -3.20000e-01, 2.49863e-04
1.651701e+00, -1.60000e-01, 5.48363e-07, -3.00000e-01, 2.51412e-04
1.671753e+00, -1.60000e-01, 5.24521e-07, -2.80000e-01, 2.35915e-04
1.691805e+00, -1.60000e-01, 5.48363e-07, -2.60000e-01, 2.48790e-04
1.711857e+00, -1.60000e-01, 5.72205e-07, -2.40000e-01, 2.33054e-04
1.731909e+00, -1.60000e-01, 5.36442e-07, -2.20000e-01, 2.51293e-04
1.751961e+00, -1.60000e-01, 5.72205e-07, -2.00000e-01, 2.51651e-04
1.772013e+00, -1.60000e-01, 4.88758e-07, -1.80000e-01, 2.44737e-04
1.792065e+00, -1.60000e-01, 5.24521e-07, -1.60000e-01, 2.40803e-04
1.812117e+00, -1.60000e-01, 5.96046e-07, -1.40000e-01, 2.59519e-04
1.832169e+00, -1.60000e-01, 6.07967e-07, -1.20000e-01, 2.65241e-04
1.852220e+00, -1.60000e-01, 5.96046e-07, -1.00000e-01, 2.63691e-04
1.872272e+00, -1.60000e-01, 5.36442e-07, -8.00000e-02, 2.51889e-04
1.892324e+00, -1.60000e-01, 5.48363e-07, -6.00000e-02, 2.47836e-04
1.912376e+00, -1.60000e-01, 5.24521e-07, -4.00000e-02, 2.40564e-04
1.932428e+00, -1.60000e-01, 5.36442e-07, -2.00000e-02, 2.61426e-04
1.952589e+00, -1.60000e-01, 5.96046e-07, 0.00000e+00, 2.79188e-04
1.972641e+00, -1.60000e-01, 5.48363e-07, 2.00000e-02, 2.60711e-04
1.992693e+00, -1.60000e-01, 5.48363e-07, 4.00000e-02, 2.57611e-04
2.012745e+00, -1.60000e-01, 5.72205e-07, 6.00000e-02, 2.65837e-04
2.032796e+00, -1.60000e-01, 5.60284e-07, 8.00000e-02, 2.61903e-04
2.052848e+00, -1.60000e-01, 5.48363e-07, 1.00000e-01, 2.45929e-04
2.072901e+00, -1.60000e-01, 5.36442e-07, 1.20000e-01, 2.42591e-04
2.092953e+00, -1.60000e-01, 5.24521e-07, 1.40000e-01, 2.44975e-04
2.113005e+00, -1.60000e-01, 5.48363e-07, 1.60000e-01, 2.52962e-04
2.133057e+00, -1.60000e-01, 5.60284e-07, 1.80000e-01, 2.56777e-04
2.153108e+00, -1.60000e-01, 5.24521e-07, 2.00000e-01, 2.59757e-04
2.173160e+00, -1.60000e-01, 4.76837e-07, 2.20000e-01, 2.41995e-04
2.193214e+00, -1.60000e-01, 5.48363e-07, 2.40000e-01, 2.55704e-04
